"fecha","monto_total"
2022-01-01,379000
2022-01-02,1647974
2022-01-03,3603146
2022-01-04,5054772
2022-01-05,5115225
2022-01-06,5042575
2022-01-07,5940275
2022-01-08,4860118
2022-01-09,892372
2022-01-10,4160442
2022-01-11,6491608
2022-01-12,6812233
2022-01-13,5085148
2022-01-14,5573096
2022-01-15,4929914
2022-01-16,1194800
2022-01-17,4597786
2022-01-18,5191772
2022-01-19,6011455
2022-01-20,4745388
2022-01-21,5203434
2022-01-22,4569707
2022-01-23,1131300
2022-01-24,5517093
2022-01-25,5162523
2022-01-26,4898915
2022-01-27,4612886
2022-01-28,4582807
2022-01-29,4302545
2022-01-30,785062
2022-02-01,5266407
2022-02-02,6490150
2022-02-03,5981349
2022-02-04,6276307
2022-02-05,4993140
2022-02-06,1409446
2022-02-07,6440364
2022-02-08,6963794
2022-02-09,6894336
2022-02-10,5331024
2022-02-11,6854700
2022-02-12,4515672
2022-02-13,1717262
2022-02-14,5678720
2022-02-15,7237739
2022-02-16,6446397
2022-02-17,5685211
2022-02-18,6548699
2022-02-19,5551383
2022-02-20,1467572
2022-02-21,5572382
2022-02-22,6715935
2022-02-23,7005032
2022-02-24,5842056
2022-02-25,5472132
2022-02-26,4483286
2022-02-27,1493258
2022-03-01,5165844
2022-03-02,6443362
2022-03-03,6868988
2022-03-04,6627962
2022-03-05,5762325
2022-03-06,1825551
2022-03-07,6514962
2022-03-08,6264525
2022-03-09,7284703
2022-03-10,7643579
2022-03-11,6305332
2022-03-12,5678273
2022-03-13,1780686
2022-03-14,5892348
2022-03-15,5028588
2022-03-16,6268070
2022-03-17,8162931
2022-03-18,7201827
2022-03-19,4259853
2022-03-20,1477000
2022-03-21,6138279
2022-03-22,7164221
2022-03-23,4345396
2022-03-24,7251415
2022-03-25,7340472
2022-03-26,5477373
2022-03-27,1099123
2022-03-28,7935809
2022-03-29,7785356
2022-03-30,6122205
2022-03-31,148200
2022-04-01,5924922
2022-04-02,5586883
2022-04-03,2173191
2022-04-04,5024148
2022-04-05,5721331
2022-04-06,7108514
2022-04-07,7317874
2022-04-08,7537006
2022-04-09,6208667
2022-04-10,2743900
2022-04-11,6879870
2022-04-12,6635347
2022-04-13,5964282
2022-04-14,3292963
2022-04-15,437400
2022-04-16,3874800
2022-04-17,2164768
2022-04-18,5904722
2022-04-19,9752553
2022-04-20,9602085
2022-04-21,7218739
2022-04-22,7511001
2022-04-23,6328821
2022-04-24,2406806
2022-04-25,7700018
2022-04-26,8250561
2022-04-27,7093824
2022-04-28,8518232
2022-04-29,7250148
2022-04-30,478787
2022-05-01,2337586
2022-05-02,1687099
2022-05-03,5907147
2022-05-04,7761862
