"fecha","monto_total"
2022-01-01,138300
2022-01-02,444662
2022-01-03,7419242
2022-01-04,8331897
2022-01-05,8292946
2022-01-06,8643863
2022-01-07,7090441
2022-01-08,6239886
2022-01-09,857100
2022-01-10,7572146
2022-01-11,7281909
2022-01-12,7514306
2022-01-13,8972914
2022-01-14,7774222
2022-01-15,7234780
2022-01-16,1098200
2022-01-17,8562921
2022-01-18,9349222
2022-01-19,10666008
2022-01-20,8328918
2022-01-21,8194839
2022-01-22,6966063
2022-01-23,823662
2022-01-24,8520471
2022-01-25,9448624
2022-01-26,9773165
2022-01-27,8765827
2022-01-28,11316396
2022-01-29,8618794
2022-01-30,1911448
2022-02-01,9683526
2022-02-02,7975096
2022-02-03,6413423
2022-02-04,7939848
2022-02-05,6326678
2022-02-06,504324
2022-02-07,8983053
2022-02-08,8283253
2022-02-09,8497859
2022-02-10,10086653
2022-02-11,9351905
2022-02-12,8998694
2022-02-13,957300
2022-02-14,9697083
2022-02-15,10355239
2022-02-16,9169636
2022-02-17,10577570
2022-02-18,9305956
2022-02-19,8847699
2022-02-20,1155263
2022-02-21,9243053
2022-02-22,11279546
2022-02-23,11177289
2022-02-24,10749978
2022-02-25,9432641
2022-02-26,7247739
2022-02-27,1158996
2022-03-01,9441759
2022-03-02,10566171
2022-03-03,10017638
2022-03-04,12070290
2022-03-05,8508428
2022-03-06,455800
2022-03-07,11315665
2022-03-08,9940540
2022-03-09,12485678
2022-03-10,11332547
2022-03-11,9570625
2022-03-12,9122941
2022-03-13,643300
2022-03-14,10941034
2022-03-15,10911107
2022-03-16,10168091
2022-03-17,11443329
2022-03-18,10008821
2022-03-19,8073939
2022-03-20,1559959
2022-03-21,8476021
2022-03-22,9407658
2022-03-23,6174825
2022-03-24,7484547
2022-03-25,8192532
2022-03-26,8176694
2022-03-27,1895234
2022-03-28,11084065
2022-03-29,11150510
2022-03-30,8401361
2022-03-31,409600
2022-04-01,9974499
2022-04-02,9226970
2022-04-03,102300
2022-04-04,8886950
2022-04-05,8086496
2022-04-06,9931806
2022-04-07,9711841
2022-04-08,8669326
2022-04-09,8348028
2022-04-10,312300
2022-04-11,8667512
2022-04-12,8821431
2022-04-13,6884893
2022-04-14,1029048
2022-04-15,108600
2022-04-16,2744003
2022-04-17,241900
2022-04-18,8798818
2022-04-19,8199007
2022-04-20,9199266
2022-04-21,10286588
2022-04-22,10671067
2022-04-23,8990458
2022-04-24,239124
2022-04-25,9842407
2022-04-26,10440325
2022-04-27,9613499
2022-04-28,9530838
2022-04-29,8311111
2022-04-30,375600
2022-05-03,9544637
2022-05-04,8897031
2022-05-05,8867000
2022-05-06,9742475
2022-05-07,8566525
2022-05-08,355700
2022-05-09,11033701
2022-05-10,10721367
2022-05-11,12857740
2022-05-12,10850578
2022-05-13,9198757
2022-05-14,3739906
2022-05-15,128500
2022-05-16,9964862
2022-05-17,9704560
2022-05-18,10041252
2022-05-19,9209398
2022-05-20,9454415
2022-05-21,8298122
2022-05-22,79000
2022-05-23,9257794
2022-05-24,9229006
2022-05-25,12149091
2022-05-26,9182826
2022-05-27,9028579
2022-05-28,7239958
2022-05-29,70500
2022-05-30,9175884
2022-05-31,283900
2022-06-01,10369461
2022-06-02,10798767
2022-06-03,10371016
2022-06-04,8097335
2022-06-05,220600
2022-06-06,11672099
2022-06-07,10215999
2022-06-08,11909709
2022-06-09,9326673
2022-06-10,8979565
2022-06-11,8114592
2022-06-12,87000
2022-06-13,7863676
2022-06-14,11592023
2022-06-15,10532582
2022-06-16,13529471
2022-06-17,10997638
2022-06-18,10551841
2022-06-19,373300
2022-06-20,9687310
2022-06-21,10495019
2022-06-22,9099258
2022-06-23,9130156
2022-06-24,9848775
2022-06-25,9583705
2022-06-26,597900
2022-06-27,10239770
2022-06-28,12040418
2022-06-29,10352496
2022-06-30,118800
2022-07-01,10695293
2022-07-02,9599278
2022-07-03,363697
2022-07-04,12316561
2022-07-05,10043573
2022-07-06,10916685
2022-07-07,11456574
2022-07-08,11171172
2022-07-09,8553519
2022-07-10,442624
2022-07-11,10785286
2022-07-12,11292290
2022-07-13,10895902
2022-07-14,9806030
2022-07-15,9739163
2022-07-16,8921365
2022-07-17,2881164
2022-07-18,12327195
2022-07-19,10702327
2022-07-20,9756374
2022-07-21,11320710
2022-07-22,11021978
2022-07-23,10636622
2022-07-24,2244433
2022-07-25,11485689
2022-07-26,10398251
2022-07-27,11053760
2022-07-28,8988571
2022-07-29,11430961
2022-07-30,8687087
2022-07-31,326400
2022-08-01,13839809
2022-08-02,14696149
2022-08-03,13445913
2022-08-04,12944373
2022-08-05,11611521
2022-08-06,8640849
2022-08-07,1730900
2022-08-08,10369284
2022-08-09,10577458
2022-08-10,11906645
2022-08-11,11774171
2022-08-12,10890696
2022-08-13,8436244
2022-08-14,1007200
2022-08-15,2570858
2022-08-16,13023292
2022-08-17,12786783
2022-08-18,11930985
2022-08-19,11434909
2022-08-20,9368338
2022-08-21,2086648
2022-08-22,12846275
2022-08-23,13417727
2022-08-24,8356122
2022-08-25,10908345
2022-08-26,11688708
2022-08-27,11823914
2022-08-28,1134400
2022-08-29,8881857
2022-08-30,10807884
2022-08-31,180900
2022-09-01,12343641
2022-09-02,11953859
2022-09-03,8570624
2022-09-04,2081139
2022-09-05,9376193
2022-09-06,11478214
2022-09-07,12562351
2022-09-08,12166551
2022-09-09,11582553
2022-09-10,8055770
2022-09-11,1990306
2022-09-12,10663360
2022-09-13,10613560
2022-09-14,10212423
2022-09-15,9744750
2022-09-16,10102081
2022-09-17,10266136
2022-09-18,918500
2022-09-19,9695268
2022-09-20,11022729
2022-09-21,10642684
2022-09-22,12674413
2022-09-23,11311527
2022-09-24,9794928
2022-09-25,1567472
2022-09-26,9883410
2022-09-27,10827771
2022-09-28,9540644
2022-09-29,12395652
2022-09-30,65400
2022-10-01,7952277
2022-10-02,1532224
2022-10-03,1852239
2022-10-04,12750287
2022-10-05,12993235
2022-10-06,8710260
2022-10-07,10664654
2022-10-08,8948514
2022-10-09,848303
2022-10-10,10833729
2022-10-11,8766265
2022-10-12,9397937
2022-10-13,9465170
2022-10-14,9657609
2022-10-15,9619188
2022-10-16,779300
2022-10-17,10035301
2022-10-18,10825814
2022-10-19,10260414
2022-10-20,9408217
2022-10-21,11007551
2022-10-22,10492140
2022-10-24,14006106
2022-10-25,12594564
2022-10-26,11258407
2022-10-27,11183645
2022-10-28,11125734
2022-10-29,9093434
2022-10-30,690369
2022-11-01,11945690
2022-11-02,11135306
2022-11-03,12260992
2022-11-04,10501236
2022-11-05,9174310
2022-11-06,83800
2022-11-07,9460439
2022-11-08,12036041
2022-11-10,10306619
2022-11-11,9865561
2022-11-12,8118758
2022-11-13,878000
2022-11-14,11681814
2022-11-15,11580574
2022-11-16,10321923
2022-11-17,10995278
2022-11-18,11108561
2022-11-19,8890514
2022-11-20,160200
2022-11-21,7503909
2022-11-22,10143934
2022-11-23,11456311
2022-11-24,11663711
2022-11-25,13628263
2022-11-26,8096835
2022-11-27,1409740
2022-11-28,9033686
2022-11-29,10120527
2022-11-30,246700
2022-12-01,8782430
2022-12-02,9006767
2022-12-03,7516952
2022-12-05,11467612
2022-12-06,10490011
2022-12-07,9246658
2022-12-08,97600
2022-12-09,10872316
2022-12-10,7401115
2022-12-11,1241001
2022-12-12,10869676
2022-12-13,11335017
2022-12-14,8682103
2022-12-15,10561742
2022-12-16,12275042
2022-12-17,9614400
2022-12-18,1734888
2022-12-19,9642361
2022-12-20,12332818
2022-12-21,10709091
2022-12-22,10720764
2022-12-23,11341196
2022-12-24,6396353
2022-12-26,6546082
2022-12-27,9693129
2022-12-28,9978409
2022-12-29,9760623
2022-12-30,11040532
2022-12-31,180200
2023-01-01,407186
2023-01-02,5221485
2023-01-03,7259790
2023-01-04,7778779
2023-01-05,8377418
2023-01-06,10862210
