"fecha","monto_total"
2022-01-02,848500
2022-01-03,5379950
2022-01-04,6669962
2022-01-05,6158424
2022-01-06,5698162
2022-01-07,5800624
2022-01-08,4456182
2022-01-10,5327547
2022-01-11,5700673
2022-01-12,5850096
2022-01-13,5956650
2022-01-14,6785819
2022-01-15,6555109
2022-01-16,389600
2022-01-17,8106440
2022-01-18,5540661
2022-01-19,6315142
2022-01-20,6775072
2022-01-21,6823103
2022-01-22,4983052
2022-01-23,5800
2022-01-24,4814502
2022-01-25,6229496
2022-01-26,7879257
2022-01-27,6084762
2022-01-28,6384878
2022-01-29,4852660
2022-01-30,376500
2022-02-01,6141913
2022-02-02,6439732
2022-02-03,4773011
2022-02-04,5748860
2022-02-05,5457622
2022-02-06,3400
2022-02-07,7533762
2022-02-08,7408260
2022-02-09,7103760
2022-02-10,6498070
2022-02-11,7261034
2022-02-12,4992293
2022-02-13,731200
2022-02-14,7713510
2022-02-15,7162699
2022-02-16,8065503
2022-02-17,7919283
2022-02-18,7442318
2022-02-19,6527275
2022-02-20,1353580
2022-02-21,7451288
2022-02-22,7468129
2022-02-23,6959387
2022-02-24,7706974
2022-02-25,6419312
2022-02-26,6683981
2022-02-27,1923085
2022-03-01,5758112
2022-03-02,7350393
2022-03-03,6450985
2022-03-04,7706748
2022-03-05,6984190
2022-03-06,1098124
2022-03-07,8571671
2022-03-08,7690965
2022-03-09,9407933
2022-03-10,7729194
2022-03-11,5915314
2022-03-12,4577044
2022-03-13,574500
2022-03-14,6755637
2022-03-15,5462800
2022-03-16,7110123
2022-03-17,8352151
2022-03-18,8565072
2022-03-19,5828448
2022-03-20,1063500
2022-03-21,8078653
2022-03-22,8644870
2022-03-23,5606454
2022-03-24,7522009
2022-03-25,7532961
2022-03-26,5504514
2022-03-27,1338800
2022-03-28,7070442
2022-03-29,8731816
2022-03-30,7224526
2022-03-31,364900
2022-04-01,8291529
2022-04-02,7760167
2022-04-03,1439700
2022-04-04,8616621
2022-04-05,6817825
2022-04-06,6538746
2022-04-07,8279303
2022-04-08,6174187
