"fecha","monto_total"
2022-01-01,1205986
2022-01-02,5423786
2022-01-03,6270747
2022-01-04,7552729
2022-01-05,7829136
2022-01-06,7113087
2022-01-07,6963471
2022-01-08,8157510
2022-01-09,5554985
2022-01-10,7831844
2022-01-11,7596684
2022-01-12,7294560
2022-01-13,5713543
2022-01-14,6525191
2022-01-15,6378242
2022-01-16,5196706
2022-01-17,5086235
2022-01-18,6580646
2022-01-19,6197435
2022-01-20,5734845
2022-01-21,5258015
2022-01-22,7250667
2022-01-23,4990299
2022-01-24,7330893
2022-01-25,6439410
2022-01-26,5426698
2022-01-27,6068527
2022-01-28,8078656
2022-01-29,7141322
2022-01-30,6494506
2022-01-31,9200
2022-02-01,6996311
2022-02-02,6845804
2022-02-03,7187124
2022-02-04,7621272
2022-02-05,8491169
2022-02-06,5674051
2022-02-07,5887186
2022-02-08,7280590
2022-02-09,7030998
2022-02-10,7718061
2022-02-11,7790911
2022-02-12,8788756
2022-02-13,5607724
2022-02-14,8141085
2022-02-15,7764598
2022-02-16,6707812
2022-02-17,7778821
2022-02-18,7813851
2022-02-19,7550104
2022-02-20,5207049
2022-02-21,7266507
2022-02-22,8615826
2022-02-23,7984729
2022-02-24,7014773
2022-02-25,7424025
2022-02-26,7849150
2022-02-27,6453696
2022-03-01,5589583
2022-03-02,6091500
2022-03-03,8613723
2022-03-04,8544688
2022-03-05,8079064
2022-03-06,5660426
2022-03-07,6279730
2022-03-08,8407130
2022-03-09,5974104
2022-03-10,7764747
2022-03-11,7850066
2022-03-12,8304724
2022-03-13,5553973
2022-03-14,6380612
2022-03-15,6125886
2022-03-16,7803761
2022-03-17,5823697
2022-03-18,7495844
2022-03-19,8184717
2022-03-20,5254832
2022-03-21,5856948
2022-03-22,5903011
2022-03-23,4147513
2022-03-24,8087308
2022-03-25,6508324
2022-03-26,8609305
2022-03-27,6199064
2022-03-28,7893561
2022-03-29,7591474
2022-03-30,5824947
2022-03-31,164300
2022-04-01,6768111
2022-04-02,5098787
2022-04-03,5518877
2022-04-04,4101273
2022-04-05,5828203
2022-04-06,7980728
2022-04-07,7130505
2022-04-08,6737783
2022-04-09,7536719
2022-04-10,7390274
2022-04-11,6625134
2022-04-12,7877361
2022-04-13,6896203
2022-04-14,5880777
2022-04-15,906000
2022-04-16,5387330
2022-04-17,5804618
2022-04-18,7173813
2022-04-19,7753490
2022-04-20,5989167
2022-04-21,7013353
2022-04-22,8484404
2022-04-23,7169609
2022-04-24,5627269
2022-04-25,7330808
2022-04-26,6026459
2022-04-27,7966172
2022-04-28,6568342
2022-04-29,6197961
2022-04-30,126000
2022-05-01,5830210
2022-05-02,4959868
2022-05-03,7042790
2022-05-04,7531245
2022-05-05,6883051
2022-05-06,7119102
2022-05-07,7947734
2022-05-08,6049394
2022-05-09,5060657
2022-05-10,7052367
2022-05-11,7049260
2022-05-12,6451505
2022-05-13,8020392
2022-05-14,5741346
2022-05-15,7073824
2022-05-16,8281349
2022-05-17,6697834
2022-05-18,6458842
2022-05-19,6984574
2022-05-20,7369460
2022-05-21,6885774
2022-05-22,6367735
2022-05-23,8223803
2022-05-24,7762258
2022-05-25,7290313
2022-05-26,6106056
2022-05-27,6899046
2022-05-28,6486373
2022-05-29,5273941
2022-05-30,7579632
2022-05-31,160750
2022-06-01,6694184
2022-06-02,6455646
2022-06-03,6833722
2022-06-04,7744680
2022-06-05,5957809
2022-06-06,6937148
2022-06-07,8049914
2022-06-08,6755053
2022-06-09,7587022
2022-06-10,6439996
2022-06-11,8145685
2022-06-12,5651735
2022-06-13,7274511
2022-06-14,7083917
2022-06-15,6150769
2022-06-16,5891563
2022-06-17,6334916
2022-06-18,6847223
2022-06-19,6064200
2022-06-20,7406959
