"fecha","monto_total"
2022-01-13,26762
2022-01-14,12900
2022-01-15,14800
2022-01-17,12600
2022-01-18,13100
2022-01-19,17600
2022-01-20,15800
2022-01-21,17800
2022-01-24,11362
2022-01-25,12862
2022-01-27,13612
2022-01-28,10585
2022-01-29,10900
2022-02-01,18800
2022-02-02,17300
2022-02-03,13400
2022-02-04,14400
2022-02-05,16300
2022-02-07,18450
2022-02-08,9200
2022-02-09,18500
2022-02-10,13699
2022-02-11,16750
2022-02-12,11200
2022-02-14,17800
2022-02-15,11100
2022-02-16,12346
2022-02-17,10600
2022-02-18,21424
2022-02-19,11462
2022-02-21,20150
2022-02-22,16800
2022-02-23,16462
2022-02-24,36188
2022-02-25,34500
2022-03-01,27850
2022-03-02,52559
2022-03-03,22474
2022-03-04,48262
2022-03-05,39431
2022-03-07,50572
2022-03-08,22059
2022-03-09,44685
2022-03-10,33924
2022-03-11,53024
2022-03-12,29724
2022-03-14,33720
2022-03-15,18099
2022-03-16,37953
2022-03-17,43099
2022-03-18,47503
2022-03-19,30986
2022-03-21,59261
2022-03-22,40439
2022-03-23,21100
2022-03-24,39186
2022-03-25,44554
2022-03-26,36168
2022-03-28,29386
2022-03-29,26662
2022-03-30,29872
2022-04-01,31523
2022-04-02,39912
2022-04-04,8800
2022-04-05,17063
2022-04-06,20620
2022-04-07,31574
2022-04-08,42654
2022-04-09,32168
2022-04-11,31561
2022-09-08,2300
2022-09-10,4600
2022-11-03,600
2022-11-29,4600
2023-03-28,2300
