"fecha","monto_total"
2022-01-01,265863
2022-01-02,1398400
2022-01-03,2508674
2022-01-04,1792424
2022-01-05,1645300
2022-01-06,1044939
2022-01-07,1254458
2022-01-08,1305786
2022-01-09,955200
2022-01-10,611562
2022-01-11,1076074
2022-01-12,1768746
2022-01-13,2364393
2022-01-14,1666174
2022-01-15,2274582
2022-01-16,1630922
2022-01-17,1624499
2022-01-18,1323000
2022-01-19,608200
2022-01-20,301762
2022-01-21,23000
2022-01-22,768200
2022-01-23,777400
2022-01-24,384100
2022-01-25,292100
2022-01-26,462300
2022-01-27,446200
2022-01-28,1605400
2022-01-29,772800
2022-01-30,577300
2022-01-31,257600
2022-02-01,1283400
2022-02-02,453100
2022-02-03,742900
2022-02-04,1077828
2022-02-05,901204
2022-02-06,1354700
2022-02-07,1922234
2022-02-08,1308594
2022-02-09,1794858
2022-02-10,1732700
2022-02-11,1161500
2022-02-12,818800
2022-02-13,379500
2022-02-14,554300
2022-02-15,483000
2022-02-16,715300
2022-02-17,1239700
2022-02-18,683100
2022-02-19,828000
2022-02-20,6900
2022-02-21,496800
2022-02-22,411700
2022-02-23,239200
2022-02-24,193200
2022-02-25,653200
2022-02-26,1299500
2022-02-27,115000
2022-03-01,772800
2022-03-02,680800
2022-03-04,552000
2022-03-05,565800
2022-03-07,227700
2022-03-08,273700
2022-03-09,581900
2022-03-10,600300
2022-03-11,671600
2022-03-12,759000
2022-03-14,784300
2022-03-15,1108600
2022-03-16,687700
2022-03-17,701500
2022-03-18,616400
2022-03-19,834900
2022-03-21,1564000
2022-03-22,1223600
2022-03-23,713000
2022-03-24,726800
2022-03-25,36800
2022-03-26,248400
2022-03-28,841800
2022-03-29,1541000
2022-03-30,731400
2022-04-01,1120100
2022-04-02,223100
2022-04-03,540500
2022-04-04,733700
2022-04-05,464600
2022-04-06,584200
2022-04-07,1267300
2022-04-08,499100
2022-04-10,197800
2022-04-11,828000
2022-04-12,547400
2022-04-13,473800
2022-04-14,616400
2022-04-16,397900
2022-04-17,216200
2022-04-18,805000
2022-04-19,837200
2022-04-20,979800
2022-04-21,1823900
2022-04-22,1897500
2022-04-23,1062600
2022-04-24,1205200
2022-04-25,687700
2022-04-26,926900
2022-04-27,763600
2022-04-28,1380000
2022-04-29,1235100
2022-04-30,161000
2022-05-01,703800
2022-05-02,1067200
2022-05-03,1860700
2022-05-04,1596076
2022-05-05,1887844
2022-05-06,1323535
2022-05-07,742963
2022-05-08,679462
