"fecha","monto_total"
2022-01-02,37400
2022-01-03,673262
2022-01-04,1544166
2022-01-05,406000
2022-01-06,501300
2022-01-07,273186
2022-01-08,1235048
2022-01-10,687700
2022-01-11,1038338
2022-01-12,629472
2022-01-13,693800
2022-01-14,803700
2022-01-15,675000
2022-01-17,687386
2022-01-18,484024
2022-01-19,1002938
2022-01-20,306124
2022-01-21,1209310
2022-01-22,646748
2022-01-24,810499
2022-01-25,99700
2022-01-26,842389
2022-01-27,131800
2022-01-28,382810
2022-01-29,438562
2022-01-30,64000
2022-02-01,745150
2022-02-02,199184
2022-02-03,706994
2022-02-04,987999
2022-02-05,77900
2022-02-06,114700
2022-02-07,776462
2022-02-08,591130
2022-02-09,1138100
2022-02-10,82500
2022-02-11,507400
2022-02-12,494550
2022-02-14,615348
2022-02-15,324246
2022-02-16,301300
2022-02-17,736362
2022-02-18,222600
2022-02-19,166700
2022-02-20,25400
2022-02-21,704122
2022-02-22,322500
2022-02-23,695963
2022-02-24,1323682
2022-02-25,91800
2022-02-26,352298
2022-03-02,346600
2022-03-03,953900
2022-03-04,618700
2022-03-05,415418
2022-03-07,161100
2022-03-08,710500
2022-03-10,738300
2022-03-11,513467
2022-03-12,112200
2022-03-14,634600
2022-03-15,867161
2022-03-16,47600
2022-03-17,462400
2022-03-18,444900
2022-03-19,77800
2022-03-21,420144
2022-03-22,434862
2022-03-23,315100
2022-03-24,499200
2022-03-25,899285
2022-03-26,472600
2022-03-28,458486
2022-03-30,615800
2022-04-01,548686
2022-04-02,835200
2022-04-04,637886
2022-04-05,964499
2022-04-06,553362
2022-04-07,768711
2022-04-08,162100
2022-04-09,398100
2022-04-11,800038
2022-04-12,683500
2022-04-13,1105284
2022-04-18,343600
2022-04-19,410700
2022-04-20,298700
2022-04-21,170600
2022-04-22,204400
2022-04-23,833299
2022-04-25,887250
2022-04-26,328900
2022-04-27,496710
2022-04-28,285800
2022-04-29,1119596
2022-05-01,99000
2022-05-03,1045313
2022-05-04,610082
2022-05-05,533500
2022-05-06,1264053
2022-05-07,259271
2022-05-09,1178124
2022-05-10,1279206
2022-05-11,1286457
2022-05-12,778100
2022-05-13,1724700
2022-05-16,1078059
2022-05-17,296100
2022-05-18,1344951
2022-05-19,787724
2022-05-20,777362
2022-05-21,727485
2022-05-23,1747700
2022-05-24,1005512
2022-05-25,1792272
2022-05-26,1258862
2022-05-27,932900
2022-05-28,774000
2022-05-29,105086
2022-05-30,1245350
2022-06-01,847600
2022-06-02,1423035
2022-06-03,1137400
2022-06-04,842303
2022-06-06,1521479
2022-06-07,1572848
2022-06-08,1586518
2022-06-09,1476624
2022-06-10,1431562
2022-06-11,1013834
2022-06-12,46689
2022-06-13,2236685
2022-06-14,2272390
2022-06-15,873700
2022-06-16,869798
2022-06-17,615961
2022-06-18,1184862
2022-06-20,1512500
2022-06-21,593442
2022-06-22,948300
2022-06-23,891386
2022-06-24,1066100
2022-06-25,296236
2022-06-26,76300
2022-06-27,1064400
2022-06-28,1325310
2022-06-29,1803913
2022-06-30,20400
2022-07-01,1064300
2022-07-02,1138262
2022-07-03,51000
2022-07-04,1160371
2022-07-05,1908111
2022-07-06,453400
2022-07-07,1495715
2022-07-08,616622
2022-07-09,1171945
2022-07-10,73950
2022-07-11,1521962
2022-07-12,1198235
2022-07-13,1422015
2022-07-14,1243552
2022-07-15,1671237
2022-07-16,1110054
2022-07-18,921099
2022-07-19,2067286
2022-07-20,1381145
2022-07-21,1269608
2022-07-22,797350
2022-07-23,952541
2022-07-24,27200
2022-07-25,1262920
2022-07-26,1510318
2022-07-27,1306761
2022-07-28,1620679
2022-07-29,1064525
2022-07-30,581462
2022-08-01,602424
2022-08-02,665924
2022-08-03,885199
2022-08-04,1170735
2022-08-05,584072
2022-08-06,241100
2022-08-07,98900
2022-08-08,1780598
2022-08-09,1713525
2022-08-10,1649690
2022-08-11,1349510
2022-08-12,1606709
2022-08-13,953126
2022-08-14,3400
2022-08-16,1524647
2022-08-17,1615346
2022-08-18,1899572
2022-08-19,2463896
2022-08-20,1405245
2022-08-22,2691045
2022-08-23,1680813
2022-08-24,2010900
2022-08-25,2199241
2022-08-26,1859726
2022-08-27,1548502
2022-08-28,14300
2022-08-29,2583450
2022-08-30,1522908
