"fecha","monto_total"
2022-03-13,206462
2022-03-20,298000
2022-03-25,48300
2022-03-27,152700
2022-03-28,13800
2022-04-03,163100
2022-04-10,235500
2022-04-14,68100
2022-04-15,27600
2022-04-16,324700
2022-04-17,182500
2022-04-19,16100
2022-04-24,321400
2022-04-25,9200
2022-04-28,6600
2022-05-01,220700
2022-05-02,247900
2022-05-03,2300
2022-05-08,288800
2022-05-14,304800
2022-05-15,210818
2022-05-22,140700
2022-05-29,139212
2022-05-30,4600
2022-06-05,282353
2022-06-12,87400
2022-06-13,4600
2022-06-19,230199
2022-06-26,298200
2022-06-30,40800
2022-07-03,244400
2022-07-04,48800
2022-07-10,223100
2022-07-17,96400
2022-07-24,179800
2022-08-07,128962
2022-08-14,73300
2022-08-15,2300
2022-08-21,111250
2022-09-04,110400
2022-09-08,122900
2022-09-09,96600
2022-09-10,66700
2022-09-11,87400
2022-09-18,168300
2022-09-25,36800
2022-09-29,160372
2022-10-03,71300
2022-10-09,64300
2022-10-14,199674
2022-10-16,46000
2022-10-23,93100
2022-10-30,144600
2022-11-10,12400
2022-11-13,92000
2022-11-20,72400
2022-11-27,82900
2022-12-04,223300
2022-12-11,162300
2022-12-12,2300
2023-01-08,105900
2023-01-15,146309
2023-01-20,15700
2023-01-22,72300
2023-01-27,2300
2023-01-29,94600
2023-02-05,23300
2023-02-19,91800
2023-02-26,173293
2023-02-27,229100
2023-03-02,16100
2023-03-03,55200
2023-03-05,105106
2023-03-12,181700
2023-03-17,119200
2023-03-19,118700
2023-03-26,120800
