"fecha","monto_total"
2022-03-06,103800
2022-03-07,262099
2022-03-08,76200
2022-03-09,259600
2022-03-10,31200
2022-03-11,41400
2022-03-12,27600
2022-03-13,87100
2022-03-15,32200
2022-03-16,57500
2022-03-17,116200
2022-03-18,64900
2022-03-19,87900
2022-03-20,334300
2022-03-21,62362
2022-03-22,30700
2022-03-23,34500
2022-03-24,20700
2022-03-26,79162
2022-03-27,274962
2022-03-28,9200
2022-03-29,73500
2022-03-30,6900
2022-04-01,30900
2022-04-02,137200
2022-04-03,183024
2022-04-05,11500
2022-04-06,30000
2022-04-07,29900
2022-04-08,57500
2022-04-09,25300
2022-04-10,176400
2022-04-11,21300
2022-04-12,11500
2022-04-14,96600
2022-04-15,29900
2022-04-16,256248
2022-04-17,181300
2022-04-20,18400
2022-04-21,2300
2022-04-24,310200
2022-04-25,6700
2022-04-26,11900
2022-04-29,145600
2022-04-30,29300
2022-05-01,378300
2022-05-02,271400
2022-05-04,2300
2022-05-05,35400
2022-05-08,402700
2022-05-13,18400
2022-05-14,439450
2022-05-15,310724
2022-05-18,64900
2022-05-20,4600
2022-05-21,36528
2022-05-22,202400
2022-05-23,55200
2022-05-24,27600
2022-05-25,9200
2022-05-26,45400
2022-05-27,20700
2022-05-29,279699
2022-05-30,28500
2022-05-31,24100
2022-06-01,13800
2022-06-02,6900
2022-06-04,2300
2022-06-05,237600
2022-06-07,9700
2022-06-08,9200
2022-06-09,23000
2022-06-10,62100
2022-06-11,25300
2022-06-12,359222
2022-06-15,2300
2022-06-16,34286
2022-06-18,13300
2022-06-19,474000
2022-06-20,20700
2022-06-21,31100
2022-06-22,33600
2022-06-23,36100
2022-06-24,6900
2022-06-25,18400
2022-06-26,106299
2022-06-30,45900
2022-07-03,340262
2022-07-06,2300
2022-07-07,48300
2022-07-08,4600
2022-07-10,260662
2022-07-11,38200
2022-07-12,10800
2022-07-17,338650
2022-07-18,11500
2022-07-19,9886
2022-07-20,11500
2022-07-21,105800
2022-07-22,400
2022-07-24,262200
2022-07-25,2300
2022-07-26,20100
2022-08-02,20700
2022-08-03,2300
2022-08-06,2300
2022-08-07,284000
2022-08-08,2300
2022-08-09,43600
2022-08-11,10600
2022-08-12,2300
2022-08-13,39100
2022-08-14,322824
2022-08-15,347500
2022-08-17,34500
2022-08-21,383015
2022-08-22,168600
2022-08-28,200162
2022-08-29,2300
2022-08-30,32000
2022-09-04,303700
2022-09-07,56200
2022-09-08,11500
2022-09-09,2300
2022-09-10,14300
2022-09-11,149500
2022-09-18,106500
2022-09-23,56800
2022-09-25,368200
2022-09-28,20700
2022-10-03,205900
2022-10-09,192399
2022-10-13,42800
2022-10-16,305700
2022-10-17,44634
2022-10-20,51800
2022-10-21,2300
2022-10-23,310145
2022-10-26,99800
2022-10-27,47100
2022-10-28,164900
2022-10-30,346300
2022-11-01,60600
2022-11-02,59800
2022-11-03,2300
2022-11-06,358300
2022-11-08,69000
2022-11-09,20700
2022-11-11,85900
2022-11-12,75500
2022-11-13,264300
2022-11-20,292400
2022-11-23,9200
2022-11-24,9500
2022-11-27,301500
2022-11-28,25027
2022-11-29,2300
2022-12-01,164400
2022-12-02,25300
2022-12-03,2300
2022-12-04,155878
2022-12-05,27327
2022-12-06,2300
2022-12-08,58200
2022-12-10,26400
2022-12-11,346429
2022-12-18,147700
2022-12-20,59100
2022-12-22,43700
2022-12-23,18400
2022-12-24,70100
2022-12-25,105800
2022-12-28,41400
2022-12-30,74500
2022-12-31,4700
2023-01-01,110417
2023-01-08,410562
2023-01-09,21000
2023-01-15,363174
2023-01-20,49300
2023-01-22,195232
2023-01-29,195000
2023-02-05,279600
2023-02-08,62700
2023-02-12,301462
2023-02-13,79962
2023-02-17,31100
2023-02-19,383200
2023-02-23,43034
2023-02-24,2300
2023-02-26,373750
2023-02-27,424072
2023-03-05,172500
2023-03-06,39100
2023-03-07,27000
2023-03-11,29900
2023-03-12,363001
2023-03-14,18400
2023-03-15,30900
2023-03-17,39100
2023-03-19,236300
2023-03-20,33700
2023-03-22,51600
2023-03-23,16100
2023-03-24,59100
2023-03-25,43700
2023-03-26,485200
2023-03-30,28454
2023-03-31,26600
