"fecha","monto_total"
2023-01-24,3593975
2023-01-25,2977915
2023-01-26,3219926
2023-01-27,2323993
2023-01-28,3019915
2023-01-29,2849692
2023-01-30,4729492
2023-01-31,268400
2023-02-01,4798684
2023-02-02,4641235
2023-02-03,3418916
2023-02-04,5172158
2023-02-05,1349812
2023-02-06,2017715
2023-02-07,3827782
2023-02-08,2601074
2023-02-09,1737645
2023-02-10,3413280
2023-02-11,4306441
2023-02-12,2956675
2023-02-13,3970851
2023-02-14,4640792
2023-02-15,4487442
2023-02-16,3751852
2023-02-17,3885249
2023-02-18,4644937
2023-02-19,3866566
2023-02-20,6140343
2023-02-21,7643600
2023-02-22,3222351
2023-02-23,2622636
2023-02-24,3711808
2023-02-25,5423335
2023-02-26,2532494
2023-02-27,1531175
2023-03-01,2301713
2023-03-02,2779137
2023-03-03,3337401
2023-03-04,4549440
2023-03-05,1634695
2023-03-06,3257362
2023-03-07,6307234
2023-03-08,5550699
2023-03-09,4908121
2023-03-10,2242916
2023-03-11,3262618
2023-03-12,2568649
2023-03-13,7206874
2023-03-14,5594814
2023-03-15,4595799
2023-03-16,6855339
2023-03-17,3806511
2023-03-18,2494573
2023-03-19,1815550
2023-03-20,5821606
2023-03-21,3827843
2023-03-22,3542470
2023-03-23,1546854
2023-03-24,1330974
2023-03-25,1456790
2023-03-26,808436
2023-03-27,6118540
2023-03-28,3606461
2023-03-29,6195032
2023-03-30,4991949
2023-03-31,218510
