"fecha","monto_total"
2023-01-24,2111714
2023-01-25,5206675
2023-01-26,4781204
2023-01-27,4156356
2023-01-28,3697908
2023-01-29,705500
2023-01-30,5327395
2023-01-31,27200
2023-02-01,6052868
2023-02-02,4935461
2023-02-03,5226001
2023-02-04,2576366
2023-02-05,5101407
2023-02-06,4901147
2023-02-07,2078079
2023-02-08,4485986
2023-02-09,5619804
2023-02-10,7662591
2023-02-11,4080870
2023-02-12,3589261
2023-02-13,6774248
2023-02-14,7033580
2023-02-15,7207384
2023-02-16,10235179
2023-02-17,10859422
2023-02-18,4186490
2023-02-19,2295671
2023-02-20,7122324
2023-02-21,6789778
2023-02-22,11740918
2023-02-23,11473343
2023-02-24,11814737
2023-02-25,4800685
2023-02-26,3000201
2023-02-27,4138178
2023-02-28,3400
2023-03-01,10773945
2023-03-02,9795886
2023-03-03,10693012
2023-03-04,7353974
2023-03-05,3915113
2023-03-06,12087888
2023-03-07,9666746
2023-03-08,9912892
2023-03-09,9029316
2023-03-10,13988841
2023-03-11,7994942
2023-03-12,3248795
2023-03-13,12956288
2023-03-14,12235823
2023-03-15,12007119
2023-03-16,9678663
2023-03-17,11598295
2023-03-18,6173990
2023-03-19,2854318
2023-03-20,12712263
2023-03-21,14931666
2023-03-22,15148672
2023-03-23,16023478
2023-03-24,14131056
2023-03-25,7896320
2023-03-26,3255552
2023-03-27,11656355
2023-03-28,13090662
2023-03-29,12240712
2023-03-30,10785392
2023-03-31,979205
