"fecha","monto_total"
2022-01-03,50500
2022-01-11,2400
2022-01-17,11
2022-01-18,9
2022-01-19,2046
2022-01-20,23
2022-01-25,1
2022-02-08,200
2022-02-17,14797
2022-02-18,6000
2022-02-21,5520
2022-02-22,1120
2022-02-23,380
2022-02-24,495
2022-02-25,1090
2022-03-01,4895
2022-03-02,780
2022-03-07,30
2022-03-21,950
2022-03-22,290
2022-03-23,840
2022-03-24,880
2022-03-25,210
2022-03-28,25010
2022-03-29,30550
2022-04-01,5010
2022-04-08,370
2022-04-25,30
2022-04-27,30
2022-07-27,540
2022-08-18,305
2022-08-24,60
2022-10-26,50
2022-12-06,10000
2022-12-07,10000
2022-12-09,3400
2022-12-10,15000
2022-12-12,30000
2022-12-13,25000
2022-12-15,5000
2022-12-16,40000
2022-12-17,10000
2022-12-19,15010
2022-12-20,5200
2022-12-21,5000
2022-12-23,25000
2022-12-26,10
2022-12-27,20000
2022-12-28,10000
2022-12-29,78810
2023-01-03,42500
2023-01-04,10000
2023-01-05,35000
2023-01-06,5000
2023-01-07,20000
2023-01-08,10000
2023-01-09,10000
2023-01-10,5000
2023-01-16,59985
2023-01-17,5000
2023-01-18,10000
2023-01-20,35000
2023-01-23,35000
2023-01-24,14500
2023-01-25,5000
2023-01-26,85575
2023-01-27,30000
2023-01-30,20000
2023-02-02,15000
2023-02-03,5000
2023-02-06,20
2023-02-10,10000
2023-02-13,22660
