"fecha","monto_total"
2022-01-03,2400
2022-01-13,191
2022-01-14,301
2022-01-17,28
2022-01-18,2261
2022-01-19,45
2022-01-20,819
2022-01-21,16510
2022-01-22,11583
2022-01-23,183
2022-01-24,1249
2022-01-25,82
2022-01-26,55
2022-01-27,16
2022-01-28,52
2022-01-29,7
2022-02-02,1642
2022-02-03,26900
2022-02-04,9695
2022-02-05,12000
2022-02-07,300
2022-02-08,100
2022-02-09,3400
2022-02-10,1900
2022-02-11,4900
2022-02-14,800
2022-02-15,6300
2022-02-16,2100
2022-02-17,40785
2022-02-18,700
2022-03-01,840
2022-03-02,10
2022-03-03,130
2022-03-04,1050
2022-03-05,50
2022-03-07,1130
2022-03-08,1290
2022-03-09,2150
2022-03-10,1580
2022-03-14,125864
2022-03-15,4240
2022-03-16,1340
2022-03-17,720
2022-03-18,7410
2022-03-21,980
2022-03-22,27670
2022-03-23,50
2022-03-24,340
2022-03-29,3640
2022-03-30,1250
2022-04-02,190
2022-04-03,10
2022-04-04,10
2022-04-06,330
2022-04-07,430
2022-04-08,2710
2022-04-09,240
2022-04-18,40
2022-10-25,510
2022-11-03,5000
2022-11-04,8900
2022-11-05,20000
2022-11-07,5000
2022-11-10,35000
2022-11-11,25000
2022-11-15,25000
2022-11-16,5000
2022-11-18,5000
2022-11-19,25000
2022-11-20,20000
2022-11-21,35000
2022-11-22,20000
2022-11-24,5000
2022-11-25,15700
2022-11-26,5000
2022-11-28,5000
2022-12-06,5000
2022-12-07,5000
2022-12-10,15000
2022-12-11,40000
2022-12-12,20000
2022-12-13,5000
2022-12-17,10000
2022-12-20,12600
2022-12-21,15000
2022-12-22,10000
2022-12-23,5000
2022-12-24,5000
2022-12-26,5000
2022-12-27,10000
2022-12-28,5000
2022-12-29,1400
2022-12-30,15000
2023-01-02,20000
2023-01-03,16500
2023-01-05,10000
2023-01-06,15000
2023-01-09,25000
2023-01-10,22500
2023-01-12,15000
2023-01-13,15000
2023-01-14,12600
2023-01-17,10000
2023-01-18,15000
2023-01-19,25000
2023-01-20,15000
2023-01-21,15000
2023-01-23,10000
2023-01-24,5000
2023-01-25,25000
2023-01-26,7721
2023-01-27,26400
2023-01-28,6600
2023-01-30,15400
