"fecha","monto_total"
2022-04-09,30
2022-04-10,120
2022-04-11,90580
2022-04-12,330
2022-04-13,30
2022-04-18,20
2022-04-19,470
2022-04-20,410
2022-04-21,140
2022-04-22,60
2022-04-23,20
2022-04-25,12930
2022-04-26,16980
2022-04-27,400
2022-04-28,68395
2022-04-29,120
2022-05-03,460
2022-05-04,10
2022-05-05,10
2022-05-09,10
2022-05-10,40
2022-05-11,170
2022-05-12,30
2022-05-16,20
2022-05-17,30
2022-05-24,20
2022-05-25,310
2022-05-26,130
2022-06-01,110
2022-06-02,50
2022-06-03,20
2022-06-06,270
2022-06-07,20
2022-06-08,75000
2022-06-09,1810
2022-06-10,800
2022-06-13,5040
2022-06-14,12980
2022-06-15,2080
2022-06-16,20
2022-06-17,20200
2022-06-20,15150
2022-06-22,1840
2022-06-23,2990
2022-06-24,1820
2022-06-28,10720
2022-07-05,2320
2022-07-07,160
2022-07-08,10
2022-07-12,60
2022-07-22,10
2022-07-26,10
2022-07-27,1470
2022-08-22,20
2022-08-25,150
2022-08-26,540
2022-08-29,160
2022-09-05,2320
2022-09-07,810
2022-09-12,30
2022-10-05,520
2022-10-06,300
2022-10-11,5440
2022-10-12,170
2022-10-14,9163
2022-10-17,2300
2022-10-24,200
2022-10-25,2140
2022-10-26,170
2022-11-14,190
2022-11-16,16650
2022-11-17,13830
2022-11-21,40
2022-11-28,60
2022-11-29,40
2022-12-01,10
2022-12-02,4375
2022-12-05,2810
2022-12-09,190
2022-12-12,30
2022-12-15,200
2023-01-16,300
2023-02-08,4284
2023-02-09,68
