"idruta","troncal","ramal"
"00D4","Ramal aislado","SANTO DOMINGO - CERRO CORA"
"00D5","Ramal aislado","SANTO DOMINGO - CERRO CORA"
"00D2","Troncal 1","TERMINAL - FELIX BOGADO"
"00D3","Troncal 1","TERMINAL - FELIX BOGADO"
"0128","Troncal 1","CORRALES"
"0129","Troncal 1","CORRALES"
"012A","Troncal 1","FATIMA"
"012B","Troncal 1","FATIMA"
"013E","Troncal 1","VILLETA - IPS"
"013F","Troncal 1","VILLETA - IPS"
"0142","Troncal 1","ITA - LAMBARÉ (Super 6)"
"0143","Troncal 1","ITA - LAMBARÉ (Super 6)"
"0144","Troncal 1","ITA - LAMBARÉ (Canal 13)"
"0145","Troncal 1","ITA - LAMBARÉ (Canal 13)"
"0146","Troncal 2","ITA - MARIANO R ALONSO"
"0147","Troncal 2","ITA - MARIANO R ALONSO"
"0072","Troncal 1","CORRALES - LINEA 21"
"0073","Troncal 1","CORRALES - LINEA 21"
"0074","Troncal 1","ZONA SUR - LINEA 21"
"0075","Troncal 1","ZONA SUR - LINEA 21"
"0076","Troncal 1","IPVU"
"0077","Troncal 1","IPVU"
"0078","Troncal 1","ZONA NORTE - LINEA 21"
"0079","Troncal 1","ZONA NORTE - LINEA 21"
"0108","Troncal 1","ITA - ABASTO 1"
"0109","Troncal 1","ITA - ABASTO 1"
"010A","Troncal 1","ITA - ABASTO 2"
"010B","Troncal 1","ITA - ABASTO 2"
"0152","Troncal 1","ITA - ZONA SUR -  SAN PABLO"
"0153","Troncal 1","ITA - ZONA SUR -  SAN PABLO"
"0171","Troncal 1","FDO. DE LA MORA – ZONA SUR (ADECUACION)"
"0172","Troncal 1","FDO. DE LA MORA – ZONA SUR (ADECUACION)"
"01B3","Troncal 1","Integracion Villa Constitucion"
"01B4","Troncal 1","Integracion Villa Constitucion"
"01B5","Troncal 1","Integracion Villa Constitucion"
"01B6","Troncal 1","Integracion Villa Constitucion"
"011E","Troncal 1","DIRECTO"
"011F","Troncal 1","DIRECTO"
"0120","Troncal 1","COSTA FLEITAS INTEGRACION"
"0121","Troncal 1","COSTA FLEITAS INTEGRACION"
"0122","Troncal 1","AMPARO INTEGRACION"
"0123","Troncal 1","AMPARO INTEGRACION"
"0160","Troncal 1","AMPARO INTEGRACION"
"0161","Troncal 1","AMPARO INTEGRACION"
"0162","Troncal 1","COSTA FLEITAS INTEGRACION"
"0163","Troncal 1","COSTA FLEITAS INTEGRACION"
"00F2","Troncal 1","CENTRO"
"00F3","Troncal 1","CENTRO"
"0056","Troncal 1","AVDA. FERNANDO DE LA MORA MERCADO 4"
"0057","Troncal 1","AVDA. FERNANDO DE LA MORA MERCADO 4"
"0058","Troncal 1","AVDA. EUSEBIO AYALA - MERCADO 4"
"0059","Troncal 1","AVDA. EUSEBIO AYALA - MERCADO 4"
"0185","Ramal aislado","Guarambaré – Villeta - Guarambaré"
"0186","Ramal aislado","Guarambaré – Villeta - Guarambaré"
"004A","Troncal 1","PETROPAR"
"004B","Troncal 1","PETROPAR"
"0050","Troncal 1","MCAL. LOPEZ - TERMINAL"
"0051","Troncal 1","MCAL. LOPEZ - TERMINAL"
"004C","Troncal 2","SALINAS"
"004D","Troncal 2","SALINAS"
"004E","Troncal 2","CAAGUAZU"
"004F","Troncal 2","CAAGUAZU"
"0052","Troncal 2","IPS"
"0053","Troncal 2","IPS"
"0054","Troncal 2","MERCADO 4"
"0055","Troncal 2","MERCADO 4"
"01A0","Troncal 2","Ruta PY01 integración con la Línea 15"
"01A1","Troncal 2","Ruta PY01 integración con la Línea 15"
"01A2","Troncal 2","Ruta PY01 integración con la Línea 47"
"01A3","Troncal 2","Ruta PY01 integración con la Línea 47"
"00B8","Troncal 1","PIQUETE CUE"
"00B9","Troncal 1","PIQUETE CUE"
"00BA","Troncal 1","VILLA JARDIN"
"00BB","Troncal 1","VILLA JARDIN"
"00BC","Troncal 1","COLONIA"
"00BD","Troncal 1","COLONIA"
"00BE","Troncal 1","ISLA AVEIRO"
"00BF","Troncal 1","ISLA AVEIRO"
"00C0","Troncal 1","VILLA MADRID"
"00C1","Troncal 1","VILLA MADRID"
"00C2","Troncal 1","AGUAPEY"
"00C3","Troncal 1","AGUAPEY"
"00F8","Troncal 1","ROJAS CAÑADA"
"00F9","Troncal 1","ROJAS CAÑADA"
"00FA","Troncal 1","CAPIATÁ TOLEDO-LAMBARÉ (ADECUACIÓN)"
"00FB","Troncal 1","CAPIATÁ TOLEDO-LAMBARÉ (ADECUACIÓN)"
"00FC","Troncal 1","ROJAS CAÑADA"
"00FD","Troncal 1","ROJAS CAÑADA"
"0156","Troncal 1","CAPIATÁ TOLEDO-LAMBARÉ (ADECUACIÓN)"
"0157","Troncal 1","CAPIATÁ TOLEDO-LAMBARÉ (ADECUACIÓN)"
"0116","Troncal 1","DIRECTO"
"0117","Troncal 1","DIRECTO"
"0118","Troncal 1","AMPARO"
"0119","Troncal 1","AMPARO"
"011A","Troncal 1","VILLA 1 y 2"
"011B","Troncal 1","VILLA 1 y 2"
"011C","Troncal 1","ISLA VALLE"
"011D","Troncal 1","ISLA VALLE"
"006C","Troncal 1","THOMPSON"
"006D","Troncal 1","THOMPSON"
"0070","Troncal 1","LUQUE"
"0071","Troncal 1","LUQUE"
"01B2","temporal","(en blanco)"
"00AC","Troncal 1","SALADO"
"00AD","Troncal 1","SALADO"
"00AE","Troncal 1","PIQUETE CUE"
"00AF","Troncal 1","PIQUETE CUE"
"00B0","Troncal 1","COLONIA"
"00B1","Troncal 1","COLONIA"
"00B2","Troncal 1","VILLA JARDIN"
"00B3","Troncal 1","VILLA JARDIN"
"00B4","Troncal 1","DON BOSCO"
"00B5","Troncal 1","DON BOSCO"
"00B6","Troncal 1","ISLA AVEIRO"
"00B7","Troncal 1","ISLA AVEIRO"
"0012","Troncal 1","MORA CUE - IPS"
"0013","Troncal 1","MORA CUE - IPS"
"0014","Troncal 1","YKUA KARANDAY - IPS"
"0015","Troncal 1","YKUA KARANDAY - IPS"
"013C","Troncal 1","VILLETA - MARIANO R ALONSO"
"013D","Troncal 1","VILLETA - MARIANO R ALONSO"
"012C","Troncal 1","ITA - LAMBARÉ (Super 6)"
"012D","Troncal 1","ITA - LAMBARÉ (Super 6)"
"012E","Troncal 1","ITA - LAMBARÉ (Canal 13)"
"012F","Troncal 1","ITA - LAMBARÉ (Canal 13)"
"0130","Troncal 1","ITA - MARIANO R ALONSO"
"0131","Troncal 1","ITA - MARIANO R ALONSO"
"001A","temporal","RUTA INACTIVA"
"001B","Troncal 1","RUTA INACTIVA"
"001C","Troncal 1","RUTA INACTIVA"
"001D","Troncal 1","RUTA INACTIVA"
