"fecha","monto_total"
2022-01-01,3698885
2022-01-02,5061244
2022-01-03,7801521
2022-01-04,10172122
2022-01-05,7678816
2022-01-06,10834328
2022-01-07,9728364
2022-01-08,7939249
2022-01-09,6338803
2022-01-10,8990538
2022-01-11,10163821
2022-01-12,7772377
2022-01-13,7790491
2022-01-14,8359697
2022-01-15,8212486
2022-01-16,7663786
2022-01-17,12723647
2022-01-18,9694623
2022-01-19,11230538
2022-01-20,14058529
2022-01-21,18342472
2022-01-22,14342095
2022-01-23,12651395
2022-01-24,13602745
2022-01-25,13165811
2022-01-26,14890449
2022-01-27,10369250
2022-01-28,11347941
2022-01-29,15251935
2022-01-30,12133511
2022-01-31,944225
2022-02-01,10806138
2022-02-02,11354992
2022-02-03,10137324
2022-02-04,9673515
2022-02-05,9144195
2022-02-06,10791009
2022-02-07,12959338
2022-02-08,11500210
2022-02-09,13396468
2022-02-10,11122356
2022-02-11,10642289
2022-02-12,10823977
2022-02-13,10005904
2022-02-14,12208852
2022-02-15,9458703
2022-02-16,9068243
2022-02-17,10536808
2022-02-18,10821891
2022-02-19,10399359
2022-02-20,7890826
2022-02-21,11405576
2022-02-22,12832410
2022-02-23,15254566
2022-02-24,16052717
2022-02-25,14004406
2022-02-26,9600612
2022-02-27,11992832
2022-02-28,1078000
2022-03-01,16951663
2022-03-02,18740077
2022-03-03,16039795
2022-03-04,16110201
2022-03-05,13336719
2022-03-06,11225121
2022-03-07,17356974
2022-03-08,11511835
2022-03-09,13983281
2022-03-10,14105355
2022-03-11,13696195
2022-03-12,15340868
2022-03-13,13427381
2022-03-14,15425032
2022-03-15,17180583
2022-03-16,16175221
2022-03-17,13035986
2022-03-18,11730278
2022-03-19,10599238
2022-03-20,12455134
2022-03-21,22535387
2022-03-22,19833310
2022-03-23,18723080
2022-03-24,23634806
2022-03-25,24216688
2022-03-26,17816350
2022-03-27,15193553
2022-03-28,26323153
2022-03-29,25256807
2022-03-30,21132282
2022-03-31,1965437
2022-04-01,23703123
2022-04-02,19405691
2022-04-03,12875388
2022-04-04,20991567
2022-04-05,15985763
2022-04-06,20738328
2022-04-07,20626080
2022-04-08,20283812
2022-04-09,20986175
2022-04-10,13020119
2022-04-11,18365721
2022-04-12,21850048
2022-04-13,21073441
2022-04-14,10897126
2022-04-15,3363776
2022-04-16,13706964
2022-04-17,11223890
2022-04-18,18878855
2022-04-19,17429256
2022-04-20,20417012
2022-04-21,20377702
2022-04-22,22620152
2022-04-23,22710123
2022-04-24,11413909
2022-04-25,24684823
2022-04-26,22720573
2022-04-27,24233456
2022-04-28,19991048
2022-04-29,26954048
2022-04-30,2693399
2022-05-01,32817338
2022-05-02,24533894
2022-05-03,36107796
2022-05-04,31606628
2022-05-05,30838639
2022-05-06,31353171
2022-05-07,28749847
2022-05-08,14233052
2022-05-09,24784062
2022-05-10,23725529
2022-05-11,26536374
2022-05-12,26567076
2022-05-13,29582715
2022-05-14,21652343
2022-05-15,19923035
2022-05-16,26242584
2022-05-17,24149452
2022-05-18,23142416
2022-05-19,20844897
2022-05-20,20373550
2022-05-21,21349366
2022-05-22,13887700
2022-05-23,19201040
2022-05-24,19946942
2022-05-25,19730010
2022-05-26,20322072
2022-05-27,22295181
2022-05-28,20490793
2022-05-29,11765169
2022-05-30,19497642
2022-05-31,1862609
2022-06-01,15501164
2022-06-02,17876042
2022-06-03,14101839
2022-06-04,16798974
2022-06-05,12016275
2022-06-06,16307726
2022-06-07,14163254
2022-06-08,18572251
2022-06-09,12453847
2022-06-10,19215581
2022-06-11,13203060
2022-06-12,14065446
2022-06-13,18268022
2022-06-14,14366344
2022-06-15,15706072
2022-06-16,14123380
2022-06-17,14734050
2022-06-18,13186706
2022-06-19,16385890
2022-06-20,16212399
2022-06-21,12986275
2022-06-22,15732476
2022-06-23,18755005
2022-06-24,14610357
2022-06-25,10159620
2022-06-26,12353343
2022-06-27,15102693
2022-06-28,16862382
2022-06-29,22395518
2022-06-30,2122888
2022-07-01,23538672
2022-07-02,19781566
2022-07-03,13929054
2022-07-04,11042908
2022-07-05,9249052
2022-07-06,6913945
2022-07-07,7634295
2022-07-08,7007138
2022-07-09,9203111
2022-07-10,5010347
2022-07-11,7274176
2022-07-12,8120443
2022-07-13,7561585
2022-07-14,11868046
2022-07-15,9247089
2022-07-16,7609586
2022-07-17,5259306
2022-07-18,8550186
2022-07-19,8661182
2022-07-20,8064311
2022-07-21,5909405
2022-07-22,7150693
2022-07-23,9351734
2022-07-24,2285618
2022-07-25,6710744
2022-07-26,5628283
2022-07-27,5803917
2022-07-28,8709088
2022-07-29,8231935
2022-07-30,9872943
2022-08-01,6721324
2022-08-02,7826895
2022-08-03,5202574
2022-08-04,7680799
2022-08-05,9189626
2022-08-06,6574372
2022-08-07,5318742
2022-08-08,4052820
2022-08-09,6207202
2022-08-10,7634558
2022-08-11,9217419
2022-08-12,11099955
2022-08-13,10287928
2022-08-14,7400748
2022-08-15,12419531
2022-08-16,12433520
2022-08-17,13426993
2022-08-18,10223743
2022-08-19,11025602
2022-08-20,6751329
2022-08-21,5656919
2022-08-22,11488731
2022-08-23,12134148
2022-08-24,13353282
2022-08-25,12890915
2022-08-26,11138029
2022-08-27,13166976
2022-08-28,6083895
2022-08-29,6593461
2022-08-30,14013529
2022-08-31,1795897
2022-09-01,14180381
2022-09-02,9364868
2022-09-03,10693540
2022-09-04,6882388
2022-09-05,4590050
2022-09-06,9375690
2022-09-07,9839730
2022-09-08,9060496
2022-09-09,10619970
2022-09-10,11602941
2022-09-11,5879452
2022-09-12,8660550
2022-09-13,14919088
2022-09-14,9823822
2022-09-15,8670018
2022-09-16,14379401
2022-09-17,16468466
2022-09-18,8161716
2022-09-19,11228416
2022-09-20,10476038
2022-09-21,12062257
2022-09-22,13700882
2022-09-23,9551898
2022-09-24,10720266
2022-09-25,9019487
2022-09-26,7216392
2022-09-27,8582645
2022-09-28,7745751
2022-09-29,9299031
2022-09-30,2030383
2022-10-01,4533994
2022-10-02,5881357
2022-10-03,6301134
2022-10-04,5156723
2022-10-05,10585657
2022-10-06,8271303
2022-10-07,12124692
2022-10-08,12277922
2022-10-09,3141089
2022-10-10,4903001
2022-10-11,6857458
2022-10-12,10100847
2022-10-13,12887582
2022-10-14,9481290
2022-10-15,10695129
2022-10-16,3447156
2022-10-17,6024882
2022-10-18,11810226
2022-10-19,6160630
2022-10-20,5818711
2022-10-21,8137119
2022-10-22,9622417
2022-10-23,6888373
2022-10-24,11570120
2022-10-25,6396522
2022-10-26,8690209
2022-10-27,8660573
2022-10-28,12396768
2022-10-29,11498770
2022-10-30,2445734
2022-11-01,8640336
2022-11-02,10504018
2022-11-03,8103150
2022-11-04,13171726
2022-11-05,14555684
2022-11-06,15701646
2022-11-07,20640496
2022-11-08,22057570
2022-11-09,2034958
2022-11-10,13410246
2022-11-11,4978137
2022-11-12,4899011
2022-11-13,1283348
2022-11-14,8098675
2022-11-15,9765133
2022-11-16,5368481
2022-11-17,9167460
2022-11-18,4716985
2022-11-19,7119192
2022-11-20,5396530
2022-11-21,5443530
2022-11-22,10669543
2022-11-23,12917326
2022-11-24,8500700
2022-11-25,5608888
2022-11-26,12542446
2022-11-27,3750455
2022-11-28,9128369
2022-11-29,10125142
2022-11-30,586797
2022-12-01,7507536
2022-12-02,14065527
2022-12-03,11373625
2022-12-04,5876056
2022-12-05,8661481
2022-12-06,11433538
2022-12-07,6329615
2022-12-08,7108754
2022-12-09,7856127
2022-12-10,8392608
2022-12-11,4948248
2022-12-12,12107898
2022-12-13,7625096
2022-12-14,6834225
2022-12-15,3795912
2022-12-16,4529256
2022-12-17,4816615
2022-12-18,7026935
2022-12-19,9403860
2022-12-20,5875839
2022-12-21,7384953
2022-12-22,6406197
2022-12-23,6521221
2022-12-24,6805237
2022-12-25,821938
2022-12-26,6783464
2022-12-27,6350873
2022-12-28,10647109
2022-12-29,7873878
2022-12-30,5597996
2022-12-31,393993
2023-01-01,2103484
2023-01-02,9738896
2023-01-03,5100547
2023-01-04,7440085
2023-01-05,9500070
2023-01-06,7274507
2023-01-07,10607580
2023-01-08,4176409
2023-01-09,6863306
2023-01-10,10031098
2023-01-11,9083001
2023-01-12,5894727
2023-01-13,8771427
2023-01-14,2609373
2023-01-15,6907046
2023-01-16,7411282
2023-01-17,9089808
2023-01-18,6636484
2023-01-19,7772300
2023-01-20,4509766
2023-01-21,6958496
2023-01-22,2154443
2023-01-23,7043216
2023-01-24,6950105
2023-01-25,10354907
2023-01-26,6097166
2023-01-27,6338368
2023-01-28,9467671
2023-01-29,5475214
2023-01-30,5969199
2023-01-31,792200
2023-02-01,9325090
2023-02-02,8893704
2023-02-03,10059967
2023-02-04,7055237
2023-02-05,2371673
2023-02-06,9639983
2023-02-07,18518060
2023-02-08,14836972
2023-02-09,9433714
2023-02-10,5404779
2023-02-11,10539657
2023-02-12,3906620
2023-02-13,2971506
2023-02-14,8635444
2023-02-15,12645505
2023-02-16,10380225
2023-02-17,11111166
2023-02-18,11212852
2023-02-19,10195515
2023-02-20,11976816
2023-02-21,10921216
2023-02-22,11845391
2023-02-23,8951629
2023-02-24,10601036
2023-02-25,11015693
2023-02-26,4377671
2023-02-27,3483126
2023-02-28,124308
2023-03-01,6215533
2023-03-02,7222739
2023-03-03,8322614
2023-03-04,10520713
2023-03-05,4435148
2023-03-06,8503562
2023-03-07,13653719
2023-03-08,10927226
2023-03-09,12824406
2023-03-10,11061430
2023-03-11,8818007
2023-03-12,6008248
2023-03-13,7132431
2023-03-14,8911166
2023-03-15,8456879
2023-03-16,8390788
2023-03-17,9789791
2023-03-18,6417152
2023-03-19,2557356
2023-03-20,4228888
2023-03-21,6677866
2023-03-22,7045077
2023-03-23,9889823
2023-03-24,5981971
2023-03-25,9433474
2023-03-26,3017961
2023-03-27,5782595
2023-03-28,11855000
2023-03-29,8498674
2023-03-30,8937774
2023-03-31,1736665
