"fecha","monto_total"
2022-01-13,211900
2022-01-14,546195
2022-01-15,275736
2022-01-17,662868
2022-01-18,659497
2022-01-19,921815
2022-01-20,924930
2022-01-21,677800
2022-01-22,510062
2022-01-23,93600
2022-01-24,582299
2022-01-25,1190721
2022-01-26,1062396
2022-01-27,876820
2022-01-28,1424815
2022-01-29,745984
2022-01-30,151000
2022-01-31,34948
2022-02-01,1084906
2022-02-02,1356688
2022-02-03,1154139
2022-02-04,938372
2022-02-05,483998
2022-02-07,1079452
2022-02-08,996762
2022-02-09,1539162
2022-02-10,912786
2022-02-11,1673448
2022-02-12,312500
2022-02-14,1189184
2022-02-15,1579156
2022-02-16,892386
2022-02-17,1068301
2022-02-18,1780300
2022-02-19,906162
2022-02-21,1510586
2022-02-22,1607058
2022-02-23,1117947
2022-02-24,1505510
2022-02-25,877148
2022-02-26,584032
2022-03-01,1646722
2022-03-02,1608058
2022-03-03,1370968
2022-03-04,1494562
2022-03-05,1529193
2022-03-06,445301
2022-03-07,1975062
2022-03-08,2259324
2022-03-09,2158178
2022-03-10,1965943
2022-03-11,1020660
2022-03-12,1097634
2022-03-13,106100
2022-03-14,2199122
2022-03-15,2443766
2022-03-16,2730444
2022-03-17,1637330
2022-03-18,1599931
2022-03-19,469860
2022-03-20,75400
2022-03-21,2117584
2022-03-22,2287829
2022-03-23,1646658
2022-03-24,1429712
2022-03-25,1807794
2022-03-26,574450
2022-03-28,1468463
2022-03-29,1886841
2022-03-30,1099957
2022-03-31,45300
2022-04-01,1766490
2022-04-02,1159098
2022-04-03,46400
2022-04-04,1708446
2022-04-05,1496520
2022-04-06,1655892
2022-04-07,2115221
2022-04-08,1929883
2022-04-09,572980
2022-04-10,10900
2022-04-11,636200
2022-04-12,1421000
2022-04-13,1227060
2022-04-14,68200
2022-04-18,804821
2022-04-19,965974
2022-04-20,844739
2022-04-21,1570924
2022-04-22,1449109
2022-04-23,647301
2022-04-25,1539014
2022-04-26,1777474
2022-04-27,1145657
2022-04-28,890186
2022-04-29,730100
2022-04-30,14800
2022-05-01,48300
2022-05-03,986386
2022-05-04,1012637
2022-05-05,983400
2022-05-06,1379674
2022-05-07,225300
2022-05-09,848162
2022-05-10,1452880
2022-05-11,1129772
2022-05-12,1271330
2022-05-13,1190462
2022-05-14,639836
2022-05-15,54400
2022-05-16,1148797
2022-05-17,1836362
2022-05-18,1367562
2022-05-19,950234
2022-05-20,1028400
2022-05-21,549402
2022-05-23,1737247
2022-05-24,1002727
2022-05-25,1211852
2022-05-26,756448
2022-05-27,1006000
2022-05-28,361300
2022-05-30,1313745
2022-05-31,44300
2022-06-01,2156878
2022-06-02,1984929
2022-06-03,1361267
2022-06-04,815124
2022-06-06,1525132
2022-06-07,785948
2022-06-08,509824
2022-06-09,1266670
2022-06-10,1232855
2022-06-11,938802
2022-06-12,30667
2022-06-13,1496286
2022-06-14,2200736
2022-06-15,1096323
2022-06-16,1523408
2022-06-17,903662
2022-06-18,648734
2022-06-20,2552674
2022-06-21,1935711
2022-06-22,2539174
2022-06-23,2546210
2022-06-24,2542140
2022-06-25,1310610
2022-06-26,57500
2022-06-27,1761800
2022-06-28,2666743
2022-06-29,2581701
2022-06-30,137000
2022-07-01,2128098
2022-07-02,1404242
2022-07-03,123800
2022-07-04,1207690
2022-07-05,2637506
2022-07-06,2020298
2022-07-07,1882294
2022-07-08,1142972
2022-07-09,601936
2022-07-11,1217547
2022-07-12,1489704
2022-07-13,3021463
2022-07-14,1631610
2022-07-15,1383838
2022-07-16,231200
2022-07-18,1991163
2022-07-19,1756051
2022-07-20,2279062
2022-07-21,2779156
2022-07-22,1773449
2022-07-23,869087
2022-07-24,196962
2022-07-25,2478950
2022-07-26,2446818
2022-07-27,2179864
2022-07-28,2121246
2022-07-29,1988350
2022-07-30,560100
2022-08-01,1506969
2022-08-02,1008333
2022-08-03,989070
2022-08-04,1759819
2022-08-05,1803849
2022-08-06,707258
2022-08-07,41400
2022-08-08,1864991
2022-08-09,593000
2022-08-10,1539630
2022-08-11,761710
2022-08-12,663036
2022-08-13,219900
2022-08-16,1005736
2022-08-17,864051
2022-08-18,791924
2022-08-19,1316525
2022-08-20,241600
2022-08-22,742441
2022-08-23,755728
2022-08-24,816912
2022-08-25,721899
2022-08-26,1419849
2022-08-27,1185763
2022-08-28,122300
2022-08-29,1383492
2022-08-30,1043900
2022-08-31,52900
2022-09-01,1130751
2022-09-02,391362
2022-09-03,903924
2022-09-04,94100
2022-09-05,1382624
2022-09-06,1287293
2022-09-07,1748626
2022-09-08,597900
2022-09-09,1209445
2022-09-10,1037412
2022-09-12,662400
2022-09-13,573424
2022-09-14,1110336
2022-09-15,1410792
2022-09-16,1178976
2022-09-17,278300
2022-09-19,1331792
2022-09-20,1826246
2022-09-21,1544286
2022-09-22,1417025
2022-09-23,1233442
2022-09-24,368200
2022-09-26,739911
2022-09-27,875782
2022-09-28,706200
2022-09-29,1367548
2022-09-30,158000
2022-10-01,578545
2022-10-04,1220100
2022-10-05,1673315
2022-10-06,1381203
2022-10-07,743288
2022-10-08,428097
2022-10-10,811462
2022-10-11,996848
2022-10-12,1898379
2022-10-13,864600
2022-10-14,1376407
2022-10-15,544448
2022-10-17,447624
2022-10-18,740600
2022-10-19,1090932
2022-10-20,968184
2022-10-21,1763333
2022-10-22,627604
2022-10-23,244048
2022-10-24,444900
2022-10-25,206500
2022-10-26,302998
2022-10-27,843648
2022-10-28,2357264
2022-10-29,222804
2022-11-01,1536330
2022-11-02,474598
2022-11-03,698400
2022-11-04,1707584
2022-11-05,1119370
2022-11-07,1844414
2022-11-08,1616814
2022-11-09,47700
2022-11-10,1499462
2022-11-11,1759524
2022-11-12,406862
2022-11-14,386500
2022-11-15,736798
2022-11-16,787610
2022-11-17,1165651
2022-11-18,683124
2022-11-19,1083833
2022-11-20,36800
2022-11-21,374849
2022-11-22,256210
2022-11-23,469889
2022-11-24,1451204
2022-11-25,603943
2022-11-26,590689
2022-11-27,410410
2022-11-28,534714
2022-11-29,1432999
2022-11-30,202400
2022-12-01,2499380
2022-12-02,1191544
2022-12-03,705000
2022-12-05,883254
2022-12-06,1918847
2022-12-07,1080962
2022-12-08,11762
2022-12-09,341000
2022-12-10,493045
2022-12-11,86300
2022-12-12,391847
2022-12-13,317100
2022-12-14,969045
2022-12-15,311327
2022-12-16,410800
2022-12-19,162500
2022-12-20,192151
2022-12-21,420462
2022-12-22,306553
2022-12-23,171000
2022-12-24,305422
2022-12-26,887286
2022-12-27,143258
2022-12-28,498100
2022-12-29,538214
2022-12-30,296900
2023-01-02,25300
2023-01-03,175700
2023-01-04,297374
2023-01-05,515259
2023-01-06,480762
2023-01-07,163700
2023-01-09,587515
2023-01-10,447488
2023-01-11,469200
2023-01-12,452390
2023-01-13,125236
2023-01-14,580166
2023-01-16,1289099
2023-01-17,836000
2023-01-18,1203822
2023-01-19,1082524
2023-01-20,522874
2023-01-21,352627
2023-01-23,356300
2023-01-24,1618305
2023-01-25,272975
2023-01-26,256036
2023-01-28,222250
2023-01-29,53900
2023-01-30,236300
2023-02-01,265000
2023-02-02,117708
2023-02-03,214200
2023-02-04,316610
2023-02-05,57500
2023-02-07,653386
2023-02-08,432524
2023-02-09,173200
2023-02-10,450315
2023-02-11,44900
2023-02-13,217962
2023-02-14,190039
2023-02-15,279400
2023-02-16,141400
2023-02-17,1231031
2023-02-18,551267
2023-02-19,27600
2023-02-20,2366200
2023-02-21,1402910
2023-02-22,1423864
2023-02-23,1079243
2023-02-24,1217071
2023-02-25,121200
2023-02-26,23500
2023-03-01,1111564
2023-03-02,752662
2023-03-03,1228346
2023-03-04,179250
2023-03-06,736488
2023-03-07,724150
2023-03-08,1426442
2023-03-09,86700
2023-03-10,1898867
2023-03-11,87400
2023-03-13,377502
2023-03-14,631362
2023-03-15,875900
2023-03-16,1350841
2023-03-17,1109972
2023-03-18,573761
2023-03-19,80700
2023-03-20,983045
2023-03-21,578850
2023-03-22,1587101
2023-03-23,1833307
2023-03-24,974543
2023-03-25,230162
2023-03-27,876433
2023-03-28,1372234
2023-03-29,739045
2023-03-30,664900
