"fecha","monto_total"
2022-01-01,98900
2022-01-02,807800
2022-01-03,3868326
2022-01-04,4874208
2022-01-05,5127988
2022-01-06,4797286
2022-01-07,4931278
2022-01-08,2246536
2022-01-09,643344
2022-01-10,5093356
2022-01-11,5277912
2022-01-12,4122351
2022-01-13,4543653
2022-01-14,4208279
2022-01-15,2576912
2022-01-16,632400
2022-01-17,5291709
2022-01-18,4951654
2022-01-19,5145910
2022-01-20,5369295
2022-01-21,5142043
2022-01-22,2901283
2022-01-23,405800
2022-01-24,4430909
2022-01-25,5099265
2022-01-26,4459937
2022-01-27,4295597
2022-01-28,5073061
2022-01-29,2658475
2022-01-30,853900
2022-02-01,5510371
2022-02-02,5669529
2022-02-03,4975694
2022-02-04,5040380
2022-02-05,2801972
2022-02-06,884850
2022-02-07,5131676
2022-02-08,5530646
2022-02-09,4896270
2022-02-10,5598275
2022-02-11,5352266
2022-02-12,3298814
2022-02-13,872430
2022-02-14,5764060
2022-02-15,5707350
2022-02-16,6345671
2022-02-17,6577737
2022-02-18,5743167
2022-02-19,3282000
2022-02-20,835862
2022-02-21,6496260
2022-02-22,6417087
2022-02-23,6603661
2022-02-24,5940884
2022-02-25,6923795
2022-02-26,3397721
2022-02-27,888572
2022-03-01,6020686
2022-03-02,6397266
2022-03-03,7126210
2022-03-04,7031898
2022-03-05,3722086
2022-03-06,822948
2022-03-07,6558255
2022-03-08,6870283
2022-03-09,6591217
2022-03-10,6405436
2022-03-11,5778222
2022-03-12,3516514
2022-03-13,983401
2022-03-14,6851602
2022-03-15,7320838
2022-03-16,7279910
2022-03-17,5909443
2022-03-18,6938116
2022-03-19,3375924
2022-03-20,690300
2022-03-21,7461742
2022-03-22,6320014
2022-03-23,4170150
2022-03-24,5947511
2022-03-25,6350576
2022-03-26,3468943
2022-03-27,920450
2022-03-28,8310980
2022-03-29,6887833
2022-03-30,5936757
2022-03-31,94300
2022-04-01,6503229
2022-04-02,3706016
2022-04-03,642524
2022-04-04,6420040
2022-04-05,5004544
2022-04-06,7075466
2022-04-07,6915076
2022-04-08,6824701
2022-04-09,4447588
2022-04-10,1006600
2022-04-11,7088817
2022-04-12,6721040
2022-04-13,4599250
2022-04-14,851196
2022-04-15,149139
2022-04-16,2128195
2022-04-17,888500
2022-04-18,6775823
2022-04-19,6733495
2022-04-20,5936157
2022-04-21,6364792
2022-04-22,6420535
2022-04-23,3670539
2022-04-24,1104324
2022-04-25,6600834
2022-04-26,7147256
2022-04-27,6590109
2022-04-28,7192588
2022-04-29,6901617
2022-04-30,191700
2022-05-01,625608
2022-05-02,523424
2022-05-03,6314506
2022-05-04,7441674
2022-05-05,7202247
2022-05-06,7462708
2022-05-07,4543400
2022-05-08,787300
2022-05-09,6755494
2022-05-10,7125865
2022-05-11,7176735
2022-05-12,7844288
2022-05-13,6586736
2022-05-14,1892897
2022-05-15,716731
2022-05-16,6702677
2022-05-17,6332865
2022-05-18,6610447
2022-05-19,6722464
2022-05-20,6827878
2022-05-21,4078538
2022-05-22,1025296
2022-05-23,6119997
2022-05-24,7447679
2022-05-25,6914786
2022-05-26,6377892
2022-05-27,5384691
2022-05-28,3937721
2022-05-29,359800
2022-05-30,6471613
2022-05-31,133400
2022-06-01,5903734
2022-06-02,6915033
2022-06-03,6572537
2022-06-04,4080666
2022-06-05,873900
2022-06-06,7105695
2022-06-07,6824980
2022-06-08,7368447
2022-06-09,7556084
2022-06-10,6719635
2022-06-11,3266110
2022-06-12,699298
2022-06-13,6564343
2022-06-14,6526488
2022-06-15,7040526
2022-06-16,6523475
2022-06-17,5895349
2022-06-18,3876449
2022-06-19,674896
2022-06-20,6180172
2022-06-21,6936374
2022-06-22,6278233
2022-06-23,6121771
2022-06-24,6093124
2022-06-25,3310231
2022-06-26,887536
2022-06-27,6181957
2022-06-28,6770935
2022-06-29,6864239
2022-06-30,111236
2022-07-01,5880548
2022-07-02,3550996
2022-07-03,683858
2022-07-04,6998141
2022-07-05,7148265
2022-07-06,7268118
2022-07-07,7868129
2022-07-08,6191941
2022-07-09,3924821
2022-07-10,869050
2022-07-11,5898204
2022-07-12,6150847
2022-07-13,6351479
2022-07-14,6686143
2022-07-15,6442228
2022-07-16,3129602
2022-07-17,743750
2022-07-18,6054668
2022-07-19,6852445
2022-07-20,7251280
2022-07-21,6314382
2022-07-22,6620817
2022-07-23,3775996
2022-07-24,1093360
2022-07-25,6673651
2022-07-26,7136469
2022-07-27,6978516
2022-07-28,6762334
2022-07-29,6763977
2022-07-30,3644444
2022-07-31,4600
2022-08-01,6495948
2022-08-02,7662057
2022-08-03,7749749
2022-08-04,7530224
2022-08-05,7591760
2022-08-06,3248826
2022-08-07,1076670
2022-08-08,7094310
2022-08-09,7652608
2022-08-10,8043890
2022-08-11,7445867
2022-08-12,7578178
2022-08-13,3966661
2022-08-14,1082882
2022-08-15,1821662
2022-08-16,6959759
2022-08-17,7106294
2022-08-18,6572628
2022-08-19,6625972
2022-08-20,4251265
2022-08-21,1180818
2022-08-22,6790935
2022-08-23,7066200
2022-08-24,7544289
2022-08-25,6978955
2022-08-26,6910228
2022-08-27,4786662
2022-08-28,615140
2022-08-29,6402334
2022-08-30,7676367
2022-08-31,470314
2022-09-01,6750129
2022-09-02,7148578
2022-09-03,3844655
2022-09-04,1084825
2022-09-05,7042180
2022-09-06,8543313
2022-09-07,8766199
2022-09-08,6849599
2022-09-09,7365840
2022-09-10,3875329
2022-09-11,863769
2022-09-12,7770936
2022-09-13,7595175
2022-09-14,7557418
2022-09-15,7475229
2022-09-16,7836157
2022-09-17,4731364
2022-09-18,1189900
2022-09-19,5791443
2022-09-20,6788018
2022-09-21,6739876
2022-09-22,7331605
2022-09-23,5642618
2022-09-24,3685109
2022-09-25,997321
2022-09-26,7360805
2022-09-27,6803065
2022-09-28,7545532
2022-09-29,7496832
2022-09-30,309900
2022-10-01,3972090
2022-10-02,819674
2022-10-03,1382084
2022-10-04,7085016
2022-10-05,7441056
2022-10-06,6579513
2022-10-07,7917214
2022-10-08,4383189
2022-10-09,855574
2022-10-10,6897104
2022-10-11,6774283
2022-10-12,7772967
2022-10-13,7196984
2022-10-14,6735261
2022-10-15,3906021
2022-10-16,831504
2022-10-17,7210211
2022-10-18,7497350
2022-10-19,6959295
2022-10-20,5908039
2022-10-21,6634040
2022-10-22,5416239
2022-10-23,1020236
2022-10-24,7371287
2022-10-25,7504889
2022-10-26,7779533
2022-10-27,7328984
2022-10-28,8144653
2022-10-29,4815297
2022-10-30,708553
2022-11-01,7664953
2022-11-02,7516126
2022-11-03,7413172
2022-11-04,7257713
2022-11-05,4366874
2022-11-06,1099722
2022-11-07,7630051
2022-11-08,7589266
2022-11-09,94300
2022-11-10,8025387
2022-11-11,8103024
2022-11-12,4483442
2022-11-13,1106550
2022-11-14,7287596
2022-11-15,8171496
2022-11-16,7731084
2022-11-17,8718626
2022-11-18,6864325
2022-11-19,4558396
2022-11-20,1116800
2022-11-21,6655903
2022-11-22,6652171
2022-11-23,7676628
2022-11-24,6525484
2022-11-25,7550655
2022-11-26,4183809
2022-11-27,998873
2022-11-28,7485791
2022-11-29,7670658
2022-11-30,16100
2022-12-01,7754458
2022-12-02,7636233
2022-12-03,4657543
2022-12-04,928800
2022-12-05,9274098
2022-12-06,8557323
2022-12-07,7240396
2022-12-08,259400
2022-12-09,7323079
2022-12-10,4570448
2022-12-11,358130
2022-12-12,7819367
2022-12-13,7740082
2022-12-14,7741911
2022-12-15,8052985
2022-12-16,7490652
2022-12-17,4282180
2022-12-18,817136
2022-12-19,7759662
2022-12-20,6998179
2022-12-21,7795299
2022-12-22,7157451
2022-12-23,7164774
2022-12-24,3304516
2022-12-25,374500
2022-12-26,6686980
2022-12-27,6736279
2022-12-28,7925529
