"fecha","monto_total"
2022-01-01,750500
2022-01-02,809600
2022-01-03,5079722
2022-01-04,6334774
2022-01-05,6085152
2022-01-06,6751688
2022-01-07,5924584
2022-01-08,4839056
2022-01-09,1095404
2022-01-10,6219551
2022-01-11,6539485
2022-01-12,6111046
2022-01-13,5825734
2022-01-14,5744849
2022-01-15,4393889
2022-01-16,1080500
2022-01-17,6224749
2022-01-18,5996496
2022-01-19,6456526
2022-01-20,5795694
2022-01-21,6200504
2022-01-22,5089785
2022-01-23,997524
2022-01-24,5238308
2022-01-25,5858140
2022-01-26,6146087
2022-01-27,5741725
2022-01-28,4776905
2022-01-29,4548896
2022-01-30,986400
2022-01-31,64400
2022-02-01,6860922
2022-02-02,6720877
2022-02-03,6812112
2022-02-04,6395492
2022-02-05,5002485
2022-02-06,1379198
2022-02-07,6985598
2022-02-08,6985565
2022-02-09,7091538
2022-02-10,6729781
2022-02-11,7831197
2022-02-12,6313238
2022-02-13,1430236
2022-02-14,7167965
2022-02-15,6710673
2022-02-16,7210836
2022-02-17,6617260
2022-02-18,8703021
2022-02-19,6145645
2022-02-20,1445350
2022-02-21,6871184
2022-02-22,8015591
2022-02-23,7246689
2022-02-24,7191732
2022-02-25,7750415
2022-02-26,5684691
2022-02-27,1457612
2022-02-28,74400
2022-03-01,6231898
2022-03-02,5825444
2022-03-03,6994533
2022-03-04,7622520
2022-03-05,5924341
2022-03-06,1644836
2022-03-07,8204430
2022-03-08,7593099
2022-03-09,7811529
2022-03-10,7094708
2022-03-11,7175908
2022-03-12,5890578
2022-03-13,1221853
2022-03-14,7684092
2022-03-15,7241545
2022-03-16,7238508
2022-03-17,7923085
2022-03-18,6240454
2022-03-19,4859604
2022-03-20,1002000
2022-03-21,6797836
2022-03-22,8079699
2022-03-23,6472280
2022-03-24,6707043
2022-03-25,6370122
2022-03-26,6140154
2022-03-27,1195375
2022-03-28,7095292
2022-03-29,8306212
2022-03-30,7219270
2022-03-31,509524
2022-04-01,7948527
2022-04-02,6692062
2022-04-03,1458186
2022-04-04,6367174
2022-04-05,6518076
2022-04-06,6595941
2022-04-07,7250716
2022-04-08,7899600
2022-04-09,6677358
2022-04-10,1494386
2022-04-11,7302356
2022-04-12,7991730
2022-04-13,7027602
2022-04-14,3358351
2022-04-15,528000
2022-04-16,2774310
2022-04-17,1196300
2022-04-18,7922120
2022-04-19,7678200
2022-04-20,8076502
2022-04-21,7250294
2022-04-22,7396835
2022-04-23,6160845
2022-04-24,1512374
2022-04-25,7607018
2022-04-26,7663375
2022-04-27,8584064
2022-04-28,7820919
2022-04-29,7068434
2022-04-30,1037648
2022-05-01,890862
2022-05-02,3808584
2022-05-03,7419323
2022-05-04,7600012
2022-05-05,8221941
2022-05-06,8411880
2022-05-07,7360242
2022-05-08,1261662
2022-05-09,7808995
2022-05-10,8694447
2022-05-11,9316137
2022-05-12,9013400
2022-05-13,8520621
2022-05-14,4267427
2022-05-15,1453962
2022-05-16,7666235
2022-05-17,7810883
2022-05-18,8392738
2022-05-19,8176174
2022-05-20,7766634
2022-05-21,6444359
2022-05-22,940836
2022-05-23,6565358
2022-05-24,8626023
2022-05-25,7124982
2022-05-26,8311941
2022-05-27,7734171
2022-05-28,5991536
2022-05-29,1068786
2022-05-30,6873889
2022-05-31,976119
2022-06-01,6896945
2022-06-02,7679802
2022-06-03,8275818
2022-06-04,4946587
2022-06-05,1546324
2022-06-06,7631256
2022-06-07,7530316
2022-06-08,8319464
2022-06-09,8120729
2022-06-10,8439204
2022-06-11,5504343
2022-06-12,1298312
2022-06-13,7605740
2022-06-14,8119055
2022-06-15,8029170
2022-06-16,8293014
2022-06-17,9119688
2022-06-18,6495167
2022-06-19,1362224
2022-06-20,7087624
2022-06-21,9015620
2022-06-22,7241302
2022-06-23,8664745
2022-06-24,8479967
2022-06-25,5750936
2022-06-26,1217186
2022-06-27,7837404
2022-06-28,8278994
2022-06-29,7325479
2022-06-30,838192
2022-07-01,7619648
2022-07-02,7172989
2022-07-03,1749416
2022-07-04,8770210
2022-07-05,8492621
2022-07-06,8716998
2022-07-07,8147130
2022-07-08,9409379
2022-07-09,7278994
2022-07-10,1668764
2022-07-11,7359653
2022-07-12,7676135
2022-07-13,7629245
2022-07-14,9182021
2022-07-15,7720634
2022-07-16,6189617
2022-07-17,1457812
2022-07-18,7521631
2022-07-19,7183452
2022-07-20,7343730
2022-07-21,7368803
2022-07-22,7687394
2022-07-23,7588978
2022-07-24,2608006
2022-07-25,6528254
2022-07-26,8067737
2022-07-27,8471404
2022-07-28,9378835
2022-07-29,7917761
2022-07-30,6672911
2022-07-31,517572
2022-08-01,8152492
2022-08-02,7947107
2022-08-03,8545134
2022-08-04,8943704
2022-08-05,7505857
2022-08-06,6318282
2022-08-07,1369359
2022-08-08,8137137
2022-08-09,8434435
2022-08-10,9415743
2022-08-11,8155819
2022-08-12,9716545
2022-08-13,7654588
2022-08-14,1481329
2022-08-15,3434286
2022-08-16,8192682
2022-08-17,10285988
2022-08-18,8961025
2022-08-19,7994507
2022-08-20,7019949
2022-08-21,1425886
2022-08-22,7678468
2022-08-23,7528572
2022-08-24,8509776
2022-08-25,8302440
2022-08-26,8689020
2022-08-27,7763817
2022-08-28,1548188
2022-08-29,7096625
2022-08-30,8246042
2022-08-31,1051286
2022-09-01,7025330
2022-09-02,8210461
2022-09-03,6047154
2022-09-04,1340948
2022-09-05,6534105
2022-09-06,8701924
2022-09-07,8599709
2022-09-08,8125440
2022-09-09,8370539
2022-09-10,5455652
2022-09-11,1468241
2022-09-12,6634524
2022-09-13,8379432
2022-09-14,7759314
2022-09-15,8139422
2022-09-16,8608212
2022-09-17,7092825
2022-09-18,1671693
2022-09-19,5663259
2022-09-20,7179413
2022-09-21,7705391
2022-09-22,8040860
2022-09-23,8587073
2022-09-24,7007948
2022-09-25,1518383
2022-09-26,7214800
2022-09-27,8594580
2022-09-28,9356582
2022-09-29,7933177
2022-09-30,1228200
2022-10-01,5550490
2022-10-02,1526867
2022-10-03,2617391
2022-10-04,7265772
2022-10-05,7933553
2022-10-06,5185948
2022-10-07,7698529
2022-10-08,6824913
2022-10-09,1384596
2022-10-10,7541368
2022-10-11,7670495
2022-10-12,9185606
2022-10-13,7358561
2022-10-14,7612002
2022-10-15,5995770
2022-10-16,1704856
2022-10-17,7975880
2022-10-18,8396795
2022-10-19,6608673
2022-10-20,8030796
2022-10-21,8544939
2022-10-22,6035921
2022-10-23,1332034
2022-10-24,8169353
2022-10-25,7992883
2022-10-26,7881001
2022-10-27,6759589
2022-10-28,8553475
2022-10-29,5885948
2022-10-30,1048020
2022-10-31,208224
2022-11-01,8366018
2022-11-02,10086436
2022-11-03,8540795
2022-11-04,7781211
2022-11-05,6692928
2022-11-06,1364715
2022-11-07,8989219
2022-11-08,10019221
2022-11-09,686448
2022-11-10,8625888
2022-11-11,7900782
2022-11-12,5675869
2022-11-13,1312024
2022-11-14,9057572
2022-11-15,9325445
2022-11-16,9541186
2022-11-17,10015238
2022-11-18,8992166
2022-11-19,7151941
2022-11-20,1427550
2022-11-21,8056096
2022-11-22,8730882
2022-11-23,9082927
2022-11-24,9757352
2022-11-25,8402789
2022-11-26,6801539
2022-11-27,1489224
2022-11-28,8819230
2022-11-29,9202664
2022-11-30,405924
2022-12-01,7985778
2022-12-02,8515012
2022-12-03,6144112
2022-12-04,1605966
2022-12-05,9355032
2022-12-06,9184810
2022-12-07,8797531
2022-12-08,1394798
2022-12-09,8451652
2022-12-10,6826597
2022-12-11,2040064
2022-12-12,7872750
2022-12-13,7033692
2022-12-14,9641065
2022-12-15,9065363
2022-12-16,8887466
2022-12-17,6342236
2022-12-18,1676348
2022-12-19,8131518
2022-12-20,8800798
2022-12-21,8292559
2022-12-22,7547740
2022-12-23,8158142
2022-12-24,3652755
2022-12-25,575000
2022-12-26,7347574
2022-12-27,8253136
2022-12-28,7794277
2022-12-29,9274321
2022-12-30,8306225
2022-12-31,600099
2023-01-01,461136
2023-01-02,6082861
2023-01-03,7324124
2023-01-04,8722462
2023-01-05,8776710
2023-01-06,7642323
2023-01-07,4817624
2023-01-08,1475093
2023-01-09,7386450
2023-01-10,8008783
2023-01-11,7457165
2023-01-12,7343379
2023-01-13,6736376
2023-01-14,5401126
2023-01-15,1473431
2023-01-16,7512794
2023-01-17,7519532
2023-01-18,7159792
2023-01-19,8403387
2023-01-20,7002305
2023-01-21,5757826
2023-01-22,1164550
2023-01-23,7693239
2023-01-24,6955082
2023-01-25,8776418
2023-01-26,7366565
2023-01-27,8421961
2023-01-28,5205798
2023-01-29,1013315
2023-01-30,7149775
2023-01-31,205600
2023-02-01,8343731
2023-02-02,8275572
2023-02-03,7563620
2023-02-04,6172264
2023-02-05,1310130
2023-02-06,7646672
2023-02-07,8114634
2023-02-08,7247925
2023-02-09,7995823
2023-02-10,8236819
2023-02-11,6537194
2023-02-12,1672637
2023-02-13,8161110
2023-02-14,7650475
2023-02-15,7813341
2023-02-16,7069805
2023-02-17,7633073
2023-02-18,5810122
2023-02-19,1138000
2023-02-20,7603579
2023-02-21,7432902
2023-02-22,8275857
2023-02-23,8304092
2023-02-24,8125157
2023-02-25,6498547
2023-02-26,1263034
2023-02-27,2508965
2023-02-28,64400
2023-03-01,6865787
2023-03-02,7228530
2023-03-03,7867945
2023-03-04,5912265
2023-03-05,1465192
2023-03-06,10278329
2023-03-07,9103838
2023-03-08,9991960
2023-03-09,9013596
2023-03-10,9703035
2023-03-11,6495946
2023-03-12,1560786
2023-03-13,8915473
2023-03-14,10446806
2023-03-15,8339501
2023-03-16,10375035
2023-03-17,9399377
2023-03-18,6883513
2023-03-19,1151460
2023-03-20,9155281
2023-03-21,9132286
2023-03-22,9991592
2023-03-23,9674340
2023-03-24,10393657
2023-03-25,6849288
2023-03-26,1383260
2023-03-27,8361090
2023-03-28,9283533
2023-03-29,8253428
2023-03-30,8454144
2023-03-31,896341
