"fecha","monto_total"
2022-01-01,1277636
2022-01-02,1318734
2022-01-03,6355723
2022-01-04,8187768
2022-01-05,9071762
2022-01-06,7726605
2022-01-07,7464362
2022-01-08,5107055
2022-01-09,2770111
2022-01-10,7128919
2022-01-11,8479108
2022-01-12,8881796
2022-01-13,8012988
2022-01-14,8545696
2022-01-15,6252901
2022-01-16,2927558
2022-01-17,7400354
2022-01-18,8230896
2022-01-19,8490759
2022-01-20,9476238
2022-01-21,9116712
2022-01-22,6854547
2022-01-23,2977241
2022-01-24,9140715
2022-01-25,9671887
2022-01-26,9060408
2022-01-27,9732818
2022-01-28,10145580
2022-01-29,7169773
2022-01-30,3556484
2022-01-31,121600
2022-02-01,9052679
2022-02-02,11456490
2022-02-03,10928936
2022-02-04,10257177
2022-02-05,7459372
2022-02-06,2823395
2022-02-07,10656299
2022-02-08,10667026
2022-02-09,9306092
2022-02-10,10741917
2022-02-11,11912335
2022-02-12,7369822
2022-02-13,3632677
2022-02-14,10225138
2022-02-15,9069993
2022-02-16,9758334
2022-02-17,9847679
2022-02-18,8109095
2022-02-19,7040045
2022-02-20,2993690
2022-02-21,8508037
2022-02-22,7488268
2022-02-23,9148813
2022-02-24,8598880
2022-02-25,9400880
2022-02-26,9093711
2022-02-27,2882833
2022-02-28,181600
2022-03-01,9648139
2022-03-02,11496278
2022-03-03,10667191
2022-03-04,11061043
2022-03-05,7916812
2022-03-06,4046906
2022-03-07,10422524
2022-03-08,11520070
2022-03-09,11340564
2022-03-10,10368500
2022-03-11,8418211
2022-03-12,7822716
2022-03-13,3632384
2022-03-14,9872988
2022-03-15,11231344
2022-03-16,10280072
2022-03-17,9314387
2022-03-18,11376160
2022-03-19,8018205
2022-03-20,3415153
2022-03-21,10890952
2022-03-22,8253688
2022-03-23,7239430
2022-03-24,9676165
2022-03-25,10098943
2022-03-26,8814289
2022-03-27,3346960
2022-03-28,10031333
2022-03-29,9767929
2022-03-30,8715713
2022-03-31,637199
2022-04-01,8977277
2022-04-02,7994707
2022-04-03,4238568
2022-04-04,9504661
2022-04-05,10681467
2022-04-06,11381168
2022-04-07,12311992
2022-04-08,11417650
2022-04-09,7347758
2022-04-10,3526632
2022-04-11,11081183
2022-04-12,9342858
2022-04-13,8130770
2022-04-14,1272794
2022-04-15,677236
2022-04-16,3594314
2022-04-17,2901077
2022-04-18,10001752
2022-04-19,9004117
2022-04-20,11375995
2022-04-21,10116462
2022-04-22,10980276
2022-04-23,7553263
2022-04-24,3760416
2022-04-25,10601139
2022-04-26,11020097
2022-04-27,11852852
2022-04-28,11596079
2022-04-29,9886013
2022-04-30,756960
2022-05-01,6530518
2022-05-02,2699712
2022-05-03,15595642
2022-05-04,12269304
2022-05-05,11936569
2022-05-06,11590451
2022-05-07,8916125
2022-05-08,4207121
2022-05-09,10431747
2022-05-10,11683099
2022-05-11,11988516
2022-05-12,11016785
2022-05-13,9925278
2022-05-14,5520591
2022-05-15,3081336
2022-05-16,8580610
2022-05-17,11196067
2022-05-18,10951526
2022-05-19,10384836
2022-05-20,11121965
2022-05-21,7777653
2022-05-22,4361696
2022-05-23,10067422
2022-05-24,10365715
2022-05-25,10864691
2022-05-26,9201491
2022-05-27,9598302
2022-05-28,7874818
2022-05-29,3793822
2022-05-30,10545645
2022-05-31,1203672
2022-06-01,11882957
2022-06-02,9528684
2022-06-03,11839122
2022-06-04,9018168
2022-06-05,3141340
2022-06-06,9495982
2022-06-07,9717770
2022-06-08,9927840
2022-06-09,12579528
2022-06-10,11586913
2022-06-11,9064810
2022-06-12,3132689
2022-06-13,11091227
2022-06-14,9992025
2022-06-15,10043122
2022-06-16,10252398
2022-06-17,10315207
2022-06-18,9486063
2022-06-19,4888756
2022-06-20,11509855
2022-06-21,10011662
2022-06-22,8458008
2022-06-23,9965118
2022-06-24,11855215
2022-06-25,9331839
2022-06-26,4159972
2022-06-27,11043569
2022-06-28,11823786
2022-06-29,10833548
2022-06-30,988299
2022-07-01,8518418
2022-07-02,8712656
2022-07-03,3665822
2022-07-04,9821261
2022-07-05,11897811
2022-07-06,10854575
2022-07-07,9664709
2022-07-08,10935691
2022-07-09,8186815
2022-07-10,3271852
2022-07-11,8997034
2022-07-12,9543151
2022-07-13,9966425
2022-07-14,9368518
2022-07-15,9281807
2022-07-16,8145216
2022-07-17,3686202
2022-07-18,9289007
2022-07-19,9998374
2022-07-20,9532338
2022-07-21,9529448
2022-07-22,9335138
2022-07-23,8530801
2022-07-24,4740475
2022-07-25,9076086
2022-07-26,9375370
2022-07-27,9874119
2022-07-28,7084748
2022-07-29,8861506
2022-07-30,7724949
2022-07-31,456300
2022-08-01,10066704
2022-08-02,9726684
2022-08-03,9198944
2022-08-04,8954658
2022-08-05,10814000
2022-08-06,7534785
2022-08-07,3503746
2022-08-08,12372804
2022-08-09,11451488
2022-08-10,11351213
2022-08-11,10765045
2022-08-12,11206491
2022-08-13,8947931
2022-08-14,3814234
2022-08-15,3884534
2022-08-16,10307483
2022-08-17,6983139
2022-08-18,8969634
2022-08-19,10570788
2022-08-20,7882479
2022-08-21,3399647
2022-08-22,10105161
2022-08-23,11373900
2022-08-24,12030382
2022-08-25,10233210
2022-08-26,13465146
2022-08-27,9078498
2022-08-28,3564280
2022-08-29,9631050
2022-08-30,9890427
2022-08-31,917974
2022-09-01,9578755
2022-09-02,11373859
2022-09-03,8691415
2022-09-04,3073541
2022-09-05,9661701
2022-09-06,11693675
2022-09-07,12127447
2022-09-08,11622161
2022-09-09,9559989
2022-09-10,7692039
2022-09-11,3784996
2022-09-12,9923216
2022-09-13,10469932
2022-09-14,10542619
2022-09-15,9569303
2022-09-16,10765456
2022-09-17,8320104
2022-09-18,4672482
2022-09-19,9069027
2022-09-20,11501154
2022-09-21,10222992
2022-09-22,10269457
2022-09-23,9977258
2022-09-24,7736016
2022-09-25,2728224
2022-09-26,8249358
2022-09-27,9275301
2022-09-28,8904741
2022-09-29,9283378
2022-09-30,1661710
2022-10-01,6615738
2022-10-02,2700246
2022-10-03,4128760
2022-10-04,11216247
2022-10-05,11433669
2022-10-06,8667192
2022-10-07,11998212
2022-10-08,7509865
2022-10-09,2994211
2022-10-10,8803387
2022-10-11,8104420
2022-10-12,10389247
2022-10-13,12405680
2022-10-14,11054152
