"fecha","monto_total"
2022-01-01,724224
2022-01-02,1518448
2022-01-03,5335330
2022-01-04,5983188
2022-01-05,5442981
2022-01-06,5726528
2022-01-07,5714202
2022-01-08,4148014
2022-01-09,2207786
2022-01-10,6745065
2022-01-11,5611729
2022-01-12,5263135
2022-01-13,5429924
2022-01-14,5365561
2022-01-15,4383795
2022-01-16,2163316
2022-01-17,4629644
2022-01-18,6025932
2022-01-19,5610526
2022-01-20,5093178
2022-01-21,5505693
2022-01-22,4265868
2022-01-23,2375046
2022-01-24,5670477
2022-01-25,4207110
2022-01-26,4797444
2022-01-27,5671398
2022-01-28,6319679
2022-01-29,4996865
2022-01-30,2671434
2022-01-31,78200
2022-02-01,5134569
2022-02-02,5844338
2022-02-03,5816370
2022-02-04,5812249
2022-02-05,5051945
2022-02-06,2854758
2022-02-07,6461589
2022-02-08,6419650
2022-02-09,6723823
2022-02-10,6771414
2022-02-11,6411673
2022-02-12,5348222
2022-02-13,2282663
2022-02-14,7228129
2022-02-15,5972791
2022-02-16,7312632
2022-02-17,6936109
2022-02-18,6720269
2022-02-19,5164617
2022-02-20,2787348
2022-02-21,7059533
2022-02-22,6272542
2022-02-23,6798063
2022-02-24,7452317
2022-02-25,7152258
2022-02-26,5202372
2022-02-27,2931532
2022-02-28,20400
2022-03-01,6170221
2022-03-02,6456405
2022-03-03,7165223
2022-03-04,7299642
2022-03-05,5166770
2022-03-06,3417854
2022-03-07,7434345
2022-03-08,7391624
2022-03-09,7257107
2022-03-10,7221254
2022-03-11,5207144
2022-03-12,5268004
2022-03-13,2606450
2022-03-14,6704948
2022-03-15,6869207
2022-03-16,6431646
2022-03-17,5429293
2022-03-18,7302797
2022-03-19,4692036
2022-03-20,3843481
2022-03-21,7390807
2022-03-22,5860267
2022-03-23,3745984
2022-03-24,5724271
2022-03-25,5569748
2022-03-26,4716002
2022-03-27,2122250
2022-03-28,7570216
2022-03-29,6403724
2022-03-30,4156435
2022-03-31,90800
2022-04-01,6296780
2022-04-02,4596814
2022-04-03,2339762
2022-04-04,4463768
2022-04-05,4995222
2022-04-06,5448820
2022-04-07,6590672
2022-04-08,7431339
2022-04-09,5231471
2022-04-10,2106240
2022-04-11,6519254
2022-04-12,7090264
2022-04-13,5107005
2022-04-14,1903719
2022-04-15,624510
2022-04-16,2462524
2022-04-17,2507334
2022-04-18,6460338
2022-04-19,5975541
2022-04-20,6477346
2022-04-21,6288117
2022-04-22,6858723
2022-04-23,3570103
2022-04-24,1872451
2022-04-25,6650129
2022-04-26,5522016
2022-04-27,6347608
2022-04-28,6331332
2022-04-29,6084512
2022-04-30,64700
2022-05-01,1556510
2022-05-02,1438124
2022-05-03,5247024
2022-05-04,6233125
2022-05-05,7411132
2022-05-06,7126481
2022-05-07,5078108
2022-05-08,3000295
2022-05-09,7185970
2022-05-10,5878524
2022-05-11,6622331
2022-05-12,5652882
2022-05-13,6062410
2022-05-14,2888381
2022-05-15,2952272
2022-05-16,7271536
2022-05-17,7300436
2022-05-18,6225960
2022-05-19,6566937
2022-05-20,6338838
2022-05-21,5095644
2022-05-22,2047592
2022-05-23,7454798
2022-05-24,8221258
2022-05-25,8458627
2022-05-26,5409989
2022-05-27,5360007
2022-05-28,3774969
2022-05-29,1508707
2022-05-30,6444186
2022-05-31,208300
2022-06-01,5674577
2022-06-02,5299781
2022-06-03,6199673
2022-06-04,4964999
2022-06-05,2933971
2022-06-06,6185637
2022-06-07,7090890
2022-06-08,5660334
2022-06-09,6208634
2022-06-10,6745749
2022-06-11,4295781
2022-06-12,1685374
2022-06-13,6352047
2022-06-14,6265304
2022-06-15,6541240
2022-06-16,7316588
2022-06-17,6330934
2022-06-18,5915002
2022-06-19,1898890
2022-06-20,6544908
2022-06-21,6855564
2022-06-22,5353463
2022-06-23,5847488
2022-06-24,5914643
2022-06-25,3701211
2022-06-26,1419098
2022-06-27,6471617
2022-06-28,5676694
2022-06-29,6567220
2022-06-30,157900
2022-07-01,6279411
2022-07-02,4336154
2022-07-03,2363914
2022-07-04,6630679
2022-07-05,6424286
2022-07-06,8027838
2022-07-07,6403368
2022-07-08,6199998
2022-07-09,4982490
2022-07-10,2304286
2022-07-11,5956705
2022-07-12,5764802
2022-07-13,6398948
2022-07-14,5699512
2022-07-15,5742828
2022-07-16,3662074
2022-07-17,2650395
2022-07-18,6361950
2022-07-19,6651441
2022-07-20,7400091
2022-07-21,6248181
2022-07-22,6571495
2022-07-23,4573267
2022-07-24,1667949
2022-07-25,7654781
2022-07-26,7126295
2022-07-27,5768631
2022-07-28,5674018
2022-07-29,5966865
2022-07-30,5286694
2022-07-31,190800
2022-08-01,7677628
2022-08-02,6989851
2022-08-03,7612316
2022-08-04,6485213
2022-08-05,8286716
