"fecha","monto_total"
2022-01-01,385600
2022-01-02,2099720
2022-01-03,5368944
2022-01-04,6740334
2022-01-05,7341728
2022-01-06,6726149
2022-01-07,6420909
2022-01-08,5401433
2022-01-09,2384572
2022-01-10,5582286
2022-01-11,5798708
2022-01-12,4953524
2022-01-13,5915017
2022-01-14,6789852
2022-01-15,5066810
2022-01-16,2368118
2022-01-17,5841299
2022-01-18,5581841
2022-01-19,5372858
2022-01-20,5512308
2022-01-21,5434132
2022-01-22,3764094
2022-01-23,2996997
2022-01-24,6037240
2022-01-25,5426363
2022-01-26,5865999
2022-01-27,3632221
2022-01-28,5625648
2022-01-29,4931585
2022-01-30,1578056
2022-01-31,52100
2022-02-01,5715719
2022-02-02,5940539
2022-02-03,5541637
2022-02-04,6574368
2022-02-05,3676996
2022-02-06,2491287
2022-02-07,7321572
2022-02-08,7196158
2022-02-09,6473133
2022-02-10,6071671
2022-02-11,7339931
2022-02-12,5924912
2022-02-13,2675502
2022-02-14,7347105
2022-02-15,7380026
2022-02-16,5982858
2022-02-17,6772962
2022-02-18,7551474
2022-02-19,5880375
2022-02-20,2571336
2022-02-21,7504406
2022-02-22,6596168
2022-02-23,7024613
2022-02-24,7200502
2022-02-25,6353450
2022-02-26,5837824
2022-02-27,2787429
2022-02-28,212100
2022-03-01,6473366
2022-03-02,7420291
2022-03-03,7973053
2022-03-04,7539054
2022-03-05,5706928
2022-03-06,2778044
2022-03-07,8325129
2022-03-08,6957993
2022-03-09,7112661
2022-03-10,6574323
2022-03-11,6076109
2022-03-12,5584924
2022-03-13,2986292
2022-03-14,7162109
2022-03-15,7443741
2022-03-16,7352193
2022-03-17,5789090
2022-03-18,6968415
2022-03-19,4889068
2022-03-20,2336348
2022-03-21,7342818
2022-03-22,7850664
2022-03-23,4118064
2022-03-24,4298504
2022-03-25,4840735
2022-03-26,4870489
2022-03-27,2127162
2022-03-28,5312362
2022-03-29,6305257
2022-03-30,5206342
2022-03-31,267300
2022-04-01,5195958
2022-04-02,4687070
2022-04-03,2673385
2022-04-04,5193419
2022-04-05,6430194
2022-04-06,6331290
