"fecha","monto_total"
2022-01-01,327362
2022-01-02,1132520
2022-01-03,6218866
2022-01-04,7686373
2022-01-05,7947694
2022-01-06,7596512
2022-01-07,7469552
2022-01-08,5223605
2022-01-09,1318300
2022-01-10,7625986
2022-01-11,6667965
2022-01-12,7390401
2022-01-13,6754306
2022-01-14,7346941
2022-01-15,5152798
2022-01-16,1327534
2022-01-17,7154173
2022-01-18,6620761
2022-01-19,7434446
2022-01-20,7573596
2022-01-21,7041245
2022-01-22,4643488
2022-01-23,1272345
2022-01-24,7427023
2022-01-25,7597034
2022-01-26,7581849
2022-01-27,6932845
2022-01-28,8025010
2022-01-29,5351169
2022-01-30,1481883
2022-02-01,8336734
2022-02-02,8713008
2022-02-03,8116391
2022-02-04,8257863
2022-02-05,5303741
2022-02-06,1913160
2022-02-07,9005627
2022-02-08,9125931
2022-02-09,8145627
2022-02-10,8715754
2022-02-11,8408979
2022-02-12,5986370
2022-02-13,1803110
2022-02-14,8527697
2022-02-15,9092230
2022-02-16,8999720
2022-02-17,9491006
2022-02-18,9577037
2022-02-19,5413406
2022-02-20,1698924
2022-02-21,9607904
2022-02-22,9677665
2022-02-23,9719795
2022-02-24,9750235
2022-02-25,9895120
2022-02-26,5517799
2022-02-27,1931522
2022-03-01,8904582
2022-03-02,9869227
2022-03-03,10038419
2022-03-04,10242842
2022-03-05,6246982
2022-03-06,2146772
2022-03-07,10228356
2022-03-08,10041651
2022-03-09,9783533
2022-03-10,10696105
2022-03-11,8626286
2022-03-12,5836582
2022-03-13,1542221
2022-03-14,9924955
2022-03-15,10553123
2022-03-16,9951911
2022-03-17,9703851
2022-03-18,9435693
2022-03-19,5416110
2022-03-20,1856811
2022-03-21,9753685
2022-03-22,9515875
2022-03-23,7131007
2022-03-24,8136775
2022-03-25,9554323
2022-03-26,6186561
2022-03-27,1801750
2022-03-28,9669815
2022-03-29,10380742
2022-03-30,8111105
2022-03-31,260862
2022-04-01,9484802
2022-04-02,6391918
2022-04-03,2143005
2022-04-04,8978782
2022-04-05,8579230
2022-04-06,9738955
2022-04-07,10178053
2022-04-08,9961249
2022-04-09,6566481
2022-04-10,2017847
2022-04-11,8987347
2022-04-12,9312661
2022-04-13,6088704
2022-04-14,1659072
2022-04-15,355950
2022-04-16,1905424
2022-04-17,1414016
2022-04-18,8818327
2022-04-19,10129111
2022-04-20,9579556
2022-04-21,9515994
2022-04-22,9428501
2022-04-23,5461997
2022-04-24,1683790
2022-04-25,9671146
2022-04-26,10754022
2022-04-27,10514646
2022-04-28,9203878
2022-04-29,10022559
2022-04-30,218800
2022-05-01,1602914
2022-05-02,1845128
2022-05-03,9931332
2022-05-04,10542502
2022-05-05,10910532
2022-05-06,10001688
2022-05-07,5627938
2022-05-08,1941512
2022-05-09,10002639
2022-05-10,10203933
2022-05-11,10112482
2022-05-12,10144689
2022-05-13,10305251
2022-05-14,2520741
2022-05-15,2011748
2022-05-16,9250716
2022-05-17,9550107
2022-05-18,9659995
2022-05-19,9849869
2022-05-20,9813030
2022-05-21,5649148
2022-05-22,1650712
2022-05-23,9784336
2022-05-24,10814636
2022-05-25,9826286
2022-05-26,9451899
2022-05-27,9028254
2022-05-28,5913922
2022-05-29,1456812
2022-05-30,9811582
2022-05-31,261800
2022-06-01,9448003
2022-06-02,10218308
2022-06-03,9654152
2022-06-04,5840300
2022-06-05,1773627
2022-06-06,10089201
2022-06-07,9129403
2022-06-08,9663119
2022-06-09,9507613
2022-06-10,10381813
2022-06-11,5546030
2022-06-12,1544180
2022-06-13,9609338
2022-06-14,9361047
2022-06-15,9755336
2022-06-16,9836300
2022-06-17,9361710
2022-06-18,5801460
2022-06-19,1617924
2022-06-20,10118542
2022-06-21,10700766
2022-06-22,9372224
2022-06-23,9089859
2022-06-24,9272381
2022-06-25,4873223
2022-06-26,1546642
2022-06-27,9620927
2022-06-28,9372054
2022-06-29,10459350
2022-06-30,276900
2022-07-01,8509066
2022-07-02,5693805
2022-07-03,1912074
2022-07-04,10178650
2022-07-05,10432508
2022-07-06,10274989
2022-07-07,10196749
2022-07-08,10050623
2022-07-09,6228990
2022-07-10,1419821
2022-07-11,8295741
2022-07-12,8084827
2022-07-13,10320648
2022-07-14,9049114
2022-07-15,10165252
2022-07-16,4739272
2022-07-17,1697183
2022-07-18,8937373
2022-07-19,9230278
2022-07-20,9747553
2022-07-21,9015647
2022-07-22,8544782
2022-07-23,5824774
2022-07-24,1908516
2022-07-25,9936226
2022-07-26,10487552
2022-07-27,9744959
2022-07-28,9831464
2022-07-29,10033493
2022-07-30,5453536
2022-07-31,189200
2022-08-01,11497046
2022-08-02,9840256
2022-08-03,11238845
2022-08-04,10364961
2022-08-05,10545657
2022-08-06,5488385
2022-08-07,1868489
2022-08-08,10784727
2022-08-09,11083850
2022-08-10,9964377
2022-08-11,10401093
2022-08-12,10835676
2022-08-13,6322288
2022-08-14,1774312
2022-08-15,2628337
2022-08-16,9239115
2022-08-17,10416165
2022-08-18,9982285
2022-08-19,10693864
2022-08-20,6258150
2022-08-21,1888600
2022-08-22,10688757
2022-08-23,9961873
2022-08-24,10153437
2022-08-25,10927509
2022-08-26,9608189
2022-08-27,6102688
2022-08-28,1452084
2022-08-29,9373351
2022-08-30,10490094
2022-08-31,311300
2022-09-01,9311996
2022-09-02,10493954
2022-09-03,6120537
2022-09-04,1816876
2022-09-05,10082296
2022-09-06,8927973
2022-09-07,9965736
2022-09-08,8873759
2022-09-09,10340381
2022-09-10,6281936
2022-09-11,1847451
2022-09-12,11653463
2022-09-13,9415343
2022-09-14,9158104
2022-09-15,11262108
2022-09-16,10281902
2022-09-17,6788177
2022-09-18,1392565
2022-09-19,7924081
2022-09-20,9755793
2022-09-21,9817879
2022-09-22,10412472
2022-09-23,8613224
2022-09-24,6139853
2022-09-25,1719732
2022-09-26,10973045
2022-09-27,9903630
2022-09-28,9771312
2022-09-29,9448408
2022-09-30,312450
2022-10-01,6371418
2022-10-02,1576312
2022-10-03,2486717
2022-10-04,10506233
2022-10-05,10438278
