"fecha","monto_total"
2022-01-03,653516
2022-01-04,374500
2022-01-05,229700
2022-01-06,165300
2022-01-07,319900
2022-01-08,141400
2022-01-10,703382
2022-01-11,268186
2022-01-12,202598
2022-01-13,138500
2022-01-14,539200
2022-01-15,567162
2022-01-16,147800
2022-01-17,626811
2022-01-18,355662
2022-01-19,457124
2022-01-20,521700
2022-01-21,139200
2022-01-23,64500
2022-01-24,463100
2022-01-25,493261
2022-01-26,671554
2022-01-27,67900
2022-01-28,573334
2022-01-30,173862
2022-01-31,3400
2022-02-01,103500
2022-02-02,841045
2022-02-03,68700
2022-02-04,408700
2022-02-05,420662
2022-02-06,269400
2022-02-07,2461012
2022-02-08,1792263
2022-02-09,1235618
2022-02-10,1538583
2022-02-11,1444194
2022-02-12,1017110
2022-02-13,442100
2022-02-14,1588936
2022-02-15,1900521
2022-02-16,1543200
2022-02-17,1965199
2022-02-18,1956823
2022-02-19,1503722
2022-02-20,478048
2022-02-21,1724562
2022-02-22,2284671
2022-02-23,1412786
2022-02-24,1609074
2022-02-25,1438682
2022-02-26,1204772
2022-02-27,474986
2022-03-01,1739321
2022-03-02,1269069
2022-03-03,1458886
2022-03-04,2214572
2022-03-05,1500024
2022-03-06,644300
2022-03-07,2070200
2022-03-08,2010610
2022-03-09,1361174
2022-03-10,1900494
2022-03-11,1609932
2022-03-12,1235455
2022-03-13,472300
2022-03-14,949248
2022-03-15,1567983
2022-03-16,1676312
2022-03-17,2473058
2022-03-18,2238333
2022-03-19,921700
2022-03-20,390810
2022-03-21,1771324
2022-03-22,1886160
2022-03-23,1297344
2022-03-24,1455986
2022-03-25,2194394
2022-03-26,1175762
2022-03-27,391800
2022-03-28,1312224
2022-03-29,1741909
2022-03-30,1270958
2022-03-31,63350
2022-04-01,1715134
2022-04-02,1062454
2022-04-03,268700
2022-04-04,675949
2022-04-05,1601981
2022-04-06,1131943
2022-04-07,847362
2022-04-08,1352298
2022-04-09,489167
2022-04-10,49200
2022-04-11,947798
2022-04-12,1472347
2022-04-13,685862
2022-04-14,27500
2022-04-15,82800
2022-04-18,1341962
2022-04-19,1152424
2022-04-20,957336
2022-04-21,483900
2022-04-22,1083786
2022-04-23,444550
2022-04-25,311253
2022-04-26,779196
2022-04-27,71300
2022-04-28,36200
2022-04-29,578412
2022-05-01,324962
2022-05-03,540239
2022-05-04,95100
2022-05-05,67662
2022-05-06,191000
2022-05-07,81400
2022-05-10,549800
2022-05-11,222300
2022-05-12,276862
2022-05-15,150000
2022-05-17,53450
2022-05-19,182150
2022-05-21,359300
2022-05-22,52900
2022-05-24,91800
2022-05-25,251712
2022-05-26,2300
2022-06-06,176400
2022-06-07,2300
2022-06-11,32945
2022-06-12,255600
2022-06-16,262900
2022-06-22,64201
2022-06-24,114600
2022-06-27,96400
2022-07-06,173100
2022-07-07,369551
2022-07-12,444000
2022-07-17,91500
2022-07-18,305300
2022-07-19,78200
2022-07-20,118300
2022-07-22,248300
2022-07-23,205000
2022-07-26,212684
2022-07-28,374600
2022-07-29,395200
2022-08-02,211300
2022-08-03,292300
2022-08-05,293400
2022-08-08,94700
2022-08-13,90500
2022-08-14,16100
2022-08-17,408200
2022-08-18,78200
2022-08-21,85400
2022-08-24,264900
2022-08-27,141000
2022-08-29,139100
2022-09-01,395049
2022-09-02,86400
2022-09-04,93200
2022-09-05,134300
2022-09-06,307400
2022-09-08,213300
2022-09-10,56400
2022-09-14,91600
2022-09-18,53900
2022-09-28,158400
2022-09-29,743998
2022-10-06,2300
2022-10-08,150809
2022-10-11,344660
2022-10-13,481200
2022-10-15,29900
2022-10-16,88100
2022-10-18,69000
2022-10-19,321010
2022-10-20,267200
2022-10-21,104400
2022-10-25,295000
2022-10-26,262930
2022-10-28,516900
2022-11-02,106500
2022-11-14,91800
2022-11-22,382372
2022-11-28,469000
2022-11-29,326900
2022-12-01,119000
2022-12-03,309800
2022-12-05,629144
2022-12-13,406488
2022-12-16,300338
2022-12-20,543675
2022-12-21,108800
2022-12-26,828503
2022-12-29,204000
2023-01-03,183600
2023-01-04,333700
2023-01-07,169700
2023-01-10,346981
2023-01-12,326200
2023-01-13,330100
2023-01-16,517597
2023-01-17,469800
2023-01-18,375000
2023-01-19,422845
2023-01-20,306211
2023-01-21,622300
2023-01-23,318100
2023-01-24,630463
2023-01-25,536300
2023-01-26,314324
2023-01-27,6800
2023-01-28,319300
2023-01-30,395934
2023-02-01,715600
2023-02-02,507100
2023-02-03,637942
2023-02-04,40800
2023-02-06,407300
2023-02-07,432000
2023-02-08,341400
2023-02-09,96100
2023-02-10,413600
2023-02-11,678006
2023-02-13,285452
2023-02-14,424750
2023-02-15,374111
2023-02-16,448300
2023-02-17,25300
2023-02-21,349562
2023-02-22,357400
2023-02-23,332600
2023-03-10,106700
2023-03-15,74800
2023-03-30,172100
