"fecha","monto_total"
2022-01-01,44200
2022-01-02,210400
2022-01-03,2935090
2022-01-04,4237517
2022-01-05,3455767
2022-01-06,3297407
2022-01-07,2974026
2022-01-08,1715762
2022-01-09,185500
2022-01-10,3767886
2022-01-11,3257494
2022-01-12,2194426
2022-01-13,3399288
2022-01-14,3496329
2022-01-15,1517100
2022-01-16,397500
2022-01-17,3097122
2022-01-18,2907632
2022-01-19,2930600
2022-01-20,2387948
2022-01-21,2998888
2022-01-22,1425258
2022-01-23,605967
2022-01-24,2995033
2022-01-25,2589779
2022-01-26,2679880
2022-01-27,2219884
2022-01-28,2961849
2022-01-29,1390562
2022-01-30,533600
2022-02-01,3074497
2022-02-02,3803047
2022-02-03,2936941
2022-02-04,3744512
2022-02-05,1576690
2022-02-06,337799
2022-02-07,3619437
2022-02-08,4262577
2022-02-09,3815023
2022-02-10,2872020
2022-02-11,3715950
2022-02-12,1605325
2022-02-13,508366
2022-02-14,3582059
2022-02-15,4142036
2022-02-16,4147336
2022-02-17,3707600
2022-02-18,3903821
2022-02-19,1672971
2022-02-20,462600
2022-02-21,3303632
2022-02-22,4212762
2022-02-23,3744080
2022-02-24,4056404
2022-02-25,4439625
2022-02-26,1527623
2022-02-27,633562
2022-03-01,3746746
2022-03-02,4354191
2022-03-03,2561441
2022-03-04,3583078
2022-03-05,2528151
2022-03-06,491236
2022-03-07,4222483
2022-03-08,3703440
2022-03-09,4342610
2022-03-10,3995534
2022-03-11,3401417
2022-03-12,2517816
2022-03-13,140600
2022-03-14,5023621
2022-03-15,3821045
2022-03-16,4724860
2022-03-17,4027588
2022-03-18,3815199
2022-03-19,1725271
2022-03-21,3833496
2022-03-22,5562046
2022-03-23,3226673
2022-03-24,3598279
2022-03-25,2914529
2022-03-26,2599869
2022-03-27,157000
2022-03-28,4009010
2022-03-29,3924057
2022-03-30,3913269
2022-03-31,51000
2022-04-01,4204540
2022-04-02,2153200
2022-04-04,3264682
2022-04-05,3294100
2022-04-06,4516363
2022-04-07,4017409
2022-04-08,4257433
2022-04-09,2172403
2022-04-11,2751620
2022-04-12,3382912
2022-04-13,2005099
2022-04-18,4755032
2022-04-19,4326136
2022-04-20,3549201
2022-04-21,3419912
2022-04-22,4169756
2022-04-23,2186440
2022-04-24,89700
2022-04-25,4620106
2022-04-26,4703365
2022-04-27,4361861
2022-04-28,5003257
2022-04-29,3893906
2022-04-30,35600
2022-05-03,4114536
2022-05-04,4644909
2022-05-05,4003749
2022-05-06,4140404
2022-05-07,2446856
2022-05-09,4460643
2022-05-10,3965701
2022-05-11,4924773
2022-05-12,4741092
2022-05-13,3964504
2022-05-14,3400
2022-05-16,3552574
2022-05-17,3408297
2022-05-18,3912418
2022-05-19,4071205
2022-05-20,4169313
2022-05-21,2456720
2022-05-23,4942729
2022-05-24,3553702
2022-05-25,3382441
2022-05-26,2775882
