"fecha","monto_total"
2022-01-01,33900
2022-01-02,2688000
2022-01-03,13489712
2022-01-04,17087121
2022-01-05,16794603
2022-01-06,16872584
2022-01-07,19269934
2022-01-08,14452150
2022-01-09,5325281
2022-01-10,15195936
2022-01-11,16927328
2022-01-12,16916543
2022-01-13,18828317
2022-01-14,17899550
2022-01-15,15010683
2022-01-16,6916901
2022-01-17,17158550
2022-01-18,16696757
2022-01-19,13767732
2022-01-20,16980433
2022-01-21,13917557
2022-01-22,11163935
2022-01-23,7393968
2022-01-24,19687384
2022-01-25,18128597
2022-01-26,17042564
2022-01-27,15695704
2022-01-28,17168625
2022-01-29,14413949
2022-01-30,7657567
2022-01-31,30600
2022-02-01,17292208
2022-02-02,16525544
2022-02-03,16909433
2022-02-04,15739409
2022-02-05,14253836
2022-02-06,8671246
2022-02-07,19682654
2022-02-08,18101056
2022-02-09,17961085
2022-02-10,18921240
2022-02-11,19174275
2022-02-12,15867484
2022-02-13,7146491
2022-02-14,21157703
2022-02-15,17844506
2022-02-16,19369156
2022-02-17,19043631
2022-02-18,18879799
2022-02-19,17063085
2022-02-20,6783398
2022-02-21,17607240
2022-02-22,19799835
2022-02-23,16931053
2022-02-24,14589632
2022-02-25,16119596
2022-02-26,15568355
2022-02-27,9518432
2022-02-28,23000
2022-03-01,19268683
2022-03-02,21913056
2022-03-03,19885675
2022-03-04,18676264
2022-03-05,19950538
2022-03-06,9919107
2022-03-07,20857113
2022-03-08,17575139
2022-03-09,17781510
2022-03-10,14638365
2022-03-11,15531198
2022-03-12,17095398
2022-03-13,5362574
2022-03-14,16966448
2022-03-15,19202356
2022-03-16,20087618
2022-03-17,18232011
2022-03-18,14576803
2022-03-19,14443922
2022-03-20,10378768
2022-03-21,19574495
2022-03-22,18747925
2022-03-23,10111303
2022-03-24,19793181
2022-03-25,16147185
2022-03-26,16088109
2022-03-27,10530092
2022-03-28,19523727
2022-03-29,18511207
2022-03-30,13083972
2022-03-31,366400
2022-04-01,15759752
2022-04-02,14225148
2022-04-03,8854861
2022-04-04,12934907
2022-04-05,13382903
2022-04-06,18697395
2022-04-07,16647524
2022-04-08,16346152
2022-04-09,16528327
2022-04-10,9204591
2022-04-11,17795906
2022-04-12,19897351
2022-04-13,16775469
2022-04-14,10359740
2022-04-15,2359993
2022-04-16,10147594
2022-04-17,8545536
2022-04-18,20958949
2022-04-19,19135061
2022-04-20,20667146
2022-04-21,17833322
2022-04-22,19679110
2022-04-23,16841631
2022-04-24,10043135
2022-04-25,15880985
2022-04-26,18267920
2022-04-27,17604157
2022-04-28,17541907
2022-04-29,18297410
2022-04-30,503200
2022-05-01,7768970
2022-05-02,6494634
2022-05-03,16910174
2022-05-04,16615281
2022-05-05,17522781
2022-05-06,16782602
2022-05-07,14259142
2022-05-08,11973124
2022-05-09,18091799
2022-05-10,16623180
2022-05-11,17295367
2022-05-12,22698021
2022-05-13,21505858
2022-05-14,8644823
2022-05-15,8672010
2022-05-16,17216784
2022-05-17,19302068
2022-05-18,18999560
2022-05-19,16801656
2022-05-20,19666337
2022-05-21,12551581
2022-05-22,8343098
2022-05-23,19659921
2022-05-24,22380738
2022-05-25,19781159
2022-05-26,17729269
2022-05-27,17397793
2022-05-28,17597315
2022-05-29,8924094
2022-05-30,18846354
2022-05-31,493800
2022-06-01,21321848
2022-06-02,18740768
2022-06-03,22538389
2022-06-04,21377942
2022-06-05,10447517
2022-06-06,19450000
2022-06-07,20650609
2022-06-08,21625005
2022-06-09,18364344
2022-06-10,19007134
2022-06-11,18264534
2022-06-12,6828060
2022-06-13,20976173
2022-06-14,19367965
2022-06-15,19684408
2022-06-16,20160519
2022-06-17,19181854
2022-06-18,14632601
2022-06-19,8437776
2022-06-20,18385139
2022-06-21,16353728
2022-06-22,18414092
2022-06-23,16417101
2022-06-24,17448040
2022-06-25,15093936
2022-06-26,8699843
2022-06-27,17647442
2022-06-28,16950698
2022-06-29,19790786
2022-06-30,374300
2022-07-01,21378667
2022-07-02,17703792
2022-07-03,11650950
2022-07-04,20392188
2022-07-05,19707746
2022-07-06,19603054
2022-07-07,17568212
2022-07-08,19556870
2022-07-09,16744859
2022-07-10,7853271
2022-07-11,17440232
2022-07-12,18809323
2022-07-13,21745018
2022-07-14,21006545
2022-07-15,19556827
2022-07-16,14877161
2022-07-17,8610255
2022-07-18,17261512
2022-07-19,17546327
2022-07-20,18461488
2022-07-21,19690143
2022-07-22,17452337
2022-07-23,15157480
2022-07-24,12274747
2022-07-25,22455013
2022-07-26,22397966
2022-07-27,20701857
2022-07-28,20106476
2022-07-29,20020990
2022-07-30,16008727
2022-07-31,71801
2022-08-01,18743681
2022-08-02,23922343
2022-08-03,20188973
2022-08-04,21312160
2022-08-05,24839870
2022-08-06,18760163
2022-08-07,11751631
2022-08-08,22194250
2022-08-09,19666743
2022-08-10,17594652
2022-08-11,18653997
2022-08-12,22189898
2022-08-13,18671905
2022-08-14,10541923
2022-08-15,13298835
2022-08-16,20516361
2022-08-17,21333874
