"fecha","monto_total"
2022-01-01,438000
2022-01-02,1164262
2022-01-03,11040314
2022-01-04,13874515
2022-01-05,13531306
2022-01-06,14902668
2022-01-07,13337227
2022-01-08,11353065
2022-01-09,2129262
2022-01-10,11746026
2022-01-11,11019610
2022-01-12,11172330
2022-01-13,13293598
2022-01-14,11926270
2022-01-15,10440645
2022-01-16,2256700
2022-01-17,11810520
2022-01-18,14069670
2022-01-19,15471110
2022-01-20,13058793
2022-01-21,14228655
2022-01-22,12255325
2022-01-23,2226724
2022-01-24,12859919
2022-01-25,14317664
2022-01-26,13998442
2022-01-27,13363836
2022-01-28,15655656
2022-01-29,12302504
2022-01-30,2670848
2022-01-31,99000
2022-02-01,13781050
2022-02-02,13212878
2022-02-03,11183887
2022-02-04,12906796
2022-02-05,10204567
2022-02-06,2601125
2022-02-07,13511315
2022-02-08,13495711
2022-02-09,13707807
2022-02-10,15797676
2022-02-11,15563400
2022-02-12,12997261
2022-02-13,2431163
2022-02-14,13080532
2022-02-15,14461712
2022-02-16,14015302
2022-02-17,14575732
2022-02-18,14555038
2022-02-19,13172359
2022-02-20,2600011
2022-02-21,13870101
2022-02-22,15360981
2022-02-23,15384931
2022-02-24,15904628
2022-02-25,15786113
2022-02-26,12382108
2022-02-27,2777913
2022-02-28,85700
2022-03-01,14552520
2022-03-02,16945619
2022-03-03,17116677
2022-03-04,18253413
2022-03-05,13195911
2022-03-06,3061685
2022-03-07,16181751
2022-03-08,16331984
2022-03-09,19022262
2022-03-10,16501306
2022-03-11,14445252
2022-03-12,14269189
2022-03-13,2684900
2022-03-14,16384010
2022-03-15,15815593
2022-03-16,16088145
2022-03-17,18554066
2022-03-18,16682983
2022-03-19,14222150
2022-03-20,3279136
2022-03-21,13121438
2022-03-22,15834438
2022-03-23,10214258
2022-03-24,13899632
2022-03-25,15243848
2022-03-26,13325757
2022-03-27,3028420
2022-03-28,17378154
2022-03-29,18612273
2022-03-30,14898735
2022-03-31,1066999
2022-04-01,17591650
2022-04-02,15485299
2022-04-03,2056410
2022-04-04,14631250
2022-04-05,15504100
2022-04-06,16820368
2022-04-07,18022331
2022-04-08,17104660
2022-04-09,15286458
2022-04-10,3227522
2022-04-11,14403836
2022-04-12,16065778
2022-04-13,13744415
2022-04-14,4055398
2022-04-15,518596
2022-04-16,6296265
2022-04-17,2158954
2022-04-18,15771956
2022-04-19,16729447
2022-04-20,16766715
2022-04-21,16978981
2022-04-22,18239182
2022-04-23,14952065
2022-04-24,2251909
2022-04-25,17058028
2022-04-26,17590167
2022-04-27,17508462
2022-04-28,17823663
2022-04-29,14792460
2022-04-30,1183251
2022-05-01,2649323
2022-05-02,2281072
2022-05-03,16020972
2022-05-04,18525222
2022-05-05,18054323
2022-05-06,18295821
2022-05-07,16647390
2022-05-08,2860641
2022-05-09,17156082
2022-05-10,17465748
2022-05-11,19032944
2022-05-12,17466756
2022-05-13,16345739
2022-05-14,6724563
2022-05-15,2764562
2022-05-16,16174170
2022-05-17,18004243
2022-05-18,17029613
2022-05-19,15319137
2022-05-20,15417874
2022-05-21,14093970
2022-05-22,2599158
2022-05-23,15858305
2022-05-24,16700761
2022-05-25,19154965
2022-05-26,15328286
2022-05-27,16719861
2022-05-28,13474069
2022-05-29,2378778
2022-05-30,15939659
2022-05-31,930700
2022-06-01,16112402
2022-06-02,18035566
2022-06-03,16025987
2022-06-04,14165811
2022-06-05,3401870
2022-06-06,17513333
2022-06-07,16944491
2022-06-08,20113892
2022-06-09,16596546
2022-06-10,15934939
2022-06-11,13669491
2022-06-12,2168262
2022-06-13,14374593
2022-06-14,18093614
2022-06-15,15503104
2022-06-16,18654213
2022-06-17,16931032
2022-06-18,15898373
2022-06-19,2786020
2022-06-20,14304557
2022-06-21,16462629
2022-06-22,15145219
2022-06-23,14582880
2022-06-24,15538041
2022-06-25,15042658
2022-06-26,3030000
2022-06-27,15628204
2022-06-28,18830082
2022-06-29,17899883
2022-06-30,1102600
2022-07-01,16130463
2022-07-02,17068047
2022-07-03,3712597
2022-07-04,18206554
2022-07-05,17460430
2022-07-06,18894440
2022-07-07,18241671
2022-07-08,17777127
2022-07-09,15761140
2022-07-10,4248206
2022-07-11,16685857
2022-07-12,17917813
2022-07-13,16526423
2022-07-14,16966930
2022-07-15,16338363
2022-07-16,13706474
2022-07-17,5869558
2022-07-18,18716865
2022-07-19,17615556
2022-07-20,15681316
2022-07-21,18482730
2022-07-22,17823643
2022-07-23,17683188
2022-07-24,5398879
2022-07-25,19105273
2022-07-26,18026270
2022-07-27,19273440
2022-07-28,15594902
2022-07-29,19233564
2022-07-30,15784973
2022-07-31,832333
2022-08-01,19305545
2022-08-02,20518261
2022-08-03,20479327
2022-08-04,19466222
2022-08-05,18173440
2022-08-06,13080298
2022-08-07,3013154
2022-08-08,15713159
2022-08-09,16510497
2022-08-10,18062909
2022-08-11,18404119
2022-08-12,18215363
2022-08-13,15320733
2022-08-14,3657424
2022-08-15,4310319
2022-08-16,19556257
2022-08-17,20325544
2022-08-18,18709005
2022-08-19,18639778
2022-08-20,15054995
2022-08-21,3861971
2022-08-22,18000644
2022-08-23,19741506
2022-08-24,15414625
2022-08-25,16260152
2022-08-26,17718671
2022-08-27,16595238
2022-08-28,2636999
2022-08-29,13761097
2022-08-30,15626787
2022-08-31,862224
2022-09-01,17766118
2022-09-02,18441802
2022-09-03,13575804
2022-09-04,3394301
2022-09-05,15515204
2022-09-06,18090748
2022-09-07,18650722
2022-09-08,18483037
2022-09-09,17297601
2022-09-10,12317718
2022-09-11,3685956
2022-09-12,15484567
2022-09-13,16383506
2022-09-14,16028829
2022-09-15,16661960
2022-09-16,16649547
2022-09-17,16137964
2022-09-18,3428794
2022-09-19,13449183
2022-09-20,17409928
2022-09-21,15635500
2022-09-22,17647297
2022-09-23,17359307
2022-09-24,14519864
2022-09-25,3374876
2022-09-26,14985470
2022-09-27,16597467
2022-09-28,15755051
2022-09-29,17730530
2022-09-30,1158284
2022-10-01,13360444
2022-10-02,3972731
2022-10-03,2900139
2022-10-04,18073401
2022-10-05,18775159
2022-10-06,14656277
2022-10-07,18911224
2022-10-08,15420608
2022-10-09,2577465
2022-10-10,15183842
2022-10-11,14331299
2022-10-12,16453463
2022-10-13,15474662
2022-10-14,16522686
2022-10-15,14935612
2022-10-16,3391109
2022-10-17,16182714
2022-10-18,16010050
2022-10-19,16101704
2022-10-20,15017927
2022-10-21,17703087
2022-10-22,15400435
2022-10-23,3292724
2022-10-24,18913416
2022-10-25,17907669
2022-10-26,16442739
2022-10-27,16473805
2022-10-28,18001989
2022-10-29,15074073
2022-10-30,2273492
2022-10-31,166300
2022-11-01,17045736
2022-11-02,18223623
2022-11-03,18439120
2022-11-04,17941998
2022-11-05,16337646
2022-11-06,4036827
2022-11-07,15855276
2022-11-08,20137879
2022-11-09,938900
2022-11-10,16139967
2022-11-11,16937939
2022-11-12,12935319
2022-11-13,2829518
2022-11-14,16626478
2022-11-15,17679122
2022-11-16,17156952
2022-11-17,16914264
2022-11-18,18079388
2022-11-19,14086218
2022-11-20,2673686
2022-11-21,12549851
2022-11-22,16005808
2022-11-23,17740412
2022-11-24,16514152
2022-11-25,18799143
2022-11-26,14107110
2022-11-27,3900419
2022-11-28,14901724
2022-11-29,15908351
2022-11-30,536600
2022-12-01,15170469
2022-12-02,15649573
2022-12-03,12549775
2022-12-04,3203150
