"fecha","monto_total"
2022-01-01,1205986
2022-01-02,6071786
2022-01-03,11270922
2022-01-04,13236579
2022-01-05,13421763
2022-01-06,13077899
2022-01-07,12498518
2022-01-08,13354396
2022-01-09,5825335
2022-01-10,11430467
2022-01-11,12864186
2022-01-12,12930922
2022-01-13,13709439
2022-01-14,13207288
2022-01-15,11942453
2022-01-16,5196706
2022-01-17,12633061
2022-01-18,13952360
2022-01-19,12106771
2022-01-20,10990422
2022-01-21,12258552
2022-01-22,11952460
2022-01-23,5363199
2022-01-24,12442503
2022-01-25,10906259
2022-01-26,11742347
2022-01-27,11394113
2022-01-28,14114641
2022-01-29,12723171
2022-01-30,7070206
2022-01-31,9200
2022-02-01,12302142
2022-02-02,12404178
2022-02-03,12426584
2022-02-04,12959901
2022-02-05,11981610
2022-02-06,5907113
2022-02-07,12443113
2022-02-08,13735790
2022-02-09,12776959
2022-02-10,13563586
2022-02-11,13079615
2022-02-12,12804935
2022-02-13,6667224
2022-02-14,13939419
2022-02-15,14055808
2022-02-16,13547538
2022-02-17,15344265
2022-02-18,14990846
2022-02-19,14195066
2022-02-20,6161209
2022-02-21,14607315
2022-02-22,14568830
2022-02-23,13061180
2022-02-24,14288006
2022-02-25,14116587
2022-02-26,14831762
2022-02-27,8089858
2022-03-01,10734583
2022-03-02,14727550
2022-03-03,14454897
2022-03-04,16642963
2022-03-05,16220839
2022-03-06,6758726
2022-03-07,16733734
2022-03-08,17534654
2022-03-09,15400980
2022-03-10,15798057
2022-03-11,11637278
2022-03-12,14121559
2022-03-13,6923535
2022-03-14,12284565
2022-03-15,14334863
2022-03-16,15374972
2022-03-17,14042016
2022-03-18,15106909
2022-03-19,15399131
2022-03-20,6444932
2022-03-21,14535921
2022-03-22,13737858
2022-03-23,8613546
2022-03-24,14662817
2022-03-25,12231922
2022-03-26,14288444
2022-03-27,7582650
2022-03-28,14347961
2022-03-29,13392481
2022-03-30,11615855
2022-03-31,164300
2022-04-01,13511412
2022-04-02,13483509
2022-04-03,7134177
2022-04-04,9357339
2022-04-05,11878729
2022-04-06,15700333
2022-04-07,13847155
2022-04-08,13120818
2022-04-09,13965906
2022-04-10,8858563
2022-04-11,13178537
2022-04-12,14812773
2022-04-13,11763789
2022-04-14,6613278
2022-04-15,906000
2022-04-16,5387330
2022-04-17,7301017
2022-04-18,15607461
2022-04-19,16785228
2022-04-20,15748745
2022-04-21,15086977
2022-04-22,15283613
2022-04-23,13625907
2022-04-24,6917503
2022-04-25,16388305
2022-04-26,14823404
2022-04-27,16761484
2022-04-28,13075580
2022-04-29,13202984
2022-04-30,545300
2022-05-01,6641610
2022-05-02,4959868
2022-05-03,14865143
2022-05-04,15242695
2022-05-05,14027784
2022-05-06,14417588
2022-05-07,14100318
2022-05-08,7224094
2022-05-09,11073459
2022-05-10,14572815
2022-05-11,13865475
2022-05-12,13233714
2022-05-13,12999889
2022-05-14,9125404
2022-05-15,7414824
2022-05-16,14577164
2022-05-17,14183395
2022-05-18,14185676
2022-05-19,13673135
2022-05-20,14265817
2022-05-21,12211130
2022-05-22,7174879
2022-05-23,14353704
2022-05-24,15340404
2022-05-25,14511787
2022-05-26,12002531
2022-05-27,11418216
2022-05-28,13201064
2022-05-29,5582277
2022-05-30,14462764
2022-05-31,328450
2022-06-01,14066084
2022-06-02,13561828
2022-06-03,13152143
2022-06-04,14119220
2022-06-05,6454559
2022-06-06,13341908
2022-06-07,14237296
2022-06-08,14337814
2022-06-09,13083943
2022-06-10,12833290
2022-06-11,13834607
2022-06-12,6833897
2022-06-13,12047522
2022-06-14,12466771
2022-06-15,11976472
2022-06-16,12224746
2022-06-17,13688768
2022-06-18,13901155
2022-06-19,7063510
2022-06-20,14702867
2022-06-21,13926061
2022-06-22,12864299
2022-06-23,10989270
2022-06-24,12574087
2022-06-25,11306939
2022-06-26,5961722
2022-06-27,13595120
2022-06-28,14460770
2022-06-29,12852020
2022-06-30,592300
2022-07-01,12905187
2022-07-02,13372838
2022-07-03,8695711
2022-07-04,14435681
2022-07-05,14736974
2022-07-06,13331733
2022-07-07,13489364
2022-07-08,14440125
2022-07-09,15056829
2022-07-10,6299324
2022-07-11,11462738
2022-07-12,13529811
2022-07-13,13867517
2022-07-14,12757465
2022-07-15,15241767
2022-07-16,13262515
2022-07-17,7364943
2022-07-18,14139128
2022-07-19,14958041
2022-07-20,14317306
2022-07-21,12222570
2022-07-22,15225793
2022-07-23,13656630
2022-07-24,9056391
2022-07-25,12678997
2022-07-26,14919990
2022-07-27,13045558
2022-07-28,14859177
2022-07-29,14662422
2022-07-30,16539467
2022-07-31,399762
2022-08-01,14620071
2022-08-02,13954388
2022-08-03,15167596
2022-08-04,13938970
2022-08-05,16777288
2022-08-06,11187182
2022-08-07,5524459
2022-08-08,12168314
2022-08-09,13986262
2022-08-10,12762571
2022-08-11,15391651
2022-08-12,15999708
2022-08-13,14314198
2022-08-14,8753930
2022-08-15,6796857
2022-08-16,14363037
2022-08-17,15337425
2022-08-18,15086725
2022-08-19,14710337
2022-08-20,15237931
2022-08-21,7040490
2022-08-22,13635483
2022-08-23,13965881
2022-08-24,14621455
2022-08-25,14562829
2022-08-26,15026969
2022-08-27,14808748
2022-08-28,7056390
2022-08-29,13736055
2022-08-30,14178178
2022-08-31,447600
2022-09-01,13826359
2022-09-02,14296802
2022-09-03,16224602
2022-09-04,7298697
2022-09-05,13966151
2022-09-06,16292046
2022-09-07,14195145
2022-09-08,12606823
2022-09-09,14082064
2022-09-10,13775974
2022-09-11,6989531
2022-09-12,14977842
2022-09-13,13647162
2022-09-14,14315685
2022-09-15,13932975
2022-09-16,10977503
2022-09-17,11671768
2022-09-18,6066183
2022-09-19,10375815
2022-09-20,15936821
2022-09-21,14013189
2022-09-22,12879135
2022-09-23,13459774
2022-09-24,12728143
2022-09-25,5258089
2022-09-26,13367854
2022-09-27,11702249
2022-09-28,13479671
2022-09-29,13134707
2022-09-30,467600
2022-10-01,12377043
2022-10-02,6252178
2022-10-03,6723158
2022-10-04,14731956
2022-10-05,14959470
2022-10-06,9167657
2022-10-07,16444497
2022-10-08,14256465
2022-10-09,6591746
2022-10-10,10667201
2022-10-11,10909490
2022-10-12,14503406
2022-10-13,12614309
2022-10-14,14830411
2022-10-15,15947361
2022-10-16,8199148
2022-10-17,16000370
2022-10-18,15478868
2022-10-19,13948458
2022-10-20,12872687
2022-10-21,16450783
2022-10-22,16050622
2022-10-23,6859921
2022-10-24,15495606
2022-10-25,16102388
2022-10-26,15243089
2022-10-27,12605290
2022-10-28,14143006
2022-10-29,12531020
2022-10-30,4526760
2022-10-31,8600
2022-11-01,14194360
2022-11-02,16306138
2022-11-03,13610252
2022-11-04,17086093
2022-11-05,15549514
2022-11-06,8598702
2022-11-07,13495132
2022-11-08,15601970
2022-11-09,669038
2022-11-10,13609800
2022-11-11,14944123
2022-11-12,12316613
2022-11-13,6924729
2022-11-14,11662707
2022-11-15,14683659
2022-11-16,16057860
2022-11-17,15288365
2022-11-18,16562481
2022-11-19,14477071
2022-11-20,7467135
2022-11-21,10716561
2022-11-22,12413604
2022-11-23,13735750
2022-11-24,15371813
2022-11-25,14936966
2022-11-26,13784779
2022-11-27,5703063
2022-11-28,13854106
2022-11-29,14543344
2022-11-30,478700
2022-12-01,13472347
2022-12-02,15129447
2022-12-03,14502012
2022-12-04,7099645
2022-12-05,13732981
2022-12-06,14965561
2022-12-07,13877455
2022-12-08,4435355
2022-12-09,14230381
2022-12-10,12176594
2022-12-11,5477363
2022-12-12,13123036
2022-12-13,14884139
2022-12-14,13078051
2022-12-15,13907319
2022-12-16,14566125
2022-12-17,13174631
2022-12-18,5844996
2022-12-19,11924610
2022-12-20,14792154
