"fecha","monto_total"
2022-01-01,265863
2022-01-02,1398400
2022-01-03,3813474
2022-01-04,2641724
2022-01-05,3409577
2022-01-06,1705339
2022-01-07,2815070
2022-01-08,1913148
2022-01-09,955200
2022-01-10,1054462
2022-01-11,1350010
2022-01-12,2725846
2022-01-13,3636279
2022-01-14,2863698
2022-01-15,3299482
2022-01-16,1879800
2022-01-17,2403376
2022-01-18,2268200
2022-01-19,1756986
2022-01-20,897562
2022-01-21,431338
2022-01-22,1399862
2022-01-23,795948
2022-01-24,1242448
2022-01-25,1287824
2022-01-26,1155674
2022-01-27,1460998
2022-01-28,2126648
2022-01-29,1423572
2022-01-30,763824
2022-01-31,267000
2022-02-01,1742086
2022-02-02,1243674
2022-02-03,1184122
2022-02-04,1945437
2022-02-05,1672638
2022-02-06,1384848
2022-02-07,2111044
2022-02-08,1554156
2022-02-09,2579082
2022-02-10,2897428
2022-02-11,2522613
2022-02-12,1690362
2022-02-13,1257535
2022-02-14,1908857
2022-02-15,1695400
2022-02-16,1989922
2022-02-17,1690200
2022-02-18,2025157
2022-02-19,1706637
2022-02-20,1153049
2022-02-21,1261067
2022-02-22,1641714
2022-02-23,2049254
2022-02-24,1682956
2022-02-25,1729737
2022-02-26,2986203
2022-02-27,3062807
2022-02-28,437124
2022-03-01,2077995
2022-03-02,2640698
2022-03-03,1636762
2022-03-04,2971963
2022-03-05,1689304
2022-03-06,2702777
2022-03-07,1790024
2022-03-08,1918745
2022-03-09,1807210
2022-03-10,2511510
2022-03-11,2985536
2022-03-12,2905786
2022-03-13,1306657
2022-03-14,2021568
2022-03-15,2258062
2022-03-16,2230018
2022-03-17,2744035
2022-03-18,2802356
2022-03-19,2627800
2022-03-20,2612580
2022-03-21,3207756
2022-03-22,2487139
2022-03-23,1731726
2022-03-24,2975632
2022-03-25,2182799
2022-03-26,1283974
2022-03-27,2807536
2022-03-28,2234679
2022-03-29,2300657
2022-03-30,1901079
2022-03-31,115300
2022-04-01,1907828
2022-04-02,1074809
2022-04-03,2107381
2022-04-04,2705043
2022-04-05,900662
2022-04-06,2145198
2022-04-07,2506105
2022-04-08,2883311
2022-04-09,1344856
2022-04-10,1786096
2022-04-11,3090028
2022-04-12,3596074
2022-04-13,2468989
2022-04-14,1998078
2022-04-15,47700
2022-04-16,595460
2022-04-17,1284336
2022-04-18,3580841
2022-04-19,2783510
2022-04-20,2742044
2022-04-21,3036120
2022-04-22,3147680
2022-04-23,1548899
