"fecha","monto_total"
2022-01-01,71300
2022-01-02,739524
2022-01-03,3029456
2022-01-04,3647074
2022-01-05,3780634
2022-01-06,3237396
2022-01-07,3748167
2022-01-08,1980000
2022-01-09,487200
2022-01-10,3622227
2022-01-11,3342867
2022-01-12,3296900
2022-01-13,2871935
2022-01-14,2553300
2022-01-15,2426682
2022-01-16,576115
2022-01-17,3525673
2022-01-18,2365156
2022-01-19,3233362
2022-01-20,3396372
2022-01-21,2579624
2022-01-22,2034883
2022-01-23,548700
2022-01-24,3516664
2022-01-25,3294990
2022-01-26,3270421
2022-01-27,3203880
2022-01-28,3606820
2022-01-29,1876161
2022-01-30,568562
2022-01-31,49145
2022-02-01,3974326
2022-02-02,2934914
2022-02-03,3527587
2022-02-04,2805599
2022-02-05,2052862
2022-02-06,711900
2022-02-07,3612153
2022-02-08,3723172
2022-02-09,3200199
2022-02-10,3893462
2022-02-11,3827662
2022-02-12,1956184
2022-02-13,589824
2022-02-14,3945085
2022-02-15,4136698
2022-02-16,3868790
2022-02-17,3434884
2022-02-18,3676826
2022-02-19,2110056
2022-02-20,799962
2022-02-21,4081344
2022-02-22,3894096
2022-02-23,4056456
2022-02-24,4650708
2022-02-25,4508432
2022-02-26,1698924
2022-02-27,654862
2022-03-01,4029688
2022-03-02,3754174
2022-03-03,4037262
2022-03-04,4169170
2022-03-05,2746004
2022-03-06,699400
2022-03-07,4358299
2022-03-08,4277457
2022-03-09,3980169
2022-03-10,5067786
2022-03-11,3560443
2022-03-12,2441466
2022-03-13,677596
2022-03-14,3984116
2022-03-15,3571964
2022-03-16,3661857
2022-03-17,3855098
2022-03-18,3791744
2022-03-19,1879871
2022-03-20,726550
2022-03-21,5286450
2022-03-22,4399823
2022-03-23,2695082
2022-03-24,4385504
2022-03-25,2974536
2022-03-26,2074400
2022-03-27,127550
2022-03-28,3251059
2022-03-29,4157574
2022-03-30,3685033
2022-03-31,95400
2022-04-01,2965653
2022-04-02,2056033
2022-04-03,679000
2022-04-04,3606878
2022-04-05,2960078
2022-04-06,4293726
2022-04-07,4700093
2022-04-08,3257824
2022-04-09,2623199
2022-04-10,438762
2022-04-11,3712880
2022-04-12,4286798
2022-04-13,2127986
2022-04-14,735662
2022-04-16,549400
2022-04-17,313340
2022-04-18,4215152
2022-04-19,3180754
2022-04-20,3194521
2022-04-21,4607403
2022-04-22,4144400
2022-04-23,2029033
2022-04-24,272700
2022-04-25,4063433
2022-04-26,4836060
2022-04-27,4648903
2022-04-28,4377714
2022-04-29,3444972
2022-04-30,260638
2022-05-01,159300
2022-05-02,320600
2022-05-03,3490833
2022-05-04,5490347
2022-05-05,4209057
2022-05-06,4702544
2022-05-07,1712247
2022-05-08,470700
2022-05-09,4127928
2022-05-10,4699229
2022-05-11,4514674
2022-05-12,3603686
2022-05-13,5075655
2022-05-14,1389894
2022-05-15,452550
2022-05-16,3586112
2022-05-17,3441327
2022-05-18,4315907
2022-05-19,3905843
2022-05-20,4122950
2022-05-21,1733244
2022-05-22,636680
2022-05-23,3543730
2022-05-24,4792700
2022-05-25,3831368
2022-05-26,3565167
2022-05-27,2835387
2022-05-28,1856799
2022-05-29,316962
2022-05-30,2879604
2022-05-31,284935
2022-06-01,3753727
2022-06-02,4112797
2022-06-03,2981848
2022-06-04,1946574
2022-06-05,392500
2022-06-06,2291294
2022-06-07,3182510
2022-06-08,3680287
2022-06-09,4737218
2022-06-10,3982842
2022-06-11,2071598
2022-06-12,427000
2022-06-13,3694102
2022-06-14,2924987
2022-06-15,4281934
2022-06-16,3544224
2022-06-17,3745866
2022-06-18,1533039
2022-06-19,499322
2022-06-20,2928643
2022-06-21,4115560
2022-06-22,3364160
2022-06-23,3537996
2022-06-24,4898182
2022-06-25,1721103
2022-06-26,382201
2022-06-27,3539455
2022-06-28,4002170
2022-06-29,4187490
2022-06-30,125739
2022-07-01,3395923
2022-07-02,1691798
2022-07-03,698882
2022-07-04,3204998
2022-07-05,4628876
2022-07-06,4521651
2022-07-07,3467495
2022-07-08,3548400
2022-07-09,2219726
2022-07-10,386600
2022-07-11,2922129
2022-07-12,4120779
2022-07-13,4460094
2022-07-14,3580109
2022-07-15,4026701
2022-07-16,1886924
2022-07-17,294095
2022-07-18,3202590
2022-07-19,3065124
2022-07-20,4581168
2022-07-21,2648735
2022-07-22,2723019
2022-07-23,2127732
2022-07-24,595581
2022-07-25,3301504
2022-07-26,4216878
2022-07-27,3685557
2022-07-28,2659174
2022-07-29,4091352
2022-07-30,1763705
2022-07-31,82000
2022-08-01,3318914
2022-08-02,3601077
2022-08-03,3254882
2022-08-04,2612168
2022-08-05,3107094
2022-08-06,1556162
2022-08-07,443762
