"fecha","monto_total"
2022-01-01,1232226
2022-01-02,3115820
2022-01-03,9007906
2022-01-04,11594867
2022-01-05,10700688
2022-01-06,11552698
2022-01-07,10649025
2022-01-08,7754430
2022-01-09,3678622
2022-01-10,10202106
2022-01-11,11298440
2022-01-12,10656059
2022-01-13,11618852
2022-01-14,11670034
2022-01-15,8277750
2022-01-16,3409872
2022-01-17,10825909
2022-01-18,10175097
2022-01-19,12077701
2022-01-20,11109142
2022-01-21,11724889
2022-01-22,11323124
2022-01-23,4152963
2022-01-24,11883936
2022-01-25,11093866
2022-01-26,11470559
2022-01-27,9386947
2022-01-28,11588238
2022-01-29,10146542
2022-01-30,4145556
2022-01-31,108100
2022-02-01,12199746
2022-02-02,12431253
2022-02-03,11132570
2022-02-04,12197861
2022-02-05,10218959
2022-02-06,4064671
2022-02-07,12965611
2022-02-08,12136064
2022-02-09,13699436
2022-02-10,12396057
2022-02-11,11383280
2022-02-12,10762943
2022-02-13,3663899
2022-02-14,10664672
2022-02-15,11504532
2022-02-16,11894203
2022-02-17,12044609
2022-02-18,11774094
2022-02-19,9076220
2022-02-20,2563801
2022-02-21,11393034
2022-02-22,11640721
2022-02-23,12606683
2022-02-24,12530464
2022-02-25,11507644
2022-02-26,9190403
2022-02-27,3240862
2022-02-28,185800
2022-03-01,9414406
2022-03-02,10743486
2022-03-03,12508379
2022-03-04,13156840
2022-03-05,12102170
2022-03-06,3105957
2022-03-07,13288319
2022-03-08,12305070
2022-03-09,11493473
2022-03-10,9948654
2022-03-11,8951030
2022-03-12,9365509
2022-03-13,3851748
2022-03-14,10492657
2022-03-15,12130599
2022-03-16,11028502
2022-03-17,13072192
2022-03-18,12769370
2022-03-19,9546603
2022-03-20,4048762
2022-03-21,12485968
2022-03-22,11943867
2022-03-23,5045107
2022-03-24,11915157
2022-03-25,12365381
2022-03-26,9200198
2022-03-27,4165847
2022-03-28,12761182
2022-03-29,12655160
2022-03-30,8750157
2022-03-31,261800
2022-04-01,12797579
2022-04-02,11402397
2022-04-03,4726174
2022-04-04,9728718
2022-04-05,10499611
2022-04-06,11677645
2022-04-07,12004798
2022-04-08,11098146
2022-04-09,11328727
2022-04-10,4813111
2022-04-11,9397220
2022-04-12,11867659
2022-04-13,11310457
2022-04-14,4310272
2022-04-15,898000
2022-04-16,6525234
2022-04-17,4353048
2022-04-18,12302348
2022-04-19,12143137
2022-04-20,11109857
2022-04-21,11111808
2022-04-22,10929848
2022-04-23,9495644
2022-04-24,4983762
2022-04-25,12725508
2022-04-26,14943100
2022-04-27,13176004
2022-04-28,11328414
2022-04-29,11711120
2022-04-30,760800
2022-05-01,4772484
2022-05-02,3738656
2022-05-03,11273471
2022-05-04,13258137
2022-05-05,13044220
2022-05-06,11471099
2022-05-07,10642882
2022-05-08,4814377
2022-05-09,12046685
2022-05-10,11725795
2022-05-11,13385470
2022-05-12,11838113
2022-05-13,12729973
2022-05-14,4913514
2022-05-15,4395818
2022-05-16,11043339
2022-05-17,11517546
2022-05-18,11355513
2022-05-19,12619662
2022-05-20,12211739
2022-05-21,10174895
2022-05-22,3813291
2022-05-23,12142102
2022-05-24,11061267
2022-05-25,13661179
2022-05-26,10440218
2022-05-27,10654523
2022-05-28,10829463
2022-05-29,4195359
2022-05-30,10795796
2022-05-31,586900
2022-06-01,10759102
2022-06-02,11638180
2022-06-03,12730165
2022-06-04,10000366
2022-06-05,3753054
2022-06-06,10179860
2022-06-07,9487732
2022-06-08,11953892
2022-06-09,10643023
2022-06-10,11480582
2022-06-11,8923631
2022-06-12,4046815
2022-06-13,11786819
2022-06-14,11700163
2022-06-15,11885161
2022-06-16,11504557
2022-06-17,11940681
2022-06-18,9404020
2022-06-19,3401310
2022-06-20,11994880
2022-06-21,10448809
2022-06-22,12066948
2022-06-23,10913796
2022-06-24,11635270
2022-06-25,8815893
2022-06-26,2967413
2022-06-27,11616048
2022-06-28,11390333
2022-06-29,10417268
2022-06-30,382100
2022-07-01,11237388
2022-07-02,9459849
2022-07-03,3812362
2022-07-04,14456770
2022-07-05,13029665
2022-07-06,11925795
2022-07-07,12279812
2022-07-08,11175025
2022-07-09,9216694
2022-07-10,4801799
2022-07-11,10642076
2022-07-12,9842865
2022-07-13,10916425
2022-07-14,11290938
2022-07-15,11977900
2022-07-16,8846513
2022-07-17,4107734
2022-07-18,12669570
2022-07-19,12100857
2022-07-20,12922288
2022-07-21,12105427
2022-07-22,12966283
2022-07-23,12071265
2022-07-24,5858813
2022-07-25,12334132
2022-07-26,11889522
2022-07-27,11792250
2022-07-28,11096175
2022-07-29,11342697
2022-07-30,10268023
2022-07-31,407421
2022-08-01,11356676
2022-08-02,12078373
2022-08-03,11689439
2022-08-04,11562543
2022-08-05,12295967
2022-08-06,9369222
2022-08-07,4556105
2022-08-08,12749358
2022-08-09,11423643
2022-08-10,11877942
2022-08-11,11585855
2022-08-12,12954493
2022-08-13,10378704
2022-08-14,3699959
2022-08-15,6192762
2022-08-16,13089692
2022-08-17,11875728
2022-08-18,11862772
2022-08-19,13000918
2022-08-20,9738488
2022-08-21,2781382
2022-08-22,10953876
2022-08-23,11506042
2022-08-24,12796492
2022-08-25,12419684
2022-08-26,12052869
2022-08-27,11425711
2022-08-28,2837172
2022-08-29,12400588
2022-08-30,13182567
2022-08-31,822100
2022-09-01,10738748
2022-09-02,10927686
2022-09-03,11202469
2022-09-04,4556990
2022-09-05,12197823
2022-09-06,13317958
2022-09-07,12541486
2022-09-08,10081659
2022-09-09,12282301
2022-09-10,11498890
2022-09-11,4238588
2022-09-12,12967992
2022-09-13,13518308
2022-09-14,13044783
2022-09-15,11321608
2022-09-16,13778166
2022-09-17,10739009
2022-09-18,3519232
2022-09-19,9202527
2022-09-20,11108592
2022-09-21,11879497
2022-09-22,11453719
2022-09-23,12354600
2022-09-24,10818468
2022-09-25,3791465
2022-09-26,12036456
2022-09-27,12178369
2022-09-28,10712215
2022-09-29,9505466
2022-09-30,583800
2022-10-01,9821165
2022-10-02,5249946
2022-10-03,6377775
2022-10-04,13617919
2022-10-05,13096616
2022-10-06,9043585
2022-10-07,13753612
2022-10-08,12660647
2022-10-09,4642273
2022-10-10,10960046
2022-10-11,10867474
2022-10-12,14148336
2022-10-13,11256796
2022-10-14,11527910
2022-10-15,9076469
2022-10-16,3846121
2022-10-17,12874799
2022-10-18,10862077
2022-10-19,11389035
2022-10-20,8948988
2022-10-21,11159798
2022-10-22,9322670
2022-10-23,4424006
2022-10-24,11845860
