"fecha","monto_total"
2022-01-01,763062
2022-01-02,2006162
2022-01-03,5556936
2022-01-04,9521693
2022-01-05,6669094
2022-01-06,6990648
2022-01-07,7242767
2022-01-08,5208571
2022-01-09,2741898
2022-01-10,7111083
2022-01-11,6969760
2022-01-12,6422962
2022-01-13,5835682
2022-01-14,5533462
2022-01-15,4611179
2022-01-16,2708899
2022-01-17,7495231
2022-01-18,5970422
2022-01-19,5317955
2022-01-20,6539546
2022-01-21,6768219
2022-01-22,6771228
2022-01-23,1859562
2022-01-24,7682473
2022-01-25,7032045
2022-01-26,7570385
2022-01-27,5819999
2022-01-28,6313942
2022-01-29,5366438
2022-01-30,2848921
2022-01-31,79700
2022-02-01,6897894
2022-02-02,8435448
2022-02-03,9341406
2022-02-04,8647741
2022-02-05,6039000
2022-02-06,2619886
2022-02-07,8343436
2022-02-08,8117345
2022-02-09,8263093
2022-02-10,7064652
2022-02-11,8052124
2022-02-12,6685856
2022-02-13,3266735
2022-02-14,7841799
2022-02-15,7920524
2022-02-16,8412062
2022-02-17,9484321
2022-02-18,9621260
2022-02-19,9801191
2022-02-20,3431770
2022-02-21,7714225
2022-02-22,7331623
2022-02-23,9056121
2022-02-24,9050273
2022-02-25,8109992
2022-02-26,8037559
2022-02-27,4836635
2022-02-28,159800
2022-03-01,7754987
2022-03-02,9271314
2022-03-03,9600562
2022-03-04,10384087
2022-03-05,6672857
2022-03-06,5067463
2022-03-07,9164529
2022-03-08,8503524
2022-03-09,8297492
2022-03-10,9250078
2022-03-11,7118289
2022-03-12,7510959
2022-03-13,3679263
2022-03-14,8593032
2022-03-15,7613662
2022-03-16,5047127
2022-03-17,11019814
2022-03-18,9601824
2022-03-19,8898822
2022-03-20,4200094
2022-03-21,10486642
2022-03-22,10272446
2022-03-23,7534644
2022-03-24,9991528
2022-03-25,9257320
2022-03-26,6989259
2022-03-27,3340743
2022-03-28,9679536
2022-03-29,11482967
2022-03-30,8440758
2022-03-31,381400
2022-04-01,8597710
2022-04-02,6511478
2022-04-03,3557198
2022-04-04,6745406
2022-04-05,9502923
2022-04-06,10284864
2022-04-07,10248450
2022-04-08,12066772
2022-04-09,9321940
2022-04-10,3548415
2022-04-11,10911501
2022-04-12,9149595
2022-04-13,11250427
2022-04-14,3530500
2022-04-15,727374
2022-04-16,5392265
2022-04-17,5438815
2022-04-18,10966389
2022-04-19,11914413
2022-04-20,11637665
2022-04-21,11240431
2022-04-22,11890653
2022-04-23,7839252
2022-04-24,2685573
2022-04-25,10966973
2022-04-26,9099098
2022-04-27,10528255
2022-04-28,10004945
2022-04-29,11622907
2022-04-30,638500
2022-05-01,3806983
2022-05-02,5438813
2022-05-03,10494136
2022-05-04,9400124
2022-05-05,9573438
2022-05-06,10478976
2022-05-07,8670811
2022-05-08,3786412
2022-05-09,11676662
2022-05-10,10158634
2022-05-11,12325236
2022-05-12,10078108
2022-05-13,10239561
2022-05-14,6257846
2022-05-15,4656168
2022-05-16,12479410
2022-05-17,10796630
2022-05-18,12098385
2022-05-19,10096689
2022-05-20,11809541
2022-05-21,8043017
2022-05-22,5193175
2022-05-23,12294400
2022-05-24,12525561
2022-05-25,9694267
2022-05-26,9056975
2022-05-27,7732321
2022-05-28,6702605
2022-05-29,3694024
2022-05-30,9551239
2022-05-31,124700
2022-06-01,8657057
2022-06-02,9347162
2022-06-03,11448619
2022-06-04,7641062
2022-06-05,4308275
2022-06-06,9177962
2022-06-07,11272863
2022-06-08,11311511
2022-06-09,11846220
2022-06-10,9883703
2022-06-11,7132036
2022-06-12,3535348
2022-06-13,7982938
2022-06-14,10243379
2022-06-15,10271121
2022-06-16,8812341
2022-06-17,9564069
2022-06-18,7718928
2022-06-19,6909516
2022-06-20,9567437
2022-06-21,11381518
2022-06-22,12262659
2022-06-23,8903787
2022-06-24,11309496
2022-06-25,7865095
2022-06-26,5076770
2022-06-27,8812682
2022-06-28,10639858
2022-06-29,10013160
2022-06-30,338500
2022-07-01,9926991
2022-07-02,8580098
2022-07-03,5505844
2022-07-04,8519640
2022-07-05,11188118
2022-07-06,10336448
2022-07-07,10699561
2022-07-08,11178626
2022-07-09,9120276
2022-07-10,5407925
2022-07-11,9692906
2022-07-12,10448048
2022-07-13,11132281
2022-07-14,10312548
2022-07-15,10899884
2022-07-16,8478568
2022-07-17,4638433
2022-07-18,8678334
2022-07-19,10352381
2022-07-20,9374469
2022-07-21,11344349
2022-07-22,10863913
2022-07-23,7541636
2022-07-24,4488457
2022-07-25,8447919
2022-07-26,11296418
2022-07-27,10792286
2022-07-28,9237980
2022-07-29,10909998
2022-07-30,8436657
2022-07-31,462848
2022-08-01,11821004
2022-08-02,9271583
2022-08-03,9777610
2022-08-04,9035250
2022-08-05,10310557
2022-08-06,6385504
2022-08-07,3790888
2022-08-08,10297598
2022-08-09,10225663
2022-08-10,9555969
2022-08-11,9930727
2022-08-12,9778760
2022-08-13,9345505
2022-08-14,4429840
2022-08-15,4847145
2022-08-16,10195531
2022-08-17,10060006
2022-08-18,10115318
2022-08-19,8751048
2022-08-20,8462969
2022-08-21,4739410
2022-08-22,11821197
2022-08-23,11286389
2022-08-24,12224635
2022-08-25,11353874
2022-08-26,11011691
2022-08-27,7615832
2022-08-28,3428170
2022-08-29,10553483
