"fecha","cantidad_viajes"
2022-01-01,66
2022-01-02,495
2022-01-03,2206
2022-01-04,2705
2022-01-05,2556
2022-01-06,2719
2022-01-07,2526
2022-01-08,1511
2022-01-09,630
2022-01-10,2578
2022-01-11,2357
2022-01-12,2267
2022-01-13,2592
2022-01-14,2701
2022-01-15,1366
2022-01-16,439
2022-01-17,2082
2022-01-18,2375
2022-01-19,2303
2022-01-20,2564
2022-01-21,2788
2022-01-22,1327
2022-01-23,596
2022-01-24,2467
2022-01-25,2038
2022-01-26,2689
2022-01-27,2554
2022-01-28,2632
2022-01-29,1995
2022-01-30,585
2022-01-31,10
2022-02-01,2647
2022-02-02,3136
2022-02-03,2816
2022-02-04,2727
2022-02-05,1474
2022-02-06,643
2022-02-07,3072
2022-02-08,2704
2022-02-09,3220
2022-02-10,2916
2022-02-11,2569
2022-02-12,1658
2022-02-13,509
2022-02-14,2957
2022-02-15,2901
2022-02-16,3169
2022-02-17,3128
2022-02-18,3275
2022-02-19,1618
2022-02-20,377
2022-02-21,3054
2022-02-22,3502
2022-02-23,3463
2022-02-24,3260
2022-02-25,3140
2022-02-26,1654
2022-02-27,464
2022-03-01,3191
2022-03-02,3103
2022-03-03,3373
2022-03-04,3024
2022-03-05,1982
2022-03-06,487
2022-03-07,3902
2022-03-08,3698
2022-03-09,3444
2022-03-10,3430
2022-03-11,3113
2022-03-12,1846
2022-03-13,470
2022-03-14,3607
2022-03-15,3838
2022-03-16,4359
2022-03-17,3748
2022-03-18,3406
2022-03-19,2046
2022-03-20,531
2022-03-21,3651
2022-03-22,3755
2022-03-23,2562
2022-03-24,3505
2022-03-25,4014
2022-03-26,2006
2022-03-27,519
2022-03-28,4086
2022-03-29,3668
2022-03-30,3439
2022-03-31,193
2022-04-01,3978
2022-04-02,2162
2022-04-03,630
2022-04-04,2964
2022-04-05,3692
2022-04-06,3874
2022-04-07,4065
2022-04-08,4050
2022-04-09,2517
2022-04-10,394
2022-04-11,3086
2022-04-12,4032
2022-04-13,2398
2022-04-14,565
2022-04-16,991
2022-04-17,572
2022-04-18,4371
2022-04-19,4354
2022-04-20,4301
2022-04-21,3664
2022-04-22,4402
2022-04-23,2506
2022-04-24,522
2022-04-25,4158
2022-04-26,4690
2022-04-27,4372
2022-04-28,4167
2022-04-29,4343
2022-04-30,161
2022-05-01,542
2022-05-02,529
2022-05-03,4787
2022-05-04,3698
2022-05-05,4647
2022-05-06,4514
2022-05-07,2503
2022-05-08,583
2022-05-09,4275
2022-05-10,4748
2022-05-11,4730
2022-05-12,4531
2022-05-13,4114
2022-05-14,817
2022-05-15,341
2022-05-16,4714
2022-05-17,5098
2022-05-18,4192
2022-05-19,4655
