"fecha","cantidad_viajes"
2022-01-01,1043
2022-01-02,5060
2022-01-03,11975
2022-01-04,13715
2022-01-05,13560
2022-01-06,13527
2022-01-07,13927
2022-01-08,11080
2022-01-09,5288
2022-01-10,13078
2022-01-11,13191
2022-01-12,12585
2022-01-13,13108
2022-01-14,12799
2022-01-15,11531
2022-01-16,6095
2022-01-17,13283
2022-01-18,12836
2022-01-19,12843
2022-01-20,12458
2022-01-21,13896
2022-01-22,11561
2022-01-23,5846
2022-01-24,13207
2022-01-25,13292
2022-01-26,12765
2022-01-27,12797
2022-01-28,13390
2022-01-29,12339
2022-01-30,6913
2022-01-31,477
2022-02-01,13478
2022-02-02,14730
2022-02-03,14109
2022-02-04,14169
2022-02-05,11856
2022-02-06,6666
2022-02-07,14639
2022-02-08,15219
2022-02-09,14352
2022-02-10,15203
2022-02-11,14680
2022-02-12,13378
2022-02-13,7407
2022-02-14,15660
2022-02-15,15057
2022-02-16,15851
2022-02-17,15020
2022-02-18,15798
2022-02-19,13388
2022-02-20,6252
2022-02-21,13620
2022-02-22,15067
2022-02-23,14563
2022-02-24,15443
2022-02-25,15670
2022-02-26,13308
2022-02-27,6991
2022-02-28,313
2022-03-01,11677
2022-03-02,16144
2022-03-03,15234
2022-03-04,16744
2022-03-05,13968
2022-03-06,7721
2022-03-07,15831
2022-03-08,16584
2022-03-09,15459
2022-03-10,16370
2022-03-11,13121
2022-03-12,14340
2022-03-13,7432
2022-03-14,17190
2022-03-15,15211
2022-03-16,11142
2022-03-17,15197
2022-03-18,15871
2022-03-19,13433
2022-03-20,7375
2022-03-21,16095
2022-03-22,16223
2022-03-23,10867
2022-03-24,16111
2022-03-25,15729
2022-03-26,13967
2022-03-27,6844
2022-03-28,16278
2022-03-29,15743
2022-03-30,13993
2022-03-31,926
2022-04-01,15201
2022-04-02,14623
2022-04-03,7694
2022-04-04,13306
2022-04-05,14493
2022-04-06,16270
2022-04-07,16404
2022-04-08,16351
2022-04-09,15571
2022-04-10,7866
2022-04-11,14777
2022-04-12,15127
2022-04-13,14522
2022-04-14,6840
2022-04-15,1550
2022-04-16,7902
2022-04-17,7960
2022-04-18,15469
2022-04-19,17975
2022-04-20,17509
2022-04-21,16146
2022-04-22,15661
2022-04-23,13309
2022-04-24,7401
2022-04-25,16690
2022-04-26,17695
2022-04-27,17924
2022-04-28,16267
2022-04-29,15958
2022-04-30,1318
2022-05-01,6708
2022-05-02,6699
2022-05-03,15591
2022-05-04,16560
2022-05-05,17016
2022-05-06,17028
2022-05-07,15317
2022-05-08,7691
2022-05-09,16877
2022-05-10,16719
2022-05-11,18488
2022-05-12,17643
2022-05-13,18550
2022-05-14,11243
2022-05-15,8756
2022-05-16,16941
2022-05-17,18011
2022-05-18,17110
2022-05-19,17090
2022-05-20,16923
2022-05-21,15950
2022-05-22,8275
2022-05-23,17390
2022-05-24,17611
2022-05-25,17949
2022-05-26,14954
2022-05-27,15661
2022-05-28,13482
2022-05-29,7379
2022-05-30,15989
2022-05-31,1085
2022-06-01,15168
2022-06-02,16262
2022-06-03,16872
2022-06-04,15366
2022-06-05,8380
2022-06-06,15147
2022-06-07,15666
2022-06-08,17853
2022-06-09,16844
2022-06-10,17759
2022-06-11,14107
2022-06-12,8314
2022-06-13,15802
2022-06-14,17548
2022-06-15,17414
2022-06-16,17964
2022-06-17,17068
2022-06-18,16334
2022-06-19,8892
2022-06-20,17490
2022-06-21,17054
2022-06-22,18079
2022-06-23,16298
2022-06-24,17892
2022-06-25,14393
2022-06-26,8183
2022-06-27,16492
2022-06-28,18307
2022-06-29,17781
2022-06-30,1253
2022-07-01,17096
2022-07-02,16271
2022-07-03,9583
2022-07-04,17769
2022-07-05,18635
2022-07-06,19024
2022-07-07,19061
2022-07-08,18970
2022-07-09,16278
2022-07-10,9985
2022-07-11,17128
2022-07-12,17493
2022-07-13,17653
2022-07-14,17720
2022-07-15,17760
2022-07-16,13765
2022-07-17,8144
2022-07-18,18173
2022-07-19,17737
2022-07-20,19056
2022-07-21,18326
2022-07-22,19737
2022-07-23,16066
2022-07-24,9770
2022-07-25,16948
2022-07-26,18990
2022-07-27,17798
2022-07-28,17958
2022-07-29,17467
2022-07-30,16301
2022-07-31,996
2022-08-01,17629
2022-08-02,18742
2022-08-03,18696
2022-08-04,17707
2022-08-05,18841
2022-08-06,13347
2022-08-07,8910
2022-08-08,17374
2022-08-09,18301
2022-08-10,17389
2022-08-11,18766
2022-08-12,18566
2022-08-13,16737
2022-08-14,9145
2022-08-15,9716
2022-08-16,17964
2022-08-17,18727
2022-08-18,17255
2022-08-19,18688
2022-08-20,15701
2022-08-21,8756
2022-08-22,17653
2022-08-23,19370
2022-08-24,17980
2022-08-25,18887
2022-08-26,18068
2022-08-27,16697
2022-08-28,7805
2022-08-29,17850
2022-08-30,17921
2022-08-31,1443
2022-09-01,16715
2022-09-02,18617
2022-09-03,16177
2022-09-04,8675
2022-09-05,17506
2022-09-06,18626
2022-09-07,18902
2022-09-08,19159
2022-09-09,18564
2022-09-10,16606
2022-09-11,9374
2022-09-12,17115
2022-09-13,18433
2022-09-14,17944
2022-09-15,18990
2022-09-16,18152
2022-09-17,15531
2022-09-18,9226
2022-09-19,14348
2022-09-20,18124
2022-09-21,17381
2022-09-22,18135
2022-09-23,18441
2022-09-24,16100
2022-09-25,7936
2022-09-26,17373
2022-09-27,17386
2022-09-28,17798
2022-09-29,17710
2022-09-30,1525
2022-10-01,14305
2022-10-02,8594
2022-10-03,10151
2022-10-04,19132
2022-10-05,18526
2022-10-06,14031
2022-10-07,20104
2022-10-08,16475
2022-10-09,7861
2022-10-10,15187
2022-10-11,15588
2022-10-12,18246
2022-10-13,18226
2022-10-14,18441
2022-10-15,16210
2022-10-16,8688
2022-10-17,18758
2022-10-18,19694
2022-10-19,17588
2022-10-20,15727
2022-10-21,19447
2022-10-22,16197
2022-10-23,9326
2022-10-24,19033
2022-10-25,18950
2022-10-26,18142
2022-10-27,17439
2022-10-28,18126
2022-10-29,15380
2022-10-30,7613
2022-10-31,413
2022-11-01,18215
2022-11-02,18802
2022-11-03,18411
2022-11-04,18760
2022-11-05,16593
2022-11-06,9428
2022-11-07,18278
2022-11-08,19262
2022-11-09,1232
2022-11-10,16782
2022-11-11,18690
2022-11-12,15564
2022-11-13,7520
2022-11-14,18673
2022-11-15,18320
2022-11-16,18258
2022-11-17,18731
2022-11-18,18922
2022-11-19,15798
2022-11-20,8596
2022-11-21,15635
2022-11-22,18079
2022-11-23,18875
2022-11-24,18460
2022-11-25,19038
2022-11-26,16269
2022-11-27,8466
2022-11-28,17580
2022-11-29,18041
2022-11-30,691
2022-12-01,17570
2022-12-02,17765
2022-12-03,15838
2022-12-04,8651
2022-12-05,19066
2022-12-06,18132
2022-12-07,17208
2022-12-08,6152
2022-12-09,17927
2022-12-10,15705
2022-12-11,8435
2022-12-12,17477
2022-12-13,16995
2022-12-14,17723
2022-12-15,18151
2022-12-16,18232
2022-12-17,17227
2022-12-18,8259
2022-12-19,18529
2022-12-20,19041
2022-12-21,17982
2022-12-22,17250
2022-12-23,17971
2022-12-24,11603
2022-12-25,2030
2022-12-26,14073
2022-12-27,15869
2022-12-28,17174
2022-12-29,16463
2022-12-30,16638
2022-12-31,983
2023-01-01,1874
2023-01-02,12093
2023-01-03,13819
2023-01-04,15120
2023-01-05,15945
2023-01-06,16245
2023-01-07,14415
2023-01-08,8558
2023-01-09,16328
