"fecha","cantidad_viajes"
2022-01-01,2043
2022-01-02,3555
2022-01-03,11926
2022-01-04,14114
2022-01-05,14967
2022-01-06,14688
2022-01-07,13612
2022-01-08,10998
2022-01-09,4052
2022-01-10,13638
2022-01-11,14133
2022-01-12,13850
2022-01-13,13361
2022-01-14,13276
2022-01-15,11180
2022-01-16,4925
2022-01-17,13557
2022-01-18,13944
2022-01-19,14040
2022-01-20,14629
2022-01-21,13827
2022-01-22,11020
2022-01-23,4313
2022-01-24,13972
2022-01-25,14479
2022-01-26,14147
2022-01-27,13074
2022-01-28,15055
2022-01-29,12382
2022-01-30,4304
2022-01-31,132
2022-02-01,15776
2022-02-02,15230
2022-02-03,14990
2022-02-04,15532
2022-02-05,11296
2022-02-06,4566
2022-02-07,15816
2022-02-08,15856
2022-02-09,15489
2022-02-10,15246
2022-02-11,16580
2022-02-12,12531
2022-02-13,5064
2022-02-14,16427
2022-02-15,16365
2022-02-16,16122
2022-02-17,16435
2022-02-18,16079
2022-02-19,12606
2022-02-20,4727
2022-02-21,14831
2022-02-22,16072
2022-02-23,17184
2022-02-24,16146
2022-02-25,16146
2022-02-26,13685
2022-02-27,5270
2022-02-28,189
2022-03-01,16185
2022-03-02,22447
2022-03-03,22047
2022-03-04,22769
2022-03-05,16370
2022-03-06,6323
2022-03-07,21861
2022-03-08,22874
2022-03-09,22926
2022-03-10,23423
2022-03-11,19167
2022-03-12,16557
2022-03-13,5454
2022-03-14,23309
2022-03-15,22945
2022-03-16,22337
2022-03-17,22216
2022-03-18,21530
2022-03-19,15342
2022-03-20,6517
2022-03-21,23188
2022-03-22,21951
2022-03-23,15032
2022-03-24,21344
2022-03-25,23647
2022-03-26,16895
2022-03-27,6128
2022-03-28,23938
2022-03-29,24849
2022-03-30,19602
2022-03-31,940
2022-04-01,21986
2022-04-02,18250
2022-04-03,6666
2022-04-04,19300
2022-04-05,19340
2022-04-06,24483
2022-04-07,23181
2022-04-08,24395
2022-04-09,18803
2022-04-10,5978
2022-04-11,21604
2022-04-12,22909
2022-04-13,18235
2022-04-14,7596
2022-04-15,1671
2022-04-16,8370
2022-04-17,5485
2022-04-18,25151
2022-04-19,25629
2022-04-20,25953
2022-04-21,22527
2022-04-22,25943
2022-04-23,11307
2022-04-24,5938
2022-04-25,24226
2022-04-26,25084
2022-04-27,25641
2022-04-28,24786
2022-04-29,23626
2022-04-30,1138
2022-05-01,6110
2022-05-02,5523
2022-05-03,25880
2022-05-04,25808
2022-05-05,25484
2022-05-06,26597
2022-05-07,19223
2022-05-08,6714
2022-05-09,25433
2022-05-10,26146
2022-05-11,26878
2022-05-12,26307
2022-05-13,26148
2022-05-14,11789
2022-05-15,7573
2022-05-16,22519
2022-05-17,24856
2022-05-18,25630
