"fecha","cantidad_viajes"
2022-01-01,70
2022-01-02,186
2022-01-03,1203
2022-01-04,2515
2022-01-05,2642
2022-01-06,2499
2022-01-07,2470
2022-01-08,1716
2022-01-09,157
2022-01-10,2358
2022-01-11,2382
2022-01-12,2275
2022-01-13,2609
2022-01-14,2560
2022-01-15,1982
2022-01-16,177
2022-01-17,2806
2022-01-18,2564
2022-01-19,2434
2022-01-20,2509
2022-01-21,2452
2022-01-22,1880
2022-01-23,115
2022-01-24,2133
2022-01-25,2776
2022-01-26,2588
2022-01-27,2215
2022-01-28,3063
2022-01-29,1864
2022-01-30,238
2022-02-01,2914
2022-02-02,2802
2022-02-03,3043
2022-02-04,2609
2022-02-05,2115
2022-02-06,291
2022-02-07,2833
2022-02-08,2726
2022-02-09,2620
2022-02-10,2599
2022-02-11,2775
2022-02-12,2135
2022-02-13,282
2022-02-14,2973
2022-02-15,3013
2022-02-16,2496
2022-02-17,3932
2022-02-18,3164
2022-02-19,2427
2022-02-20,246
2022-02-21,3289
2022-02-22,3002
2022-02-23,3858
2022-02-24,3508
2022-02-25,3760
2022-02-26,2576
2022-02-27,116
2022-03-01,3127
2022-03-02,2579
2022-03-03,3144
2022-03-04,2194
2022-03-05,2301
2022-03-06,223
2022-03-07,3337
2022-03-08,2696
2022-03-09,3486
2022-03-10,2825
2022-03-11,2915
2022-03-12,1999
2022-03-13,193
2022-03-14,2770
2022-03-15,3418
2022-03-16,3169
2022-03-17,3650
2022-03-18,2828
2022-03-19,2492
2022-03-20,177
2022-03-21,3495
2022-03-22,2560
2022-03-23,2224
2022-03-24,2511
2022-03-25,2960
2022-03-26,1998
2022-03-27,110
2022-03-28,2845
2022-03-29,2618
2022-03-30,2041
2022-03-31,102
2022-04-01,3245
2022-04-02,2200
2022-04-03,211
2022-04-04,1924
2022-04-05,2616
2022-04-06,2321
2022-04-07,3457
2022-04-08,2921
2022-04-09,2345
2022-04-10,208
2022-04-11,2399
2022-04-12,2287
2022-04-13,2066
2022-04-14,236
