"fecha","cantidad_viajes"
2022-01-01,68
2022-01-02,210
2022-01-03,2644
2022-01-04,2996
2022-01-05,3586
2022-01-06,2464
2022-01-07,2888
2022-01-08,2553
2022-01-09,552
2022-01-10,2465
2022-01-11,3049
2022-01-12,3205
2022-01-13,3174
2022-01-14,3229
2022-01-15,2407
2022-01-16,463
2022-01-17,2932
2022-01-18,2813
2022-01-19,2914
2022-01-20,2828
2022-01-21,3163
2022-01-22,1932
2022-01-23,414
2022-01-24,2320
2022-01-25,2280
2022-01-26,1904
2022-01-27,2652
2022-01-28,3097
2022-01-29,2569
2022-01-30,476
2022-02-01,2802
2022-02-02,2847
2022-02-03,2733
2022-02-04,2539
2022-02-05,2634
2022-02-06,259
2022-02-07,3438
2022-02-08,2736
2022-02-09,2931
2022-02-10,3408
2022-02-11,2748
2022-02-12,2315
2022-02-13,324
2022-02-14,2822
2022-02-15,3503
2022-02-16,2789
2022-02-17,2935
2022-02-18,2872
2022-02-19,2283
2022-02-20,264
2022-02-21,2949
2022-02-22,3430
2022-02-23,3383
2022-02-24,2875
2022-02-25,2116
2022-02-26,1355
2022-02-27,109
2022-03-01,3500
2022-03-02,3174
2022-03-03,3285
2022-03-04,3462
2022-03-05,2325
2022-03-06,331
2022-03-07,2705
2022-03-08,2783
2022-03-09,3234
2022-03-10,3033
2022-03-11,2480
2022-03-12,1924
2022-03-13,273
2022-03-14,2313
2022-03-15,3204
2022-03-16,2385
2022-03-17,3046
2022-03-18,3029
2022-03-19,1928
2022-03-20,469
2022-03-21,2678
2022-03-22,2838
2022-03-23,2304
2022-03-24,2987
2022-03-25,2144
2022-03-26,2092
2022-03-27,689
2022-03-28,2651
2022-03-29,3514
2022-03-30,2811
2022-03-31,62
2022-04-01,3493
2022-04-02,2955
2022-04-03,798
2022-04-04,3074
2022-04-05,2900
2022-04-06,3621
2022-04-07,3006
2022-04-08,2938
2022-04-09,2797
2022-04-10,686
2022-04-11,3188
2022-04-12,2492
2022-04-13,2846
2022-04-14,494
2022-04-15,149
2022-04-16,2071
2022-04-17,560
2022-04-18,3065
2022-04-19,3320
2022-04-20,3456
2022-04-21,3198
2022-04-22,3197
2022-04-23,2707
2022-04-24,691
2022-04-25,2689
2022-04-26,3193
2022-04-27,3875
2022-04-28,2716
2022-04-29,3555
2022-04-30,93
2022-05-01,783
2022-05-02,511
2022-05-03,3433
2022-05-04,3315
2022-05-05,4040
2022-05-06,3327
2022-05-07,3140
2022-05-08,779
2022-05-09,3147
2022-05-10,3230
2022-05-11,3339
2022-05-12,3556
2022-05-13,3981
2022-05-14,1519
2022-05-15,508
2022-05-16,3468
2022-05-17,3793
2022-05-18,3316
2022-05-19,3324
2022-05-20,3618
2022-05-21,3006
2022-05-22,626
2022-05-23,3566
2022-05-24,3076
2022-05-25,3747
2022-05-26,3421
2022-05-27,3575
2022-05-28,3226
2022-05-29,580
2022-05-30,3525
2022-05-31,47
2022-06-01,3215
2022-06-02,3387
2022-06-03,3436
2022-06-04,3487
2022-06-05,692
2022-06-06,3477
2022-06-07,3684
2022-06-08,3881
2022-06-09,3200
2022-06-10,2792
2022-06-11,2495
2022-06-12,663
2022-06-13,2712
2022-06-14,3943
2022-06-15,3413
2022-06-16,3513
2022-06-17,3048
2022-06-18,2194
2022-06-19,816
2022-06-20,2786
2022-06-21,2758
2022-06-22,2978
2022-06-23,3000
2022-06-24,3303
2022-06-25,2006
2022-06-26,624
2022-06-27,3533
2022-06-28,3175
2022-06-29,4011
2022-06-30,65
2022-07-01,3241
2022-07-02,3633
2022-07-03,368
2022-07-04,4011
2022-07-05,4638
2022-07-06,4786
2022-07-07,4354
2022-07-08,4362
2022-07-09,3199
2022-07-10,630
2022-07-11,4110
2022-07-12,3283
2022-07-13,3996
2022-07-14,3673
2022-07-15,4040
2022-07-16,3041
2022-07-17,582
2022-07-18,3561
2022-07-19,3148
2022-07-20,3450
2022-07-21,3185
2022-07-22,3557
2022-07-23,3080
2022-07-24,672
2022-07-25,3655
2022-07-26,2869
2022-07-27,3931
2022-07-28,3694
2022-07-29,3719
2022-07-30,2901
2022-07-31,2
2022-08-01,4331
2022-08-02,4711
2022-08-03,4337
2022-08-04,4184
2022-08-05,4407
2022-08-06,2839
2022-08-07,610
2022-08-08,4023
2022-08-09,4382
2022-08-10,3506
2022-08-11,4174
2022-08-12,3623
2022-08-13,3505
2022-08-14,653
2022-08-15,560
2022-08-16,3585
2022-08-17,4296
2022-08-18,4103
2022-08-19,4314
2022-08-20,3222
2022-08-21,773
2022-08-22,4428
2022-08-23,4496
2022-08-24,4570
2022-08-25,4689
2022-08-26,3333
2022-08-27,2924
2022-08-28,616
2022-08-29,4241
2022-08-30,3765
2022-08-31,98
2022-09-01,3644
2022-09-02,3836
2022-09-03,3392
2022-09-04,760
2022-09-05,3645
2022-09-06,4339
2022-09-07,4834
2022-09-08,4762
2022-09-09,3765
2022-09-10,3041
2022-09-11,724
2022-09-12,3947
2022-09-13,4633
2022-09-14,4355
2022-09-15,4570
2022-09-16,4071
2022-09-17,3566
2022-09-18,551
2022-09-19,2700
2022-09-20,4277
2022-09-21,3817
2022-09-22,3870
2022-09-23,3756
2022-09-24,3569
2022-09-25,657
2022-09-26,3924
2022-09-27,3570
2022-09-28,3076
2022-09-29,3255
2022-09-30,163
2022-10-01,3354
2022-10-02,543
2022-10-03,658
2022-10-04,4253
2022-10-05,3858
2022-10-06,2149
2022-10-07,3617
2022-10-08,3140
2022-10-09,646
2022-10-10,3096
2022-10-11,3830
2022-10-12,3555
2022-10-13,3902
2022-10-14,4644
2022-10-15,2851
2022-10-16,661
2022-10-17,3422
2022-10-18,4104
2022-10-19,4082
2022-10-20,3489
2022-10-21,4323
2022-10-22,2666
2022-10-23,539
2022-10-24,4074
2022-10-25,4609
2022-10-26,3910
2022-10-27,3623
2022-10-28,3991
2022-10-29,2391
2022-10-30,501
2022-11-01,4022
2022-11-02,3533
2022-11-03,4024
2022-11-04,3995
