"fecha","cantidad_viajes"
2022-01-01,1361
2022-01-02,3690
2022-01-03,15814
2022-01-04,16817
2022-01-05,17473
2022-01-06,17052
2022-01-07,17855
2022-01-08,12096
2022-01-09,4036
2022-01-10,17620
2022-01-11,17569
2022-01-12,16609
2022-01-13,16235
2022-01-14,17156
2022-01-15,11851
2022-01-16,4096
2022-01-17,17372
2022-01-18,16934
2022-01-19,17594
2022-01-20,17668
2022-01-21,18322
2022-01-22,12062
2022-01-23,3864
2022-01-24,18219
2022-01-25,18070
2022-01-26,17982
2022-01-27,17255
2022-01-28,18938
2022-01-29,12737
2022-01-30,3764
2022-01-31,99
2022-02-01,19176
2022-02-02,19586
2022-02-03,18583
2022-02-04,18824
2022-02-05,12524
2022-02-06,4154
2022-02-07,19562
2022-02-08,19468
2022-02-09,20212
2022-02-10,20431
2022-02-11,21048
2022-02-12,13244
2022-02-13,4190
2022-02-14,19109
2022-02-15,20445
2022-02-16,20393
2022-02-17,20222
2022-02-18,20874
2022-02-19,14012
2022-02-20,3864
2022-02-21,19549
2022-02-22,20745
2022-02-23,20664
2022-02-24,19782
2022-02-25,21524
2022-02-26,14265
2022-02-27,3872
2022-02-28,63
2022-03-01,17258
2022-03-02,22098
2022-03-03,21228
2022-03-04,20883
2022-03-05,14594
2022-03-06,4059
2022-03-07,20131
2022-03-08,20602
2022-03-09,21811
2022-03-10,20108
2022-03-11,17569
2022-03-12,14059
2022-03-13,4449
2022-03-14,20346
2022-03-15,19805
2022-03-16,19626
2022-03-17,19358
2022-03-18,20127
2022-03-19,12772
2022-03-20,4704
2022-03-21,20849
2022-03-22,19941
2022-03-23,14472
2022-03-24,20254
2022-03-25,20958
2022-03-26,14322
2022-03-27,4694
2022-03-28,21044
2022-03-29,21842
2022-03-30,18063
2022-03-31,675
2022-04-01,21797
2022-04-02,14263
2022-04-03,5148
2022-04-04,19300
2022-04-05,18334
2022-04-06,21917
2022-04-07,21923
2022-04-08,21431
2022-04-09,15417
2022-04-10,4725
2022-04-11,19894
2022-04-12,21384
2022-04-13,17689
2022-04-14,5490
2022-04-15,1472
2022-04-16,8866
2022-04-17,4497
2022-04-18,21816
2022-04-19,22991
2022-04-20,22726
2022-04-21,20881
2022-04-22,22773
2022-04-23,15795
2022-04-24,5623
2022-04-25,22433
2022-04-26,23085
2022-04-27,23204
2022-04-28,21639
2022-04-29,21543
2022-04-30,1020
2022-05-01,4544
2022-05-02,4596
2022-05-03,20495
2022-05-04,22762
2022-05-05,23732
2022-05-06,22679
2022-05-07,15944
2022-05-08,5432
2022-05-09,22453
2022-05-10,22283
2022-05-11,23786
2022-05-12,22901
2022-05-13,23532
2022-05-14,9058
2022-05-15,5381
2022-05-16,20871
2022-05-17,21872
2022-05-18,22164
2022-05-19,21971
2022-05-20,21516
2022-05-21,15549
2022-05-22,5295
2022-05-23,22557
2022-05-24,21917
2022-05-25,22739
2022-05-26,19604
2022-05-27,21031
2022-05-28,15628
2022-05-29,4517
2022-05-30,20270
2022-05-31,797
2022-06-01,21305
2022-06-02,22969
2022-06-03,23757
2022-06-04,15738
2022-06-05,5372
2022-06-06,21486
2022-06-07,21573
2022-06-08,22886
2022-06-09,21711
2022-06-10,22389
2022-06-11,14184
2022-06-12,4924
2022-06-13,22332
2022-06-14,22494
2022-06-15,23657
2022-06-16,23604
2022-06-17,22525
2022-06-18,16211
2022-06-19,5768
2022-06-20,22688
2022-06-21,23671
2022-06-22,22719
2022-06-23,21778
2022-06-24,22656
2022-06-25,15273
2022-06-26,5079
2022-06-27,21936
2022-06-28,22129
2022-06-29,21758
2022-06-30,945
2022-07-01,21497
2022-07-02,16339
2022-07-03,4994
2022-07-04,21631
2022-07-05,23168
2022-07-06,22101
2022-07-07,22162
2022-07-08,22899
2022-07-09,16342
2022-07-10,6027
2022-07-11,21188
2022-07-12,21813
2022-07-13,22015
2022-07-14,21871
2022-07-15,22557
2022-07-16,15178
2022-07-17,5260
2022-07-18,20941
2022-07-19,21825
2022-07-20,21846
2022-07-21,22438
2022-07-22,22342
2022-07-23,16185
2022-07-24,6779
2022-07-25,21835
2022-07-26,22711
2022-07-27,21595
2022-07-28,22153
2022-07-29,21812
2022-07-30,15933
2022-07-31,861
2022-08-01,22243
2022-08-02,22707
2022-08-03,22619
2022-08-04,21637
2022-08-05,22539
2022-08-06,14260
2022-08-07,5596
2022-08-08,21745
2022-08-09,22808
2022-08-10,22852
2022-08-11,23337
2022-08-12,22932
2022-08-13,16579
2022-08-14,5832
2022-08-15,6519
2022-08-16,22089
2022-08-17,23445
2022-08-18,23338
2022-08-19,22989
2022-08-20,16426
2022-08-21,6812
2022-08-22,23171
2022-08-23,23425
2022-08-24,24352
2022-08-25,22558
2022-08-26,23964
2022-08-27,17162
2022-08-28,6017
2022-08-29,21899
2022-08-30,22654
2022-08-31,1097
2022-09-01,22732
2022-09-02,22553
2022-09-03,16974
2022-09-04,6440
2022-09-05,22339
2022-09-06,23058
2022-09-07,23189
2022-09-08,22905
2022-09-09,23593
2022-09-10,16342
2022-09-11,6351
2022-09-12,22086
2022-09-13,22865
2022-09-14,22560
2022-09-15,22187
2022-09-16,22418
2022-09-17,16367
2022-09-18,6418
2022-09-19,19108
2022-09-20,23427
2022-09-21,22482
2022-09-22,23394
2022-09-23,23180
2022-09-24,15348
2022-09-25,5683
2022-09-26,22604
2022-09-27,21998
2022-09-28,22784
2022-09-29,21959
2022-09-30,1160
2022-10-01,14559
2022-10-02,5988
2022-10-03,7456
2022-10-04,23860
2022-10-05,23096
2022-10-06,18377
2022-10-07,23953
2022-10-08,16345
2022-10-09,5102
2022-10-10,19587
2022-10-11,18422
2022-10-12,22648
2022-10-13,22058
2022-10-14,22685
2022-10-15,16258
2022-10-16,7119
2022-10-17,21299
2022-10-18,22644
2022-10-19,21389
2022-10-20,18913
2022-10-21,22949
2022-10-22,16662
2022-10-23,6705
2022-10-24,23870
2022-10-25,23114
2022-10-26,22187
2022-10-27,22017
2022-10-28,22998
2022-10-29,15254
2022-10-30,6220
2022-10-31,78
2022-11-01,22592
2022-11-02,23191
2022-11-03,23056
2022-11-04,23104
2022-11-05,17423
2022-11-06,7159
2022-11-07,22868
2022-11-08,23696
2022-11-09,671
2022-11-10,21068
2022-11-11,23212
2022-11-12,16328
2022-11-13,5883
2022-11-14,22297
2022-11-15,22156
2022-11-16,22138
2022-11-17,22670
2022-11-18,22190
2022-11-19,16646
2022-11-20,7045
2022-11-21,19858
2022-11-22,22168
2022-11-23,23175
2022-11-24,22470
2022-11-25,22977
2022-11-26,15829
2022-11-27,6396
2022-11-28,23071
2022-11-29,23181
2022-11-30,559
2022-12-01,22517
2022-12-02,23316
2022-12-03,16810
2022-12-04,7062
2022-12-05,23505
2022-12-06,23636
2022-12-07,22864
2022-12-08,4935
2022-12-09,21249
2022-12-10,16717
2022-12-11,5758
2022-12-12,20095
2022-12-13,20354
2022-12-14,22630
2022-12-15,22845
2022-12-16,22025
2022-12-17,17724
2022-12-18,6675
2022-12-19,23226
2022-12-20,24623
2022-12-21,24874
2022-12-22,23224
2022-12-23,22873
2022-12-24,11646
2022-12-25,2479
2022-12-26,20356
2022-12-27,21918
2022-12-28,21515
2022-12-29,21888
2022-12-30,19929
2022-12-31,493
2023-01-01,2087
2023-01-02,16495
2023-01-03,17213
2023-01-04,18851
2023-01-05,20820
2023-01-06,19928
2023-01-07,14786
2023-01-08,5341
2023-01-09,20030
2023-01-10,21219
2023-01-11,21971
2023-01-12,21120
2023-01-13,18074
2023-01-14,14021
2023-01-15,6213
2023-01-16,20638
2023-01-17,21848
2023-01-18,20398
2023-01-19,20818
2023-01-20,20799
2023-01-21,14489
2023-01-22,5843
2023-01-23,20162
2023-01-24,19844
2023-01-25,21276
2023-01-26,20676
2023-01-27,20759
2023-01-28,15339
2023-01-29,6810
2023-01-30,19996
2023-01-31,403
2023-02-01,22584
2023-02-02,21985
2023-02-03,21003
2023-02-04,16070
2023-02-05,6860
2023-02-06,21767
2023-02-07,21398
