"fecha","cantidad_viajes"
2022-01-03,857
2022-01-04,1309
2022-01-05,1162
2022-01-06,921
2022-01-07,1124
2022-01-08,968
2022-01-09,33
2022-01-10,1751
2022-01-11,1552
2022-01-12,1587
2022-01-13,1434
2022-01-14,1673
2022-01-15,1397
2022-01-16,8
2022-01-17,1951
2022-01-18,1971
2022-01-19,1587
2022-01-20,1847
2022-01-21,1473
2022-01-22,1371
2022-01-23,16
2022-01-24,2067
2022-01-25,1830
2022-01-26,2387
2022-01-27,1880
2022-01-28,1898
2022-01-29,1876
2022-01-30,59
2022-02-01,1907
2022-02-02,2025
2022-02-03,2167
2022-02-04,2063
2022-02-05,2447
2022-02-06,96
2022-02-07,2342
2022-02-08,2534
2022-02-09,2111
2022-02-10,2320
2022-02-11,2040
2022-02-12,2106
2022-02-13,28
2022-02-14,2725
2022-02-15,2135
2022-02-16,2351
2022-02-17,2463
2022-02-18,2940
2022-02-19,1818
2022-02-20,79
2022-02-21,2890
2022-02-22,2915
2022-02-23,2557
2022-02-24,2488
2022-02-25,2765
2022-02-26,2370
2022-02-27,63
2022-03-01,2386
2022-03-02,2847
2022-03-03,2491
2022-03-04,3211
2022-03-05,3069
2022-03-06,92
2022-03-07,3327
2022-03-08,3533
2022-03-09,3336
2022-03-10,1693
2022-03-11,1906
2022-03-12,2191
2022-03-13,30
2022-03-14,2656
2022-03-15,2897
2022-03-16,2460
2022-03-17,2504
2022-03-18,1825
2022-03-19,1280
2022-03-20,23
2022-03-21,2229
2022-03-22,2158
2022-03-23,1064
2022-03-24,2007
2022-03-25,2069
2022-03-26,1508
2022-03-27,52
2022-03-28,2264
2022-03-29,2413
2022-03-30,2137
2022-03-31,45
2022-04-01,2573
2022-04-02,2106
2022-04-03,64
2022-04-04,2690
2022-04-05,2066
2022-04-06,1667
2022-04-07,2465
2022-04-08,2084
2022-04-09,2030
2022-04-10,132
2022-04-11,2172
2022-04-12,1778
2022-04-13,1408
2022-04-14,463
2022-04-16,644
2022-04-18,2670
2022-04-19,2195
2022-04-20,1967
2022-04-21,1444
2022-04-22,2273
2022-04-23,1714
2022-04-24,79
2022-04-25,2733
2022-04-26,1904
2022-04-27,2270
2022-04-28,2173
2022-04-29,2430
2022-04-30,100
2022-05-03,2716
2022-05-04,3053
2022-05-05,2475
2022-05-06,2566
2022-05-07,2019
2022-05-08,38
2022-05-09,2196
2022-05-10,2017
2022-05-11,2371
2022-05-12,2990
2022-05-13,2466
2022-05-14,1215
2022-05-16,2135
2022-05-17,2012
2022-05-18,1803
2022-05-19,1371
2022-05-20,2572
2022-05-21,2513
2022-05-22,149
2022-05-23,2736
2022-05-24,2642
2022-05-25,2149
2022-05-26,2446
2022-05-27,1742
2022-05-28,1837
2022-05-29,137
2022-05-30,2386
2022-05-31,184
2022-06-01,1278
2022-06-02,1934
2022-06-03,2905
2022-06-04,2471
2022-06-05,74
2022-06-06,2433
2022-06-07,2223
2022-06-08,1059
2022-06-09,2062
2022-06-10,2563
2022-06-11,1898
2022-06-12,177
2022-06-13,2241
2022-06-14,2818
2022-06-15,2790
2022-06-16,2811
2022-06-17,2343
2022-06-18,2096
2022-06-19,149
2022-06-20,2928
2022-06-21,2740
2022-06-22,2524
2022-06-23,2601
2022-06-24,2168
2022-06-25,1369
2022-06-26,71
2022-06-27,2491
2022-06-28,2290
2022-06-29,2326
2022-06-30,96
2022-07-01,2500
2022-07-02,2421
2022-07-03,129
2022-07-04,2717
2022-07-05,3043
2022-07-06,3098
2022-07-07,3209
2022-07-08,3280
2022-07-09,2804
2022-07-10,136
2022-07-11,2832
2022-07-12,3377
2022-07-13,3041
2022-07-14,3163
2022-07-15,2990
2022-07-16,2663
2022-07-17,125
2022-07-18,2085
2022-07-19,1973
2022-07-20,2772
2022-07-21,3395
2022-07-22,3143
2022-07-23,2747
2022-07-24,239
2022-07-25,3707
2022-07-26,3078
2022-07-27,4015
2022-07-28,3600
2022-07-29,3054
2022-07-30,3142
2022-07-31,153
2022-08-01,3760
2022-08-02,4237
2022-08-03,3069
2022-08-04,3470
2022-08-05,2688
2022-08-06,2068
2022-08-07,144
2022-08-08,3239
2022-08-09,3917
2022-08-10,3293
2022-08-11,3524
2022-08-12,2931
2022-08-13,2622
2022-08-14,121
2022-08-15,1440
2022-08-16,3356
2022-08-17,3448
2022-08-18,3621
2022-08-19,3069
2022-08-20,2907
2022-08-21,150
2022-08-22,3544
2022-08-23,3414
2022-08-24,3640
2022-08-25,3833
2022-08-26,3233
2022-08-27,2549
2022-08-28,135
2022-08-29,3542
2022-08-30,4578
2022-08-31,262
2022-09-01,4273
2022-09-02,4105
2022-09-03,3394
2022-09-04,117
2022-09-05,4316
2022-09-06,3867
2022-09-07,3966
2022-09-08,4979
2022-09-09,4738
2022-09-10,3725
2022-09-11,124
2022-09-12,4018
2022-09-13,4446
2022-09-14,4384
2022-09-15,4167
2022-09-16,4520
2022-09-17,3105
2022-09-18,142
2022-09-19,3688
2022-09-20,4319
2022-09-21,3561
2022-09-22,3644
2022-09-23,4472
2022-09-24,3576
2022-09-25,204
2022-09-26,3809
2022-09-27,4033
2022-09-28,4043
2022-09-29,3535
2022-09-30,265
2022-10-01,2665
2022-10-02,80
2022-10-04,4348
2022-10-05,3888
2022-10-06,3099
2022-10-07,4186
2022-10-08,2887
2022-10-09,38
2022-10-10,3873
2022-10-11,4006
2022-10-12,5090
2022-10-13,4352
2022-10-14,3913
2022-10-15,3403
2022-10-16,64
2022-10-17,4116
2022-10-18,4213
2022-10-19,3052
2022-10-20,2747
2022-10-21,4309
2022-10-22,3122
2022-10-23,156
2022-10-24,4171
2022-10-25,4404
2022-10-26,3605
2022-10-27,3883
2022-10-28,3064
2022-10-29,2925
2022-10-30,47
2022-11-01,4165
2022-11-02,4305
2022-11-03,3492
2022-11-04,4250
2022-11-05,3700
2022-11-06,84
2022-11-07,4612
2022-11-08,5324
2022-11-09,71
2022-11-10,4354
2022-11-11,4204
2022-11-12,2749
2022-11-13,55
2022-11-14,4523
2022-11-15,4615
2022-11-16,4765
2022-11-17,4838
2022-11-18,5331
2022-11-19,4111
2022-11-20,146
2022-11-21,4228
2022-11-22,4845
2022-11-23,4635
2022-11-24,4481
2022-11-25,5067
2022-11-26,4182
2022-11-27,112
2022-11-28,3895
2022-11-29,4528
2022-11-30,122
2022-12-01,4863
2022-12-02,5132
2022-12-03,3922
2022-12-04,121
2022-12-05,4023
2022-12-06,4748
2022-12-07,4328
2022-12-08,137
2022-12-09,4857
2022-12-10,4166
2022-12-11,131
2022-12-12,4707
2022-12-13,4280
2022-12-14,4358
2022-12-15,4078
2022-12-16,5103
2022-12-17,4101
2022-12-18,133
2022-12-19,5465
2022-12-20,5550
2022-12-21,5553
2022-12-22,4518
2022-12-23,5459
2022-12-24,3459
2022-12-26,4193
2022-12-27,4251
2022-12-28,5159
2022-12-29,5183
2022-12-30,4364
2022-12-31,133
2023-01-02,2639
2023-01-03,3374
2023-01-04,3800
2023-01-05,4100
2023-01-06,4848
2023-01-07,3460
2023-01-08,131
2023-01-09,4503
2023-01-10,4364
2023-01-11,4027
2023-01-12,4084
2023-01-13,4730
2023-01-14,3931
2023-01-15,797
2023-01-16,4289
2023-01-17,3912
2023-01-18,4084
2023-01-19,3021
2023-01-20,3883
2023-01-21,2893
2023-01-22,656
2023-01-23,3745
2023-01-24,4036
2023-01-25,4083
2023-01-26,3466
2023-01-27,3593
2023-01-28,2807
2023-01-29,645
2023-01-30,3447
2023-01-31,11
2023-02-01,3639
2023-02-02,3303
2023-02-03,3365
2023-02-04,2517
2023-02-05,1173
2023-02-06,2995
2023-02-07,3443
2023-02-08,3266
2023-02-09,3010
2023-02-10,3226
2023-02-11,2661
2023-02-12,506
2023-02-13,3571
2023-02-14,3503
2023-02-15,3164
2023-02-16,3454
2023-02-17,3902
2023-02-18,3802
2023-02-19,1086
2023-02-20,3098
2023-02-21,3841
2023-02-22,3559
2023-02-23,3651
2023-02-24,3080
2023-02-25,2738
2023-02-26,723
2023-02-27,820
2023-02-28,15
2023-03-01,3170
2023-03-02,3420
2023-03-03,3329
2023-03-04,3082
2023-03-05,1181
2023-03-06,4269
2023-03-07,3656
2023-03-08,4153
2023-03-09,3768
2023-03-10,4041
2023-03-11,3603
2023-03-12,971
2023-03-13,3934
2023-03-14,3810
2023-03-15,3261
2023-03-16,3326
2023-03-17,3993
2023-03-18,2918
2023-03-19,1290
2023-03-20,3744
2023-03-21,3100
2023-03-22,3988
2023-03-23,3652
2023-03-24,3900
2023-03-25,2767
2023-03-26,599
2023-03-27,3943
2023-03-28,4734
2023-03-29,4441
2023-03-30,3591
2023-03-31,155
