"fecha","cantidad_viajes"
2022-01-01,619
2022-01-02,1474
2022-01-03,7788
2022-01-04,10129
2022-01-05,10472
2022-01-06,9905
2022-01-07,9720
2022-01-08,7810
2022-01-09,3663
2022-01-10,9871
2022-01-11,8768
2022-01-12,8515
2022-01-13,8270
2022-01-14,8692
2022-01-15,6107
2022-01-16,3145
2022-01-17,8278
2022-01-18,8703
2022-01-19,9558
2022-01-20,9468
2022-01-21,10374
2022-01-22,7373
2022-01-23,3123
2022-01-24,9690
2022-01-25,9366
2022-01-26,9249
2022-01-27,9250
2022-01-28,10024
2022-01-29,8378
2022-01-30,3361
2022-01-31,193
2022-02-01,10352
2022-02-02,10105
2022-02-03,10024
2022-02-04,10435
2022-02-05,7344
2022-02-06,3516
2022-02-07,10806
2022-02-08,10295
2022-02-09,10080
2022-02-10,10475
2022-02-11,11175
2022-02-12,8754
2022-02-13,4442
2022-02-14,10006
2022-02-15,11038
2022-02-16,11057
2022-02-17,10110
2022-02-18,10444
2022-02-19,9037
2022-02-20,3814
2022-02-21,10556
2022-02-22,11753
2022-02-23,11352
2022-02-24,10329
2022-02-25,10182
2022-02-26,8094
2022-02-27,4027
2022-02-28,47
2022-03-01,8485
2022-03-02,10172
2022-03-03,10342
2022-03-04,11026
2022-03-05,8918
2022-03-06,3635
2022-03-07,10845
2022-03-08,10644
2022-03-09,10449
2022-03-10,10290
2022-03-11,7428
2022-03-12,7802
2022-03-13,4654
2022-03-14,10113
2022-03-15,10514
2022-03-16,10414
2022-03-17,10364
2022-03-18,9434
2022-03-19,6704
2022-03-20,4199
2022-03-21,9658
2022-03-22,8879
2022-03-23,7084
2022-03-24,8999
2022-03-25,9204
2022-03-26,8428
2022-03-27,3681
2022-03-28,10319
2022-03-29,10457
2022-03-30,9136
2022-03-31,233
2022-04-01,10653
2022-04-02,9549
2022-04-03,4103
2022-04-04,9195
2022-04-05,8770
2022-04-06,9843
2022-04-07,10042
2022-04-08,10497
2022-04-09,9544
2022-04-10,4700
2022-04-11,10391
2022-04-12,10898
2022-04-13,8507
2022-04-14,4543
2022-04-15,27
2022-04-16,5345
2022-04-17,4736
2022-04-18,9986
2022-04-19,11329
2022-04-20,10595
2022-04-21,9173
2022-04-22,9610
2022-04-23,7324
2022-04-24,3900
2022-04-25,8338
2022-04-26,8668
2022-04-27,8979
2022-04-28,10823
2022-04-29,9311
2022-04-30,251
2022-05-01,3915
2022-05-02,3765
2022-05-03,8994
2022-05-04,10063
2022-05-05,10008
2022-05-06,10198
2022-05-07,8386
2022-05-08,4040
2022-05-09,10720
2022-05-10,10983
2022-05-11,10652
2022-05-12,10848
2022-05-13,11208
2022-05-14,5793
2022-05-15,3641
2022-05-16,10573
2022-05-17,10810
2022-05-18,10285
2022-05-19,10145
2022-05-20,10588
2022-05-21,8606
2022-05-22,3895
2022-05-23,9591
2022-05-24,11038
2022-05-25,11037
2022-05-26,9507
2022-05-27,9238
2022-05-28,8588
2022-05-29,4075
2022-05-30,9447
2022-05-31,226
2022-06-01,9478
2022-06-02,10638
2022-06-03,10423
2022-06-04,8358
2022-06-05,4743
2022-06-06,10365
2022-06-07,10130
2022-06-08,11005
2022-06-09,9743
2022-06-10,10143
2022-06-11,8013
2022-06-12,3467
2022-06-13,10948
2022-06-14,11054
2022-06-15,11266
2022-06-16,10676
2022-06-17,9698
2022-06-18,8802
2022-06-19,4534
2022-06-20,11291
2022-06-21,11633
2022-06-22,10999
2022-06-23,11090
2022-06-24,12296
2022-06-25,9630
2022-06-26,3894
2022-06-27,11186
2022-06-28,11449
2022-06-29,11192
2022-06-30,498
2022-07-01,11943
2022-07-02,10519
2022-07-03,4699
2022-07-04,11621
2022-07-05,12277
2022-07-06,11828
2022-07-07,12436
2022-07-08,12122
2022-07-09,10714
2022-07-10,5093
2022-07-11,11162
2022-07-12,10908
2022-07-13,11187
2022-07-14,11209
2022-07-15,11645
2022-07-16,9266
2022-07-17,5106
2022-07-18,11448
2022-07-19,11453
2022-07-20,12410
2022-07-21,11657
2022-07-22,11689
2022-07-23,10080
2022-07-24,4960
2022-07-25,11270
2022-07-26,12546
2022-07-27,12045
2022-07-28,12499
2022-07-29,13290
2022-07-30,11216
2022-07-31,474
2022-08-01,12152
2022-08-02,12990
2022-08-03,12251
2022-08-04,11464
2022-08-05,12172
2022-08-06,8816
2022-08-07,4733
2022-08-08,12026
2022-08-09,12241
2022-08-10,11877
2022-08-11,12044
2022-08-12,12828
2022-08-13,10319
2022-08-14,5114
2022-08-15,5821
2022-08-16,12324
2022-08-17,12393
2022-08-18,12070
2022-08-19,12136
2022-08-20,9324
2022-08-21,5259
2022-08-22,11819
2022-08-23,12698
2022-08-24,12169
2022-08-25,11416
2022-08-26,12118
2022-08-27,10378
2022-08-28,4021
2022-08-29,10648
2022-08-30,11042
2022-08-31,463
2022-09-01,11632
2022-09-02,12153
2022-09-03,10868
2022-09-04,4690
2022-09-05,10511
2022-09-06,11795
2022-09-07,12047
2022-09-08,12297
2022-09-09,12033
2022-09-10,10737
2022-09-11,4818
2022-09-12,12498
2022-09-13,12450
2022-09-14,12588
2022-09-15,11638
2022-09-16,12411
2022-09-17,10365
2022-09-18,4828
2022-09-19,10350
2022-09-20,13325
2022-09-21,11395
2022-09-22,11790
2022-09-23,12516
2022-09-24,10319
2022-09-25,3829
2022-09-26,12668
2022-09-27,11664
2022-09-28,12559
2022-09-29,11724
2022-09-30,530
2022-10-01,10052
2022-10-02,4964
2022-10-03,5760
2022-10-04,12648
2022-10-05,12483
2022-10-06,9451
2022-10-07,12847
2022-10-08,10587
2022-10-09,3921
2022-10-10,10636
2022-10-11,10281
2022-10-12,12700
2022-10-13,12323
2022-10-14,13589
2022-10-15,10756
2022-10-16,4404
2022-10-17,12163
2022-10-18,12072
2022-10-19,11173
2022-10-20,10458
2022-10-21,12343
2022-10-22,9971
2022-10-23,4058
2022-10-24,11851
2022-10-25,11654
2022-10-26,11583
2022-10-27,11680
2022-10-28,12935
2022-10-29,10318
2022-10-30,3292
2022-10-31,153
2022-11-01,12119
2022-11-02,12691
2022-11-03,12740
2022-11-04,12282
2022-11-05,10818
2022-11-06,4817
2022-11-07,12000
2022-11-08,12415
2022-11-09,650
2022-11-10,9822
2022-11-11,11770
2022-11-12,10224
2022-11-13,3793
2022-11-14,12579
2022-11-15,11563
2022-11-16,11550
2022-11-17,11627
2022-11-18,12190
2022-11-19,9446
2022-11-20,3467
2022-11-21,8957
2022-11-22,10856
2022-11-23,12148
2022-11-24,11714
2022-11-25,11616
2022-11-26,9816
2022-11-27,3930
2022-11-28,11317
2022-11-29,12141
2022-11-30,345
2022-12-01,11628
2022-12-02,12699
2022-12-03,10727
2022-12-04,4505
2022-12-05,12472
2022-12-06,11973
2022-12-07,8308
2022-12-08,1096
2022-12-09,9961
2022-12-10,8946
2022-12-11,4072
2022-12-12,9682
2022-12-13,11755
2022-12-14,12307
2022-12-15,11688
2022-12-16,12203
2022-12-17,10305
2022-12-18,4209
2022-12-19,11672
2022-12-20,11891
2022-12-21,12692
2022-12-22,12453
2022-12-23,12327
2022-12-24,8014
2022-12-25,223
2022-12-26,10492
2022-12-27,11036
2022-12-28,11670
2022-12-29,11845
2022-12-30,11423
2022-12-31,421
2023-01-01,659
2023-01-02,8040
2023-01-03,8683
2023-01-04,10180
2023-01-05,10924
2023-01-06,11513
2023-01-07,9194
2023-01-08,3270
2023-01-09,10058
