"fecha","cantidad_viajes"
2022-01-03,1515
2022-01-04,1819
2022-01-05,2621
2022-01-06,1958
2022-01-07,2587
2022-01-08,1327
2022-01-10,2347
2022-01-11,2239
2022-01-12,2195
2022-01-13,1815
2022-01-14,1999
2022-01-15,1179
2022-01-17,2157
2022-01-18,2419
2022-01-19,2757
2022-01-20,1338
2022-01-21,2752
2022-01-22,1195
2022-01-23,210
2022-01-24,1476
2022-01-25,1507
2022-01-26,2073
2022-01-27,859
2022-01-28,2013
2022-01-29,540
2022-01-30,102
2022-02-01,1010
2022-02-02,787
2022-02-03,1345
2022-02-04,1082
2022-02-05,115
2022-02-07,1117
2022-02-08,2044
2022-02-09,1920
2022-02-10,1363
2022-02-11,1195
2022-02-12,337
2022-02-14,1248
2022-02-15,1495
2022-02-16,894
2022-02-17,353
2022-02-18,1169
2022-02-19,802
2022-02-21,24
2022-03-01,3
2022-03-16,51
2022-04-01,1
2022-05-05,224
