"fecha","cantidad_viajes"
2022-01-01,1035
2022-01-02,3163
2022-01-03,6058
2022-01-04,7787
2022-01-05,7816
2022-01-06,7516
2022-01-07,7190
2022-01-08,5701
2022-01-09,3252
2022-01-10,7292
2022-01-11,7195
2022-01-12,6771
2022-01-13,6865
2022-01-14,6888
2022-01-15,5281
2022-01-16,3089
2022-01-17,7001
2022-01-18,7088
2022-01-19,6979
2022-01-20,7007
2022-01-21,7208
2022-01-22,5636
2022-01-23,2969
2022-01-24,6693
2022-01-25,7070
2022-01-26,6979
2022-01-27,6528
2022-01-28,7040
2022-01-29,5783
2022-01-30,3006
2022-01-31,25
2022-02-01,7704
2022-02-02,7446
2022-02-03,6974
2022-02-04,7176
2022-02-05,5741
2022-02-06,3375
2022-02-07,7741
2022-02-08,8026
2022-02-09,7734
2022-02-10,7401
2022-02-11,7645
2022-02-12,6083
2022-02-13,3459
2022-02-14,8009
2022-02-15,8215
2022-02-16,8049
2022-02-17,8017
2022-02-18,8326
2022-02-19,6378
2022-02-20,3500
2022-02-21,7851
2022-02-22,8573
2022-02-23,8510
2022-02-24,8360
2022-02-25,8573
2022-02-26,6365
2022-02-27,3549
2022-02-28,22
2022-03-01,7330
2022-03-02,8582
2022-03-03,8387
2022-03-04,9093
2022-03-05,6663
2022-03-06,3759
2022-03-07,8916
2022-03-08,8843
2022-03-09,9109
2022-03-10,8525
2022-03-11,7322
2022-03-12,6308
2022-03-13,3688
2022-03-14,8401
2022-03-15,8873
2022-03-16,9042
2022-03-17,8449
2022-03-18,8551
2022-03-19,6367
2022-03-20,3584
2022-03-21,8640
2022-03-22,8452
2022-03-23,6086
2022-03-24,7907
2022-03-25,8365
2022-03-26,6311
2022-03-27,3474
2022-03-28,8608
2022-03-29,8590
2022-03-30,7451
2022-03-31,293
2022-04-01,8238
2022-04-02,6642
2022-04-03,3910
2022-04-04,7396
2022-04-05,7525
2022-04-06,8616
2022-04-07,8643
2022-04-08,8325
2022-04-09,6851
2022-04-10,3705
2022-04-11,7762
2022-04-12,8344
2022-04-13,6762
2022-04-14,3471
2022-04-15,747
2022-04-16,3624
2022-04-17,3016
2022-04-18,8217
2022-04-19,8786
2022-04-20,8464
2022-04-21,7628
2022-04-22,8436
2022-04-23,6571
2022-04-24,3641
2022-04-25,8180
2022-04-26,8717
2022-04-27,8789
2022-04-28,8316
2022-04-29,7872
2022-04-30,331
2022-05-01,2852
2022-05-02,3083
2022-05-03,7637
2022-05-04,8548
2022-05-05,8454
2022-05-06,8526
2022-05-07,6399
2022-05-08,3815
2022-05-09,7927
2022-05-10,8195
2022-05-11,8311
2022-05-12,8490
2022-05-13,8290
2022-05-14,4092
2022-05-15,3585
2022-05-16,7624
2022-05-17,8019
2022-05-18,7998
2022-05-19,7849
2022-05-20,8236
2022-05-21,6479
2022-05-22,3541
2022-05-23,7872
2022-05-24,8371
2022-05-25,8237
2022-05-26,7594
2022-05-27,7692
2022-05-28,5902
2022-05-29,3107
2022-05-30,7974
2022-05-31,293
2022-06-01,8548
2022-06-02,9332
2022-06-03,9466
2022-06-04,7550
2022-06-05,4281
2022-06-06,9091
2022-06-07,9332
2022-06-08,9344
2022-06-09,9785
2022-06-10,9351
2022-06-11,6876
2022-06-12,4108
2022-06-13,8818
2022-06-14,9414
2022-06-15,9375
2022-06-16,9415
2022-06-17,9283
2022-06-18,7922
2022-06-19,5226
2022-06-20,9295
2022-06-21,10057
2022-06-22,9717
2022-06-23,9037
2022-06-24,9606
2022-06-25,7317
2022-06-26,4050
2022-06-27,8978
2022-06-28,9527
2022-06-29,9549
2022-06-30,365
2022-07-01,9493
2022-07-02,8321
2022-07-03,5264
2022-07-04,9590
2022-07-05,10043
2022-07-06,10087
2022-07-07,9688
2022-07-08,9816
2022-07-09,7825
2022-07-10,4787
2022-07-11,9285
2022-07-12,9000
2022-07-13,9092
2022-07-14,9164
2022-07-15,9795
