"fecha","cantidad_viajes"
2022-01-04,63
2022-01-05,108
2022-10-21,9
2022-10-22,4
2022-10-24,9
2022-10-25,2
2022-10-26,4
2022-10-27,8
2022-10-28,6
2022-10-29,1
2022-10-30,2
2022-11-01,1
2022-11-03,4
2022-11-04,6
2022-11-05,2
2022-11-07,2
2022-11-17,6
2022-11-18,2
2022-11-21,5
2022-11-22,3
2022-11-23,5
2022-11-25,8
2022-12-01,4
2022-12-02,3
2022-12-05,3
2022-12-06,6
2022-12-07,4
2022-12-10,8
2022-12-12,1
2022-12-13,3
2022-12-14,1
2022-12-15,1
2022-12-17,116
2022-12-18,48
2022-12-19,7
2022-12-20,1
2022-12-21,2
2022-12-22,3
2022-12-26,7
2022-12-27,6
2022-12-28,4
2023-01-01,3
2023-01-02,2
2023-01-03,6
