"fecha","cantidad_viajes"
2022-01-13,530
2022-01-14,1428
2022-01-15,600
2022-01-17,1292
2022-01-18,1336
2022-01-19,970
2022-01-20,1223
2022-01-21,1351
2022-01-22,578
2022-01-23,148
2022-01-24,1529
2022-01-25,1225
2022-01-26,1229
2022-01-27,1218
2022-01-28,976
2022-01-29,688
2022-01-30,54
2022-02-01,1704
2022-02-02,1381
2022-02-03,1619
2022-02-04,1361
2022-02-05,795
2022-02-06,251
2022-02-07,1572
2022-02-08,1499
2022-02-09,1204
2022-02-10,1525
2022-02-11,1582
2022-02-12,920
2022-02-13,369
2022-02-14,1690
2022-02-15,1868
2022-02-16,1990
2022-02-17,2067
2022-02-18,1914
2022-02-19,768
2022-02-20,277
2022-02-21,1893
2022-02-22,1563
2022-02-23,1792
2022-02-24,1433
2022-02-25,1741
2022-02-26,913
2022-02-27,387
2022-02-28,26
2022-03-01,1422
2022-03-02,1804
2022-03-03,2108
2022-03-04,1989
2022-03-05,971
2022-03-06,488
2022-03-07,2132
2022-03-08,1846
2022-03-09,1893
2022-03-10,1759
2022-03-11,1893
2022-03-12,799
2022-03-13,165
2022-03-14,1995
2022-03-15,2052
2022-03-16,1661
2022-03-17,1326
2022-03-18,1581
2022-03-19,833
2022-03-20,348
2022-03-21,1837
2022-03-22,1594
2022-03-23,1127
2022-03-24,1624
2022-03-25,1777
2022-03-26,1168
2022-03-27,462
2022-03-28,1414
2022-03-29,1122
2022-03-30,1223
2022-03-31,110
2022-04-01,1251
2022-04-02,860
2022-04-03,459
2022-04-04,1120
2022-04-05,891
2022-04-06,1026
2022-04-07,1311
2022-04-08,1092
2022-04-09,748
2022-04-10,363
2022-04-11,921
2022-04-12,876
2022-04-13,730
2022-04-14,628
2022-04-15,241
2022-04-16,451
2022-04-17,609
2022-04-18,1230
2022-04-19,1327
2022-04-20,1343
2022-04-21,1152
2022-04-22,1235
2022-04-23,858
2022-04-24,432
2022-04-25,1284
2022-04-26,1153
2022-04-27,1501
2022-04-28,1740
2022-04-29,1744
2022-04-30,149
2022-05-01,261
2022-05-02,473
2022-05-03,1488
2022-05-04,1198
2022-05-05,968
2022-05-06,1318
2022-05-07,593
2022-05-08,209
2022-05-09,1222
2022-05-10,924
2022-05-11,1457
2022-05-12,1583
2022-05-13,1412
2022-05-14,524
2022-05-15,455
2022-05-16,1213
2022-05-17,1067
2022-05-18,1210
2022-05-19,978
2022-05-20,1554
2022-05-21,1217
2022-05-22,542
2022-05-23,1603
2022-05-24,2286
2022-05-25,1653
2022-05-26,1322
2022-05-27,1875
2022-05-28,1276
2022-05-29,414
2022-05-30,1598
2022-05-31,147
2022-06-01,1171
2022-06-02,1389
2022-06-03,1319
2022-06-04,1017
