"fecha","cantidad_viajes"
2022-01-01,581
2022-01-02,1174
2022-01-03,5052
2022-01-04,6383
2022-01-05,6600
2022-01-06,5532
2022-01-07,5539
2022-01-08,3520
2022-01-09,1838
2022-01-10,5458
2022-01-11,5478
2022-01-12,5228
2022-01-13,5376
2022-01-14,4748
2022-01-15,3523
2022-01-16,1849
2022-01-17,5027
2022-01-18,5313
2022-01-19,5497
2022-01-20,5484
2022-01-21,5403
2022-01-22,3522
2022-01-23,1909
2022-01-24,4974
2022-01-25,5174
2022-01-26,5757
2022-01-27,5669
2022-01-28,6236
2022-01-29,3672
2022-01-30,1991
2022-01-31,63
2022-02-01,6140
2022-02-02,6159
2022-02-03,6248
2022-02-04,6346
2022-02-05,4168
2022-02-06,2262
2022-02-07,6513
2022-02-08,6705
2022-02-09,6644
2022-02-10,6385
2022-02-11,6812
2022-02-12,4033
2022-02-13,2415
2022-02-14,6391
2022-02-15,6448
2022-02-16,7223
2022-02-17,7034
2022-02-18,6858
2022-02-19,4713
2022-02-20,2206
2022-02-21,6532
2022-02-22,7307
2022-02-23,6844
2022-02-24,7693
2022-02-25,7529
2022-02-26,4374
2022-02-27,2651
2022-02-28,93
2022-03-01,6283
2022-03-02,8109
2022-03-03,7671
2022-03-04,7482
2022-03-05,5194
2022-03-06,2541
2022-03-07,7793
2022-03-08,7059
2022-03-09,7886
2022-03-10,7297
2022-03-11,5632
2022-03-12,4631
2022-03-13,2044
2022-03-14,7130
2022-03-15,7997
2022-03-16,7643
2022-03-17,7458
2022-03-18,7009
2022-03-19,4156
2022-03-20,2706
2022-03-21,7024
2022-03-22,7560
2022-03-23,6113
2022-03-24,7205
2022-03-25,7246
2022-03-26,5291
2022-03-27,2134
2022-03-28,6953
2022-03-29,8157
2022-03-30,6490
2022-03-31,430
2022-04-01,7690
2022-04-02,4768
2022-04-03,3082
2022-04-04,6845
2022-04-05,7012
2022-04-06,8183
2022-04-07,8350
2022-04-08,7603
2022-04-09,4824
2022-04-10,2523
2022-04-11,6415
2022-04-12,6244
2022-04-13,5137
2022-04-14,2552
2022-04-15,840
2022-04-16,2715
2022-04-17,2395
2022-04-18,6890
2022-04-19,7753
2022-04-20,7971
2022-04-21,6530
2022-04-22,7471
2022-04-23,4146
2022-04-24,2291
2022-04-25,7124
2022-04-26,7296
2022-04-27,8071
2022-04-28,8105
2022-04-29,7875
2022-04-30,507
2022-05-01,2231
2022-05-02,2381
2022-05-03,7600
2022-05-04,9060
2022-05-05,8467
2022-05-06,8174
2022-05-07,5002
2022-05-08,3193
2022-05-09,7055
2022-05-10,7783
2022-05-11,8611
2022-05-12,8221
2022-05-13,7680
2022-05-14,3673
2022-05-15,3012
2022-05-16,7669
2022-05-17,8267
2022-05-18,8234
2022-05-19,8130
2022-05-20,7850
2022-05-21,4410
2022-05-22,2840
2022-05-23,7403
2022-05-24,8012
2022-05-25,8063
2022-05-26,7441
2022-05-27,7517
2022-05-28,4868
2022-05-29,3016
2022-05-30,7885
2022-05-31,475
2022-06-01,7918
2022-06-02,8308
2022-06-03,7809
2022-06-04,4318
2022-06-05,2532
2022-06-06,7277
2022-06-07,8345
2022-06-08,8625
2022-06-09,8638
2022-06-10,8447
2022-06-11,4959
2022-06-12,2583
2022-06-13,7823
2022-06-14,8666
2022-06-15,8624
2022-06-16,8595
2022-06-17,7762
2022-06-18,4623
2022-06-19,2538
2022-06-20,7330
2022-06-21,8132
2022-06-22,8230
2022-06-23,7399
2022-06-24,7796
2022-06-25,4574
2022-06-26,2214
2022-06-27,7722
2022-06-28,8404
2022-06-29,8005
2022-06-30,445
2022-07-01,8199
2022-07-02,4931
2022-07-03,2946
2022-07-04,8303
2022-07-05,7772
2022-07-06,8553
2022-07-07,8402
2022-07-08,8082
2022-07-09,4906
2022-07-10,2588
2022-07-11,7201
2022-07-12,7554
2022-07-13,7191
2022-07-14,7397
2022-07-15,7007
2022-07-16,4308
2022-07-17,2599
2022-07-18,6891
2022-07-19,7815
2022-07-20,7731
2022-07-21,7818
2022-07-22,7541
2022-07-23,4514
2022-07-24,3141
2022-07-25,7379
2022-07-26,7770
2022-07-27,7991
2022-07-28,8285
2022-07-29,8188
2022-07-30,4791
2022-07-31,531
2022-08-01,8379
2022-08-02,8851
2022-08-03,8492
2022-08-04,8799
2022-08-05,9021
2022-08-06,4184
2022-08-07,2603
2022-08-08,8456
2022-08-09,8786
2022-08-10,8732
2022-08-11,8703
2022-08-12,8720
2022-08-13,4870
2022-08-14,3140
2022-08-15,3400
2022-08-16,7931
2022-08-17,9006
2022-08-18,8395
2022-08-19,8406
2022-08-20,5130
2022-08-21,1993
2022-08-22,7719
2022-08-23,8093
2022-08-24,8473
2022-08-25,7962
2022-08-26,8352
2022-08-27,4888
2022-08-28,2747
2022-08-29,7921
2022-08-30,8458
2022-08-31,582
2022-09-01,8242
2022-09-02,8461
2022-09-03,4959
2022-09-04,2530
2022-09-05,7569
2022-09-06,8441
2022-09-07,8648
2022-09-08,8175
2022-09-09,7808
2022-09-10,4872
2022-09-11,2619
2022-09-12,7604
2022-09-13,7883
2022-09-14,8597
2022-09-15,8330
2022-09-16,8354
2022-09-17,4569
2022-09-18,2368
2022-09-19,6793
2022-09-20,8599
2022-09-21,7867
2022-09-22,8567
2022-09-23,8178
2022-09-24,4994
2022-09-25,2367
2022-09-26,7762
2022-09-27,8277
2022-09-28,8581
2022-09-29,8591
2022-09-30,572
2022-10-01,4017
2022-10-02,2927
2022-10-03,3437
2022-10-04,8942
2022-10-05,9170
2022-10-06,7748
2022-10-07,8763
2022-10-08,5038
2022-10-09,2281
2022-10-10,7008
2022-10-11,7492
2022-10-12,8715
2022-10-13,8781
2022-10-14,8209
2022-10-15,4626
2022-10-16,2834
2022-10-17,7754
2022-10-18,8515
2022-10-19,8333
2022-10-20,7516
2022-10-21,9002
2022-10-22,4927
2022-10-23,2803
2022-10-24,8323
2022-10-25,8712
2022-10-26,8450
2022-10-27,8068
2022-10-28,8235
2022-10-29,4559
2022-10-30,2242
2022-10-31,81
2022-11-01,8026
2022-11-02,8689
2022-11-03,9095
2022-11-04,7864
2022-11-05,5039
2022-11-06,2743
2022-11-07,8006
2022-11-08,8501
2022-11-09,488
2022-11-10,7946
2022-11-11,8873
2022-11-12,5101
2022-11-13,2050
2022-11-14,8827
2022-11-15,9070
2022-11-16,8802
2022-11-17,8870
2022-11-18,8541
2022-11-19,4284
2022-11-20,2529
2022-11-21,6605
2022-11-22,7799
2022-11-23,8197
2022-11-24,8689
2022-11-25,7952
2022-11-26,4934
2022-11-27,2655
2022-11-28,8074
2022-11-29,8077
2022-11-30,258
2022-12-01,7340
2022-12-02,7261
2022-12-03,4240
2022-12-04,2642
2022-12-05,8478
2022-12-06,7866
2022-12-07,8176
2022-12-08,1863
2022-12-09,7575
2022-12-10,4596
2022-12-11,2658
2022-12-12,7470
2022-12-13,8091
2022-12-14,7501
2022-12-15,8118
2022-12-16,7844
2022-12-17,5311
2022-12-18,2105
2022-12-19,7190
2022-12-20,7588
2022-12-21,8468
2022-12-22,8031
2022-12-23,7064
2022-12-24,2784
2022-12-25,642
2022-12-26,6681
2022-12-27,6868
2022-12-28,7204
2022-12-29,7578
2022-12-30,7355
2022-12-31,335
2023-01-01,523
2023-01-02,5267
2023-01-03,4828
2023-01-04,4969
2023-01-05,5337
2023-01-06,5232
2023-01-07,3678
2023-01-08,1892
2023-01-09,4997
2023-01-10,5200
2023-01-11,5086
2023-01-12,5182
2023-01-13,4572
2023-01-14,3779
2023-01-15,1799
2023-01-16,5226
2023-01-17,5406
2023-01-18,5242
2023-01-19,5074
2023-01-20,5137
2023-01-21,3669
2023-01-22,1374
2023-01-23,4828
2023-01-24,5147
2023-01-25,5068
2023-01-26,5160
2023-01-27,4882
2023-01-28,3651
2023-01-29,1585
2023-01-30,4768
2023-01-31,160
2023-02-01,5842
2023-02-02,6247
2023-02-03,6096
2023-02-04,3823
2023-02-05,1865
2023-02-06,6844
2023-02-07,7150
2023-02-08,7129
2023-02-09,6691
2023-02-10,6629
2023-02-11,3878
2023-02-12,1868
2023-02-13,7074
2023-02-14,6309
2023-02-15,6553
2023-02-16,6722
2023-02-17,6525
2023-02-18,4014
2023-02-19,1946
2023-02-20,6613
2023-02-21,6300
2023-02-22,7189
2023-02-23,7083
2023-02-24,6795
2023-02-25,3916
2023-02-26,1945
2023-02-27,2143
2023-02-28,88
2023-03-01,6630
2023-03-02,6916
2023-03-03,7210
2023-03-04,3787
2023-03-05,2303
2023-03-06,6756
2023-03-07,6878
2023-03-08,7838
2023-03-09,7267
2023-03-10,7375
2023-03-11,4308
2023-03-12,2356
2023-03-13,7508
2023-03-14,7939
2023-03-15,7427
2023-03-16,7653
2023-03-17,7354
2023-03-18,4356
2023-03-19,2301
2023-03-20,7419
2023-03-21,8317
2023-03-22,7785
2023-03-23,8296
2023-03-24,7332
2023-03-25,4412
2023-03-26,1785
2023-03-27,7886
2023-03-28,7662
2023-03-29,8391
2023-03-30,7081
2023-03-31,525
