"fecha","cantidad_viajes"
2022-01-01,1184
2022-01-02,2261
2022-01-03,7502
2022-01-04,8249
2022-01-05,8812
2022-01-06,8151
2022-01-07,8632
2022-01-08,6138
2022-01-09,3263
2022-01-10,8289
2022-01-11,8331
2022-01-12,8105
2022-01-13,7741
2022-01-14,8155
2022-01-15,6321
2022-01-16,2794
2022-01-17,7323
2022-01-18,7276
2022-01-19,8099
2022-01-20,7924
2022-01-21,8194
2022-01-22,6353
2022-01-23,2777
2022-01-24,7408
2022-01-25,7222
2022-01-26,7517
2022-01-27,7300
2022-01-28,7327
2022-01-29,6363
2022-01-30,3247
2022-01-31,13
2022-02-01,8609
2022-02-02,8065
2022-02-03,7425
2022-02-04,8149
2022-02-05,7228
2022-02-06,3464
2022-02-07,8375
2022-02-08,8090
2022-02-09,8023
2022-02-10,8537
2022-02-11,8567
2022-02-12,7216
2022-02-13,2731
2022-02-14,9333
2022-02-15,8128
2022-02-16,8539
2022-02-17,7825
2022-02-18,8600
2022-02-19,7121
2022-02-20,3405
2022-02-21,7326
2022-02-22,8425
2022-02-23,8200
2022-02-24,8399
2022-02-25,8935
2022-02-26,7919
2022-02-27,3064
2022-02-28,37
2022-03-01,8149
2022-03-02,9273
2022-03-03,9303
2022-03-04,10848
2022-03-05,8382
2022-03-06,3411
2022-03-07,9701
2022-03-08,9456
2022-03-09,9485
2022-03-10,9222
2022-03-11,8849
2022-03-12,7807
2022-03-13,3250
2022-03-14,9691
2022-03-15,9540
2022-03-16,8961
2022-03-17,9232
2022-03-18,9859
2022-03-19,8062
2022-03-20,3452
2022-03-21,9336
2022-03-22,9053
2022-03-23,7720
2022-03-24,9802
2022-03-25,10862
2022-03-26,7788
2022-03-27,3209
2022-03-28,9512
2022-03-29,9742
2022-03-30,8473
2022-03-31,512
2022-04-01,8962
2022-04-02,7882
2022-04-03,3638
2022-04-04,8495
2022-04-05,9299
2022-04-06,10041
2022-04-07,9446
2022-04-08,9496
2022-04-09,8316
2022-04-10,2946
2022-04-11,8973
2022-04-12,9206
2022-04-13,8654
2022-04-14,3079
2022-04-15,1173
2022-04-16,3649
2022-04-17,2479
2022-04-18,9920
2022-04-19,10275
2022-04-20,10622
2022-04-21,9451
2022-04-22,9731
2022-04-23,6885
2022-04-24,3031
2022-04-25,9803
2022-04-26,10566
2022-04-27,10592
2022-04-28,10468
2022-04-29,10239
2022-04-30,767
2022-05-01,2798
2022-05-02,2814
2022-05-03,9782
2022-05-04,10495
2022-05-05,10817
2022-05-06,10336
2022-05-07,9343
2022-05-08,3787
2022-05-09,10159
2022-05-10,10314
2022-05-11,10862
2022-05-12,10748
2022-05-13,11058
2022-05-14,6082
2022-05-15,3728
2022-05-16,10166
2022-05-17,10343
2022-05-18,9513
2022-05-19,9693
2022-05-20,10308
2022-05-21,8227
2022-05-22,3519
2022-05-23,10394
2022-05-24,9913
2022-05-25,10433
2022-05-26,9164
2022-05-27,9717
2022-05-28,8162
2022-05-29,2640
2022-05-30,9784
2022-05-31,625
2022-06-01,9464
2022-06-02,10630
2022-06-03,10624
2022-06-04,8992
2022-06-05,3509
2022-06-06,9303
2022-06-07,9620
2022-06-08,10020
2022-06-09,9575
2022-06-10,9783
2022-06-11,8047
2022-06-12,3079
2022-06-13,9760
2022-06-14,9715
2022-06-15,10226
2022-06-16,10357
2022-06-17,10628
2022-06-18,8906
2022-06-19,3626
2022-06-20,10266
2022-06-21,11071
2022-06-22,10090
2022-06-23,9673
2022-06-24,9766
2022-06-25,7904
2022-06-26,3193
2022-06-27,9538
2022-06-28,10202
2022-06-29,10642
2022-06-30,634
2022-07-01,9691
2022-07-02,8608
2022-07-03,4453
2022-07-04,10647
2022-07-05,10630
2022-07-06,10711
2022-07-07,10201
2022-07-08,10312
2022-07-09,8865
2022-07-10,3767
2022-07-11,9924
2022-07-12,9737
2022-07-13,9153
2022-07-14,9939
2022-07-15,10491
2022-07-16,6608
2022-07-17,3866
2022-07-18,9295
2022-07-19,9165
2022-07-20,9832
2022-07-21,8964
2022-07-22,9988
2022-07-23,8704
2022-07-24,4106
2022-07-25,10307
2022-07-26,10298
2022-07-27,9869
2022-07-28,9963
2022-07-29,10553
2022-07-30,9272
2022-07-31,753
2022-08-01,9410
2022-08-02,9121
2022-08-03,10734
2022-08-04,10692
2022-08-05,10233
2022-08-06,7396
2022-08-07,3890
2022-08-08,10606
2022-08-09,9867
2022-08-10,10696
2022-08-11,10225
2022-08-12,11034
2022-08-13,9290
2022-08-14,4199
2022-08-15,4812
2022-08-16,10409
2022-08-17,10380
2022-08-18,9217
2022-08-19,10305
2022-08-20,8406
2022-08-21,3967
2022-08-22,10887
2022-08-23,10465
2022-08-24,10624
2022-08-25,10687
2022-08-26,11145
2022-08-27,9379
2022-08-28,4321
2022-08-29,9204
2022-08-30,9958
2022-08-31,639
2022-09-01,9414
2022-09-02,10041
2022-09-03,8521
2022-09-04,3928
2022-09-05,9969
2022-09-06,10574
2022-09-07,10684
2022-09-08,9515
2022-09-09,10239
2022-09-10,8603
2022-09-11,3866
2022-09-12,10179
2022-09-13,9779
2022-09-14,9335
2022-09-15,9531
2022-09-16,9839
2022-09-17,8028
2022-09-18,3642
2022-09-19,8507
2022-09-20,10231
2022-09-21,9382
2022-09-22,10752
2022-09-23,10953
2022-09-24,9659
2022-09-25,3559
2022-09-26,10919
2022-09-27,9228
2022-09-28,10003
2022-09-29,9744
2022-09-30,686
2022-10-01,8274
2022-10-02,3544
2022-10-03,4656
2022-10-04,11270
2022-10-05,11303
2022-10-06,8711
2022-10-07,10038
2022-10-08,8315
2022-10-09,3726
2022-10-10,8903
2022-10-11,9509
2022-10-12,11176
2022-10-13,10170
2022-10-14,10145
2022-10-15,8985
2022-10-16,3762
2022-10-17,10918
2022-10-18,10342
2022-10-19,9745
2022-10-20,8933
2022-10-21,10920
2022-10-22,7864
2022-10-23,3517
2022-10-24,10547
2022-10-25,11138
2022-10-26,10021
2022-10-27,9632
2022-10-28,9883
2022-10-29,7177
2022-10-30,3645
2022-10-31,149
2022-11-01,11155
2022-11-02,11062
2022-11-03,10940
2022-11-04,12322
2022-11-05,9081
2022-11-06,4306
2022-11-07,11101
2022-11-08,10313
2022-11-09,584
2022-11-10,10182
2022-11-11,11312
2022-11-12,9067
2022-11-13,3140
2022-11-14,9873
2022-11-15,10384
2022-11-16,10939
2022-11-17,11169
2022-11-18,11827
2022-11-19,9229
2022-11-20,3696
2022-11-21,9130
2022-11-22,10314
2022-11-23,10150
2022-11-24,10416
2022-11-25,11385
2022-11-26,8708
2022-11-27,3702
2022-11-28,9607
2022-11-29,10429
2022-11-30,324
2022-12-01,11452
2022-12-02,11531
2022-12-03,9055
2022-12-04,3961
2022-12-05,11964
2022-12-06,11922
2022-12-07,11754
2022-12-08,3538
2022-12-09,12676
2022-12-10,8668
2022-12-11,3634
2022-12-12,11114
2022-12-13,11710
2022-12-14,10590
2022-12-15,10897
2022-12-16,12313
2022-12-17,8805
2022-12-18,4676
2022-12-19,12167
2022-12-20,11227
2022-12-21,12983
2022-12-22,12060
2022-12-23,11532
2022-12-24,6969
2022-12-25,808
2022-12-26,9048
2022-12-27,9917
2022-12-28,10712
2022-12-29,11035
2022-12-30,11229
2022-12-31,470
2023-01-01,558
2023-01-02,8322
2023-01-03,8020
2023-01-04,9630
2023-01-05,9890
2023-01-06,9998
2023-01-07,8041
2023-01-08,3589
2023-01-09,10496
2023-01-10,10223
2023-01-11,10317
2023-01-12,9904
2023-01-13,8160
2023-01-14,8136
2023-01-15,3390
2023-01-16,10771
2023-01-17,10546
2023-01-18,10482
2023-01-19,10163
2023-01-20,10467
2023-01-21,8156
2023-01-22,3148
2023-01-23,9998
2023-01-24,10286
2023-01-25,10678
2023-01-26,10278
2023-01-27,10362
2023-01-28,7701
2023-01-29,3291
2023-01-30,9436
2023-01-31,369
2023-02-01,10162
2023-02-02,11062
2023-02-03,11131
2023-02-04,8397
2023-02-05,3491
2023-02-06,11007
2023-02-07,10211
2023-02-08,10658
2023-02-09,10566
2023-02-10,10119
2023-02-11,8013
2023-02-12,3659
2023-02-13,10310
2023-02-14,10764
2023-02-15,9303
2023-02-16,10202
2023-02-17,11142
2023-02-18,8034
2023-02-19,3251
2023-02-20,10649
2023-02-21,11037
2023-02-22,11836
2023-02-23,10757
2023-02-24,11664
2023-02-25,8651
2023-02-26,2973
2023-02-27,3606
2023-02-28,125
2023-03-01,9642
2023-03-02,9531
2023-03-03,11698
2023-03-04,9277
2023-03-05,3925
2023-03-06,12473
2023-03-07,11958
2023-03-08,10967
2023-03-09,10277
2023-03-10,12612
2023-03-11,9851
2023-03-12,3439
2023-03-13,12478
2023-03-14,11726
2023-03-15,10219
2023-03-16,11225
2023-03-17,10866
2023-03-18,8065
2023-03-19,3661
2023-03-20,11196
2023-03-21,11759
2023-03-22,11483
2023-03-23,11344
2023-03-24,11919
2023-03-25,7838
2023-03-26,3181
2023-03-27,11169
2023-03-28,11902
2023-03-29,11217
2023-03-30,9856
2023-03-31,658
