"fecha","cantidad_viajes"
2022-01-01,725
2022-01-02,2079
2022-01-03,5855
2022-01-04,6497
2022-01-05,6754
2022-01-06,6991
2022-01-07,7189
2022-01-08,5448
2022-01-09,2216
2022-01-10,7627
2022-01-11,7846
2022-01-12,7478
2022-01-13,6864
2022-01-14,7014
2022-01-15,4593
2022-01-16,1933
2022-01-17,6117
2022-01-18,6676
2022-01-19,7255
2022-01-20,7227
2022-01-21,7475
2022-01-22,4601
2022-01-23,1417
2022-01-24,6297
2022-01-25,7305
2022-01-26,6852
2022-01-27,6755
2022-01-28,6839
2022-01-29,5516
2022-01-30,1884
2022-01-31,14
2022-02-01,7320
2022-02-02,7286
2022-02-03,6396
2022-02-04,6176
2022-02-05,4852
2022-02-06,1614
2022-02-07,7197
2022-02-08,6308
2022-02-09,6549
2022-02-10,6814
2022-02-11,5999
2022-02-12,5991
2022-02-13,2923
2022-02-14,7791
2022-02-15,7048
2022-02-16,6886
2022-02-17,7601
2022-02-18,6607
2022-02-19,5694
2022-02-20,1900
2022-02-21,6656
2022-02-22,6937
2022-02-23,6891
2022-02-24,6288
2022-02-25,6246
2022-02-26,5283
2022-02-27,2118
2022-02-28,30
2022-03-01,5625
2022-03-02,6352
2022-03-03,6836
2022-03-04,6426
2022-03-05,4879
2022-03-06,2282
2022-03-07,6858
2022-03-08,6341
2022-03-09,6291
2022-03-10,5980
2022-03-11,5817
2022-03-12,4494
2022-03-13,1092
2022-03-14,5658
2022-03-15,6735
2022-03-16,6374
2022-03-17,5687
2022-03-18,6017
2022-03-19,4783
2022-03-20,919
2022-03-21,6530
2022-03-22,5807
2022-03-23,4332
2022-03-24,5323
2022-03-25,5497
2022-03-26,4945
2022-03-27,941
2022-03-28,5995
2022-03-29,5971
2022-03-30,5058
2022-03-31,114
2022-04-01,6354
2022-04-02,5608
2022-04-03,1599
2022-04-04,6059
2022-04-05,6171
2022-04-06,6584
2022-04-07,6190
2022-04-08,5174
2022-04-09,4341
2022-04-10,1636
2022-04-11,5375
2022-04-12,4951
2022-04-13,4453
2022-04-14,1885
2022-04-15,403
2022-04-16,1895
2022-04-17,1728
2022-04-18,6397
2022-04-19,7108
2022-04-20,6342
2022-04-21,5521
2022-04-22,5764
2022-04-23,3943
2022-04-24,870
2022-04-25,5668
2022-04-26,5729
2022-04-27,5468
2022-04-28,5608
2022-04-29,5171
2022-04-30,78
2022-05-01,1061
2022-05-02,1388
2022-05-03,5248
2022-05-04,4233
2022-05-05,3474
2022-05-06,4128
2022-05-07,3316
2022-05-08,1212
2022-05-09,2907
2022-05-10,3589
2022-05-11,3403
2022-05-12,3874
2022-05-13,4482
2022-05-14,1704
2022-05-15,748
2022-05-16,4402
2022-05-17,4434
2022-05-18,3180
2022-05-19,2781
2022-05-20,3572
2022-05-21,2984
2022-05-22,904
2022-05-23,3166
2022-05-24,4209
2022-05-25,3348
2022-05-26,2635
2022-05-27,3578
2022-05-28,2331
2022-05-29,1145
2022-05-30,3054
2022-05-31,38
