"fecha","cantidad_viajes"
2022-01-01,2450
2022-01-02,4518
2022-01-03,8655
2022-01-04,9352
2022-01-05,9276
2022-01-06,9092
2022-01-07,9246
2022-01-08,7820
2022-01-09,4760
2022-01-10,9435
2022-01-11,8954
2022-01-12,8836
2022-01-13,8786
2022-01-14,8876
2022-01-15,7401
2022-01-16,4288
2022-01-17,9186
2022-01-18,9007
2022-01-19,9037
2022-01-20,8197
2022-01-21,8633
2022-01-22,7431
2022-01-23,4518
2022-01-24,8591
2022-01-25,8379
2022-01-26,8054
2022-01-27,7466
2022-01-28,8409
2022-01-29,7221
2022-01-30,4530
2022-01-31,203
2022-02-01,9198
2022-02-02,9149
2022-02-03,8861
2022-02-04,8724
2022-02-05,7244
2022-02-06,5357
2022-02-07,10369
2022-02-08,9965
2022-02-09,9903
2022-02-10,9742
2022-02-11,9985
2022-02-12,8335
2022-02-13,5087
2022-02-14,9897
2022-02-15,10336
2022-02-16,9907
2022-02-17,10066
2022-02-18,10184
2022-02-19,8847
2022-02-20,5426
2022-02-21,10568
2022-02-22,10055
2022-02-23,9444
2022-02-24,9056
2022-02-25,10182
2022-02-26,8381
2022-02-27,4834
2022-02-28,285
2022-03-01,9673
2022-03-02,10658
2022-03-03,9552
2022-03-04,10549
2022-03-05,8926
2022-03-06,4982
2022-03-07,10397
2022-03-08,10165
2022-03-09,9928
2022-03-10,9255
2022-03-11,8123
2022-03-12,8208
2022-03-13,5164
2022-03-14,9338
2022-03-15,8715
2022-03-16,9031
2022-03-17,8951
2022-03-18,8866
2022-03-19,8025
2022-03-20,5363
2022-03-21,10472
2022-03-22,10058
2022-03-23,7634
2022-03-24,9268
2022-03-25,9109
2022-03-26,8541
2022-03-27,5065
2022-03-28,10011
2022-03-29,10018
2022-03-30,8567
2022-03-31,467
2022-04-01,9667
2022-04-02,9061
2022-04-03,5354
2022-04-04,9107
2022-04-05,9119
2022-04-06,9837
2022-04-07,10427
2022-04-08,10213
2022-04-09,9357
2022-04-10,5305
2022-04-11,10487
2022-04-12,10046
2022-04-13,9175
2022-04-14,4921
2022-04-15,1533
2022-04-16,5462
2022-04-17,5265
2022-04-18,9475
2022-04-19,10555
2022-04-20,10720
2022-04-21,10382
2022-04-22,10698
2022-04-23,9336
2022-04-24,5219
2022-04-25,10783
2022-04-26,10752
2022-04-27,10771
2022-04-28,9807
2022-04-29,10430
2022-04-30,692
2022-05-01,4340
2022-05-02,4626
2022-05-03,9638
2022-05-04,10569
2022-05-05,9837
2022-05-06,10027
2022-05-07,9340
2022-05-08,5642
2022-05-09,10263
2022-05-10,10306
2022-05-11,10659
2022-05-12,10039
2022-05-13,9932
2022-05-14,6050
2022-05-15,5493
2022-05-16,9882
2022-05-17,10345
2022-05-18,9679
2022-05-19,9794
2022-05-20,10028
2022-05-21,8316
2022-05-22,4910
2022-05-23,10104
2022-05-24,9654
2022-05-25,9993
2022-05-26,9078
2022-05-27,9147
2022-05-28,7583
2022-05-29,4256
2022-05-30,9262
2022-05-31,494
2022-06-01,9018
2022-06-02,8944
2022-06-03,9755
2022-06-04,8735
2022-06-05,5231
2022-06-06,10179
2022-06-07,9882
2022-06-08,9735
2022-06-09,9348
2022-06-10,9309
2022-06-11,8018
2022-06-12,4464
2022-06-13,10108
2022-06-14,9500
2022-06-15,10241
2022-06-16,10457
2022-06-17,9809
2022-06-18,9109
2022-06-19,5325
2022-06-20,9827
2022-06-21,10277
2022-06-22,8334
2022-06-23,8813
2022-06-24,9533
2022-06-25,7836
2022-06-26,4138
2022-06-27,9680
2022-06-28,9815
2022-06-29,9238
2022-06-30,733
2022-07-01,10713
2022-07-02,9783
2022-07-03,5817
2022-07-04,10912
2022-07-05,10583
2022-07-06,10350
2022-07-07,10208
2022-07-08,9971
2022-07-09,9394
2022-07-10,5972
2022-07-11,10955
2022-07-12,10091
2022-07-13,10299
2022-07-14,9854
2022-07-15,10426
2022-07-16,8306
2022-07-17,5817
2022-07-18,10812
2022-07-19,10570
2022-07-20,10451
2022-07-21,10123
2022-07-22,9510
2022-07-23,9586
2022-07-24,6751
2022-07-25,10265
2022-07-26,10241
2022-07-27,8956
2022-07-28,8838
2022-07-29,9378
2022-07-30,8828
2022-07-31,479
2022-08-01,10021
2022-08-02,10462
2022-08-03,10677
2022-08-04,9620
2022-08-05,10612
2022-08-06,7567
2022-08-07,4980
2022-08-08,10675
2022-08-09,10831
2022-08-10,9964
2022-08-11,9977
2022-08-12,10353
2022-08-13,8757
2022-08-14,5161
2022-08-15,5409
2022-08-16,10435
2022-08-17,10522
2022-08-18,9937
2022-08-19,10705
2022-08-20,9196
2022-08-21,5486
2022-08-22,10669
2022-08-23,10960
2022-08-24,10515
2022-08-25,10208
2022-08-26,10533
2022-08-27,8782
2022-08-28,5140
2022-08-29,10192
2022-08-30,10161
2022-08-31,568
2022-09-01,9521
2022-09-02,10157
2022-09-03,9530
2022-09-04,5314
2022-09-05,10555
2022-09-06,10880
2022-09-07,12065
2022-09-08,10963
2022-09-09,11007
2022-09-10,9438
2022-09-11,5315
2022-09-12,10816
2022-09-13,10776
2022-09-14,10632
2022-09-15,10291
2022-09-16,10630
2022-09-17,9865
2022-09-18,5820
2022-09-19,9387
2022-09-20,10627
2022-09-21,9392
2022-09-22,10113
2022-09-23,10152
2022-09-24,8951
2022-09-25,4724
2022-09-26,10404
2022-09-27,9417
2022-09-28,10146
2022-09-29,9527
2022-09-30,723
2022-10-01,8638
2022-10-02,5273
2022-10-03,5877
2022-10-04,11701
2022-10-05,9942
2022-10-06,8373
2022-10-07,11081
2022-10-08,9215
2022-10-09,4500
2022-10-10,8532
2022-10-11,8429
2022-10-12,11162
2022-10-13,10140
2022-10-14,10406
2022-10-15,9180
2022-10-16,5458
2022-10-17,10803
2022-10-18,10831
2022-10-19,10274
2022-10-20,9059
2022-10-21,11133
2022-10-22,8912
2022-10-23,5331
2022-10-24,11348
2022-10-25,10958
2022-10-26,10600
2022-10-27,9667
2022-10-28,11143
2022-10-29,8779
2022-10-30,3938
2022-10-31,212
2022-11-01,10886
2022-11-02,11379
2022-11-03,11131
2022-11-04,11184
2022-11-05,9325
2022-11-06,5703
2022-11-07,11253
2022-11-08,11483
2022-11-09,547
2022-11-10,9585
2022-11-11,11151
2022-11-12,8881
2022-11-13,4265
2022-11-14,11306
2022-11-15,10861
2022-11-16,11373
2022-11-17,10894
2022-11-18,11227
2022-11-19,9707
2022-11-20,5191
2022-11-21,8813
2022-11-22,10690
2022-11-23,10709
2022-11-24,11042
2022-11-25,11026
2022-11-26,9234
2022-11-27,5314
2022-11-28,11161
2022-11-29,11867
2022-11-30,363
