"fecha","cantidad_viajes"
2022-01-25,135
2022-01-26,792
2022-01-27,1229
2022-01-28,1848
2022-01-29,1968
2022-01-30,552
2022-02-01,2315
2022-02-02,2174
2022-02-03,1818
2022-02-04,2575
2022-02-05,1383
2022-02-06,316
2022-02-07,2070
2022-02-08,2383
2022-02-09,3070
2022-02-10,2695
2022-02-11,1788
2022-02-12,2342
2022-02-13,280
2022-02-14,2934
2022-02-15,2934
2022-02-16,2634
2022-02-17,3335
2022-02-18,2848
2022-02-19,1374
2022-02-20,779
2022-02-21,1769
2022-02-22,2445
2022-02-23,2614
2022-02-24,3215
2022-02-25,2825
2022-02-26,2130
2022-02-27,547
2022-03-01,1556
2022-03-02,1292
2022-03-03,2003
2022-03-04,1632
2022-03-05,1856
2022-03-06,275
2022-03-07,3160
2022-03-08,3278
2022-03-09,3002
2022-03-10,3065
2022-03-11,2137
2022-03-12,2772
2022-03-13,789
2022-03-14,3987
2022-03-15,4101
2022-03-16,3533
2022-03-17,3664
2022-03-18,3974
2022-03-19,2666
2022-03-20,760
2022-03-21,3372
2022-03-22,3128
2022-03-23,2710
2022-03-24,3531
2022-03-25,4598
2022-03-26,3188
2022-03-27,343
2022-03-28,4080
2022-03-29,3831
2022-03-30,2771
2022-03-31,62
2022-04-01,4152
2022-04-02,3960
2022-04-03,252
2022-04-04,3664
2022-04-05,3112
2022-04-06,3792
2022-04-07,3555
2022-04-08,3723
2022-04-09,3343
2022-04-10,959
2022-04-11,3549
2022-04-12,3159
2022-04-13,2838
2022-04-14,984
2022-04-15,44
2022-04-16,889
2022-04-17,351
2022-04-18,3856
2022-04-19,3890
2022-04-20,3858
2022-04-21,3274
2022-04-22,3857
2022-04-23,2741
2022-04-24,448
2022-04-25,3749
2022-04-26,2993
2022-04-27,3286
2022-04-28,3410
2022-04-29,3366
2022-04-30,75
2022-05-01,671
2022-05-02,419
2022-05-03,4020
2022-05-04,3928
2022-05-05,3912
2022-05-06,3507
2022-05-07,3141
2022-05-08,767
2022-05-09,3702
2022-05-10,3926
2022-05-11,3200
2022-05-12,3715
2022-05-13,4342
2022-05-14,836
2022-05-15,592
2022-05-16,3572
2022-05-17,4218
2022-05-18,3863
2022-05-19,3370
2022-05-20,4137
2022-05-21,2689
2022-05-22,602
2022-05-23,3259
2022-05-24,3014
2022-05-25,3610
2022-05-26,2671
2022-05-27,2844
2022-05-28,2855
2022-05-29,478
2022-05-30,3369
2022-05-31,66
2022-06-01,2976
2022-06-02,3173
2022-06-03,3174
2022-06-04,2194
2022-06-05,669
2022-06-06,3306
2022-06-07,3424
2022-06-08,3664
2022-06-09,3616
2022-06-10,3553
2022-06-11,3539
2022-06-12,690
2022-06-13,3868
2022-06-14,3982
2022-06-15,4372
2022-06-16,3689
2022-06-17,2898
2022-06-18,3297
2022-06-19,648
2022-06-20,3949
2022-06-21,4508
2022-06-22,4360
2022-06-23,4290
2022-06-24,4187
2022-06-25,3049
2022-06-26,885
2022-06-27,4141
2022-06-28,4322
2022-06-29,3997
2022-06-30,89
2022-07-01,4148
2022-07-02,2870
2022-07-03,39
2022-07-04,3895
2022-07-05,4600
2022-07-06,4646
2022-07-07,4440
2022-07-08,3979
2022-07-09,2943
2022-07-10,1127
2022-07-11,3386
2022-07-12,3855
2022-07-13,3925
2022-07-14,3742
2022-07-15,3588
2022-07-16,2745
2022-07-17,709
2022-07-18,3182
2022-07-19,3874
2022-07-20,3699
2022-07-21,3493
2022-07-22,3495
2022-07-23,2959
2022-07-24,792
2022-07-25,3129
2022-07-26,3133
2022-07-27,3651
2022-07-28,3530
2022-07-29,3850
2022-07-30,2985
2022-07-31,67
2022-08-01,3588
2022-08-02,3793
2022-08-03,4281
2022-08-04,4197
2022-08-05,3607
2022-08-06,2121
2022-08-07,972
2022-08-08,3883
2022-08-09,4064
2022-08-10,4226
2022-08-11,4059
2022-08-12,4570
2022-08-13,3172
2022-08-14,567
2022-08-15,586
2022-08-16,4154
2022-08-17,3862
2022-08-18,4201
2022-08-19,3900
2022-08-20,3082
2022-08-21,718
2022-08-22,4145
2022-08-23,4134
2022-08-24,4569
2022-08-25,4405
2022-08-26,4273
2022-08-27,3142
2022-08-28,452
2022-08-29,4296
2022-08-30,4528
2022-08-31,129
2022-09-01,4390
2022-09-02,3955
2022-09-03,2801
2022-09-04,475
2022-09-05,4090
2022-09-06,4367
2022-09-07,3830
2022-09-08,4498
2022-09-09,5299
2022-09-10,3086
2022-09-11,1098
2022-09-12,4024
2022-09-13,4602
2022-09-14,4186
2022-09-15,3947
2022-09-16,4240
2022-09-17,3209
2022-09-18,803
2022-09-19,2517
2022-09-20,4597
2022-09-21,4265
2022-09-22,4324
2022-09-23,4576
2022-09-24,3022
2022-09-25,921
2022-09-26,4179
2022-09-27,4267
2022-09-28,4247
2022-09-29,3837
2022-09-30,119
2022-10-01,1782
2022-10-02,448
2022-10-03,746
2022-10-04,4262
2022-10-05,3946
2022-10-06,3935
2022-10-07,4407
2022-10-08,2361
2022-10-09,414
2022-10-10,2155
2022-10-11,2875
2022-10-12,4130
2022-10-13,3927
2022-10-14,3039
2022-10-15,2491
2022-10-16,500
2022-10-17,2788
2022-10-18,4026
2022-10-19,3469
2022-10-20,3626
2022-10-21,3975
2022-10-22,2736
2022-10-23,703
2022-10-24,3720
2022-10-25,4419
2022-10-26,3884
2022-10-27,3474
2022-10-28,4427
2022-10-29,3131
2022-10-30,423
2022-10-31,17
2022-11-01,4933
2022-11-02,4745
2022-11-03,5097
2022-11-04,3649
2022-11-05,2914
2022-11-06,1250
2022-11-07,4216
2022-11-08,5231
2022-11-09,191
2022-11-10,4738
2022-11-11,4599
2022-11-12,2979
2022-11-13,685
2022-11-14,3556
2022-11-15,4334
2022-11-16,4974
2022-11-17,4563
2022-11-18,3465
2022-11-19,2714
2022-11-20,1049
2022-11-21,3713
2022-11-22,3884
2022-11-23,3695
2022-11-24,4322
2022-11-25,4441
2022-11-26,3142
2022-11-27,501
2022-11-28,3573
2022-11-29,3886
2022-11-30,48
2022-12-01,4597
2022-12-02,4934
2022-12-03,4400
2022-12-04,1022
2022-12-05,3983
2022-12-06,3518
2022-12-07,3611
2022-12-08,529
2022-12-09,3363
2022-12-10,3168
2022-12-11,1262
2022-12-12,4447
2022-12-13,3653
2022-12-14,4279
2022-12-15,4433
2022-12-16,5433
2022-12-17,3788
2022-12-18,364
2022-12-19,3202
2022-12-20,4426
2022-12-21,5230
2022-12-22,4988
2022-12-23,4458
2022-12-24,2633
2022-12-25,29
2022-12-26,3091
2022-12-27,4177
2022-12-28,3915
2022-12-29,3845
2022-12-30,3718
2022-12-31,28
2023-01-02,2105
2023-01-03,2982
2023-01-04,3307
2023-01-05,4538
2023-01-06,4220
2023-01-07,3153
2023-01-08,679
2023-01-09,4669
2023-01-10,4241
2023-01-11,4095
2023-01-12,4825
2023-01-13,3771
2023-01-14,3268
2023-01-15,474
2023-01-16,4250
2023-01-17,4683
2023-01-18,4781
2023-01-19,4404
2023-01-20,3367
2023-01-21,3194
2023-01-22,721
2023-01-23,3596
2023-01-24,3762
2023-01-25,3994
2023-01-26,3704
2023-01-27,4112
2023-01-28,2786
2023-01-29,925
2023-01-30,3544
2023-02-01,4795
2023-02-02,4455
2023-02-03,4085
2023-02-04,2798
2023-02-05,630
2023-02-06,4806
2023-02-07,4357
2023-02-08,3613
2023-02-09,4036
2023-02-10,3774
2023-02-11,3186
2023-02-12,527
2023-02-13,4043
2023-02-14,3880
2023-02-15,4067
2023-02-16,4525
2023-02-17,4347
2023-02-18,3523
2023-02-19,838
2023-02-20,4699
2023-02-21,4783
2023-02-22,3750
2023-02-23,3577
2023-02-24,3776
2023-02-25,2982
2023-02-26,819
2023-02-27,921
2023-03-01,4088
2023-03-02,3091
2023-03-03,3088
2023-03-04,2299
2023-03-05,493
2023-03-06,4042
2023-03-07,3492
2023-03-08,3023
2023-03-09,3855
2023-03-10,3634
2023-03-11,2879
2023-03-12,721
2023-03-13,4175
2023-03-14,2438
2023-03-15,3066
2023-03-16,3382
2023-03-17,3600
2023-03-18,2783
2023-03-19,382
2023-03-20,3864
2023-03-21,3672
2023-03-22,2378
2023-03-23,3673
2023-03-24,3523
2023-03-25,2796
2023-03-26,646
2023-03-27,3992
2023-03-28,4216
2023-03-29,4647
2023-03-30,3401
2023-03-31,124
