"fecha","cantidad_viajes"
2022-01-02,858
2022-01-03,6045
2022-01-04,7580
2022-01-05,7590
2022-01-06,6901
2022-01-07,7128
2022-01-08,4937
2022-01-09,1186
2022-01-10,6431
2022-01-11,6978
2022-01-12,6856
2022-01-13,6799
2022-01-14,6762
2022-01-15,4775
2022-01-16,886
2022-01-17,6766
2022-01-18,6559
2022-01-19,6739
2022-01-20,6553
2022-01-21,7368
2022-01-22,4843
2022-01-23,837
2022-01-24,6131
2022-01-25,6616
2022-01-26,6654
2022-01-27,6226
2022-01-28,7455
2022-01-29,5472
2022-01-30,1240
2022-02-01,7749
2022-02-02,8384
2022-02-03,7897
2022-02-04,8187
2022-02-05,5238
2022-02-06,1166
2022-02-07,7625
2022-02-08,7360
2022-02-09,7679
2022-02-10,7979
2022-02-11,8427
2022-02-12,6226
2022-02-13,1483
2022-02-14,8441
2022-02-15,8191
2022-02-16,8092
2022-02-17,8317
2022-02-18,8892
2022-02-19,5708
2022-02-20,1476
2022-02-21,8344
2022-02-22,8892
2022-02-23,8926
2022-02-24,8381
2022-02-25,9259
2022-02-26,6785
2022-02-27,1201
2022-03-01,7384
2022-03-02,8971
2022-03-03,9040
2022-03-04,9480
2022-03-05,6791
2022-03-06,1789
2022-03-07,9239
2022-03-08,9463
2022-03-09,8756
2022-03-10,9110
2022-03-11,7270
2022-03-12,6509
2022-03-13,1407
2022-03-14,9176
2022-03-15,9252
2022-03-16,9149
2022-03-17,9273
2022-03-18,9202
2022-03-19,6253
2022-03-20,1511
2022-03-21,8745
2022-03-22,8744
2022-03-23,5065
2022-03-24,8845
2022-03-25,9366
2022-03-26,6571
2022-03-27,1490
2022-03-28,8832
2022-03-29,9105
2022-03-30,7344
2022-03-31,110
2022-04-01,9019
2022-04-02,6813
2022-04-03,1710
2022-04-04,7138
2022-04-05,7481
2022-04-06,8832
2022-04-07,8216
2022-04-08,8978
2022-04-09,7291
2022-04-10,1549
2022-04-11,8574
2022-04-12,9016
2022-04-13,7169
2022-04-14,2502
2022-04-16,2631
2022-04-17,1391
2022-04-18,9050
2022-04-19,9415
2022-04-20,9584
2022-04-21,8412
2022-04-22,9516
2022-04-23,6735
2022-04-24,1642
2022-04-25,9461
2022-04-26,9762
2022-04-27,9254
2022-04-28,9617
2022-04-29,9189
2022-04-30,193
2022-05-01,1519
2022-05-02,1995
2022-05-03,8574
2022-05-04,9978
2022-05-05,9626
2022-05-06,9718
2022-05-07,7144
2022-05-08,1632
2022-05-09,9073
2022-05-10,9675
2022-05-11,10094
2022-05-12,9388
2022-05-13,9570
2022-05-14,3336
2022-05-15,1561
2022-05-16,8653
2022-05-17,9560
2022-05-18,9433
2022-05-19,8580
2022-05-20,8961
2022-05-21,6697
2022-05-22,1719
2022-05-23,8681
2022-05-24,9039
2022-05-25,9295
2022-05-26,7932
2022-05-27,8281
2022-05-28,6121
2022-05-29,1654
2022-05-30,8778
2022-05-31,169
2022-06-01,9104
2022-06-02,9124
2022-06-03,8896
2022-06-04,6381
2022-06-05,1763
2022-06-06,8120
2022-06-07,8013
2022-06-08,8867
2022-06-09,8793
2022-06-10,8795
2022-06-11,6291
2022-06-12,1603
2022-06-13,8568
2022-06-14,8900
2022-06-15,8748
2022-06-16,8796
2022-06-17,8798
2022-06-18,7341
2022-06-19,1197
2022-06-20,8433
2022-06-21,9002
2022-06-22,8082
2022-06-23,7576
2022-06-24,8460
2022-06-25,5790
2022-06-26,1489
2022-06-27,8518
2022-06-28,8617
2022-06-29,8197
2022-06-30,221
2022-07-01,8831
2022-07-02,7046
2022-07-03,1546
2022-07-04,8580
2022-07-05,8698
2022-07-06,9290
2022-07-07,9006
2022-07-08,8440
2022-07-09,6734
2022-07-10,1242
2022-07-11,7993
2022-07-12,8021
2022-07-13,7846
2022-07-14,7950
2022-07-15,8211
2022-07-16,6224
2022-07-17,1654
2022-07-18,8067
2022-07-19,8943
2022-07-20,8604
2022-07-21,8920
2022-07-22,8694
2022-07-23,6930
2022-07-24,1659
2022-07-25,8650
2022-07-26,9056
2022-07-27,8439
2022-07-28,9025
2022-07-29,9228
2022-07-30,7093
2022-07-31,162
2022-08-01,8678
2022-08-02,8752
2022-08-03,9233
2022-08-04,8983
2022-08-05,8822
2022-08-06,5560
2022-08-07,1308
2022-08-08,8491
2022-08-09,8298
2022-08-10,8822
2022-08-11,8700
2022-08-12,9223
2022-08-13,6678
2022-08-14,1643
2022-08-15,3714
2022-08-16,8771
2022-08-17,8866
2022-08-18,7996
2022-08-19,8659
2022-08-20,6630
2022-08-21,1423
2022-08-22,8355
2022-08-23,8158
2022-08-24,8371
2022-08-25,9310
2022-08-26,8998
2022-08-27,6827
2022-08-28,1309
2022-08-29,8390
2022-08-30,9082
2022-08-31,249
2022-09-01,8659
2022-09-02,8313
2022-09-03,7001
2022-09-04,1611
2022-09-05,8201
2022-09-06,9174
2022-09-07,9128
2022-09-08,9240
2022-09-09,8952
2022-09-10,7103
2022-09-11,1662
2022-09-12,8924
2022-09-13,9007
2022-09-14,9615
2022-09-15,9549
2022-09-16,9307
2022-09-17,6813
2022-09-18,1717
2022-09-19,6942
2022-09-20,9104
2022-09-21,8653
2022-09-22,8939
2022-09-23,8836
2022-09-24,6321
2022-09-25,1557
2022-09-26,8151
2022-09-27,8210
2022-09-28,8904
2022-09-29,8580
2022-09-30,263
2022-10-01,6337
2022-10-02,1656
2022-10-03,3278
2022-10-04,7996
2022-10-05,8142
2022-10-06,5292
2022-10-07,7948
2022-10-08,6854
2022-10-09,1263
2022-10-10,7136
2022-10-11,7465
2022-10-12,9158
2022-10-13,8469
2022-10-14,8786
2022-10-15,6981
2022-10-16,1682
2022-10-17,8122
2022-10-18,8890
2022-10-19,7996
2022-10-20,7331
2022-10-21,9253
2022-10-22,6809
2022-10-23,1256
2022-10-24,8567
2022-10-25,8507
2022-10-26,8229
2022-10-27,8678
2022-10-28,8961
2022-10-29,7119
2022-10-30,720
2022-11-01,8648
2022-11-02,8446
2022-11-03,8230
2022-11-04,9619
2022-11-05,6305
2022-11-06,1322
2022-11-07,8948
2022-11-08,9752
2022-11-09,170
2022-11-10,8366
2022-11-11,9007
2022-11-12,6543
2022-11-13,1257
2022-11-14,9389
2022-11-15,9301
2022-11-16,8979
2022-11-17,8309
2022-11-18,8555
2022-11-19,6538
2022-11-20,925
2022-11-21,7161
2022-11-22,8396
2022-11-23,8720
2022-11-24,8183
2022-11-25,8462
2022-11-26,6341
2022-11-27,1230
2022-11-28,8565
2022-11-29,8440
2022-11-30,146
2022-12-01,8745
2022-12-02,8937
2022-12-03,6667
2022-12-04,1143
2022-12-05,9159
2022-12-06,9122
2022-12-07,7721
2022-12-08,1029
2022-12-09,8183
2022-12-10,7385
2022-12-11,1434
2022-12-12,8706
2022-12-13,8493
2022-12-14,9170
2022-12-15,8771
2022-12-16,8192
2022-12-17,7340
2022-12-18,1234
2022-12-19,8619
2022-12-20,8328
2022-12-21,8465
2022-12-22,8538
2022-12-23,8547
2022-12-24,4766
2022-12-25,361
2022-12-26,6692
2022-12-27,7673
2022-12-28,7669
2022-12-29,8173
2022-12-30,7612
2022-12-31,142
2023-01-01,245
2023-01-02,4775
2023-01-03,6521
2023-01-04,7152
2023-01-05,7197
2023-01-06,7742
2023-01-07,5652
2023-01-08,1281
2023-01-09,6728
2023-01-10,7535
2023-01-11,7739
2023-01-12,7931
2023-01-13,6514
2023-01-14,6583
2023-01-15,1234
2023-01-16,8077
2023-01-17,8115
2023-01-18,8349
2023-01-19,7640
2023-01-20,7800
2023-01-21,5895
2023-01-22,947
2023-01-23,7771
2023-01-24,8039
2023-01-25,8215
2023-01-26,7118
2023-01-27,7961
2023-01-28,5644
2023-01-29,1038
2023-01-30,6778
2023-01-31,122
2023-02-01,7873
2023-02-02,7810
2023-02-03,8153
2023-02-04,5363
2023-02-05,1121
2023-02-06,7074
2023-02-07,7414
2023-02-08,8210
2023-02-09,7891
2023-02-10,7730
2023-02-11,5687
2023-02-12,1298
2023-02-13,8658
2023-02-14,8155
2023-02-15,7681
2023-02-16,8218
2023-02-17,8094
2023-02-18,6050
2023-02-19,1161
2023-02-20,7519
2023-02-21,8284
2023-02-22,8104
2023-02-23,7541
2023-02-24,7799
2023-02-25,5825
2023-02-26,993
2023-02-27,2716
2023-02-28,30
2023-03-01,7541
2023-03-02,6769
2023-03-03,8044
2023-03-04,6037
2023-03-05,925
2023-03-06,8980
2023-03-07,8161
2023-03-08,8109
2023-03-09,7860
2023-03-10,8399
2023-03-11,5912
2023-03-12,841
2023-03-13,7602
2023-03-14,7603
2023-03-15,8192
2023-03-16,8065
2023-03-17,7939
2023-03-18,6027
2023-03-19,1178
2023-03-20,8122
2023-03-21,8060
2023-03-22,8526
2023-03-23,7910
2023-03-24,8730
2023-03-25,6122
2023-03-26,1038
2023-03-27,7850
2023-03-28,8877
2023-03-29,8835
2023-03-30,7580
2023-03-31,332
