"fecha","cantidad_viajes"
2022-01-01,29
2022-01-02,84
2022-01-03,1682
2022-01-04,2198
2022-01-05,2525
2022-01-06,2355
2022-01-07,2319
2022-01-08,1407
2022-01-09,327
2022-01-10,1903
2022-01-11,1312
2022-01-12,2115
2022-01-13,1906
2022-01-14,1675
2022-01-15,1149
2022-01-16,239
2022-01-17,2007
2022-01-18,2165
2022-01-19,1929
2022-01-20,1905
2022-01-21,1510
2022-01-22,997
2022-01-23,276
2022-01-24,1601
2022-01-25,1895
2022-01-26,1160
2022-01-27,1874
2022-01-28,1695
2022-01-29,805
2022-01-30,372
2022-02-01,2042
2022-02-02,1893
2022-02-03,2319
2022-02-04,1867
2022-02-05,1137
2022-02-06,357
2022-02-07,1777
2022-02-08,2387
2022-02-09,2371
2022-02-10,2189
2022-02-11,2172
2022-02-12,1166
2022-02-13,293
2022-02-14,2333
2022-02-15,2226
2022-02-16,2107
2022-02-17,1580
2022-02-18,2230
2022-02-19,1305
2022-02-20,516
2022-02-21,2175
2022-02-22,2177
2022-02-23,2226
2022-02-24,2393
2022-02-25,2471
2022-02-26,1111
2022-02-27,305
2022-03-01,2557
2022-03-02,2636
2022-03-03,1628
2022-03-04,2283
2022-03-05,1602
2022-03-06,320
2022-03-07,3355
2022-03-08,2661
2022-03-09,2746
2022-03-10,2915
2022-03-11,2408
2022-03-12,1798
2022-03-13,642
2022-03-14,2973
2022-03-15,2527
2022-03-16,3184
2022-03-17,2167
2022-03-18,2798
2022-03-19,1529
2022-03-20,917
2022-03-21,2600
2022-03-22,2532
2022-03-23,2256
2022-03-24,2486
2022-03-25,1815
2022-03-26,1981
2022-03-27,844
2022-03-28,2632
2022-03-29,3053
2022-03-30,2641
2022-03-31,197
2022-04-01,2998
2022-04-02,1717
2022-04-03,614
2022-04-04,1784
2022-04-05,2333
2022-04-06,2345
2022-04-07,2690
2022-04-08,2998
2022-04-09,1697
2022-04-10,683
2022-04-11,2393
2022-04-12,2518
2022-04-13,1042
2022-04-14,264
2022-04-15,64
2022-04-16,874
2022-04-17,459
2022-04-18,2881
2022-04-19,3199
2022-04-20,2932
2022-04-21,2471
2022-04-22,3202
2022-04-23,1456
2022-04-24,570
2022-04-25,2827
2022-04-26,3253
2022-04-27,3160
2022-04-28,3266
2022-04-29,2391
2022-04-30,188
2022-05-01,692
2022-05-02,458
2022-05-03,2696
2022-05-04,3338
2022-05-05,3492
2022-05-06,3300
2022-05-07,1955
2022-05-08,1119
2022-05-09,2970
2022-05-10,2806
2022-05-11,3139
2022-05-12,3043
2022-05-13,2865
2022-05-14,1469
2022-05-15,764
2022-05-16,2634
2022-05-17,2967
2022-05-18,2626
2022-05-19,2467
2022-05-20,3268
2022-05-21,1841
2022-05-22,1036
2022-05-23,2674
2022-05-24,2978
2022-05-25,2684
2022-05-26,2735
2022-05-27,2838
2022-05-28,1987
2022-05-29,853
2022-05-30,3039
2022-05-31,198
2022-06-01,2745
2022-06-02,2788
2022-06-03,3129
2022-06-04,2057
2022-06-05,917
2022-06-06,2553
2022-06-07,2912
2022-06-08,3191
2022-06-09,2712
2022-06-10,2564
2022-06-11,1926
2022-06-12,919
2022-06-13,2514
2022-06-14,2788
2022-06-15,2776
2022-06-16,2785
2022-06-17,2603
2022-06-18,2005
2022-06-19,987
2022-06-20,2770
2022-06-21,3142
2022-06-22,2798
2022-06-23,2605
2022-06-24,2653
2022-06-25,2048
2022-06-26,947
2022-06-27,2690
2022-06-28,3067
2022-06-29,3169
2022-06-30,251
2022-07-01,2856
2022-07-02,2494
2022-07-03,1089
2022-07-04,3097
2022-07-05,3415
