"fecha","cantidad_viajes"
2022-01-03,2357
2022-01-04,3237
2022-01-05,3888
2022-01-06,3833
2022-01-07,3199
2022-01-08,2608
2022-01-09,692
2022-01-10,3071
2022-01-11,3013
2022-01-12,2984
2022-01-13,3010
2022-01-14,3124
2022-01-15,2533
2022-01-16,827
2022-01-17,3481
2022-01-18,3117
2022-01-19,2859
2022-01-20,3041
2022-01-21,3143
2022-01-22,2207
2022-01-24,3136
2022-01-25,3261
2022-01-26,2960
2022-01-27,3433
2022-01-28,1585
2022-01-29,2590
2022-02-01,3481
2022-02-02,3608
2022-02-03,3257
2022-02-04,2734
2022-02-05,2131
2022-02-07,3867
2022-02-08,3856
2022-02-09,3127
2022-02-10,3381
2022-02-11,3310
2022-02-12,2642
2022-02-14,3415
2022-02-15,3476
2022-02-16,3415
2022-02-17,3128
2022-02-18,3042
2022-02-19,2582
2022-02-21,2991
2022-02-22,2896
2022-02-23,3522
2022-02-24,3330
2022-02-25,3433
2022-02-26,2030
2022-03-01,2773
2022-03-02,3661
2022-03-03,3205
2022-03-04,2712
2022-03-05,2401
2022-03-07,3236
2022-03-08,2700
2022-03-09,2899
2022-03-10,2944
2022-03-11,2398
2022-03-12,2193
2022-03-14,2960
2022-03-15,2944
2022-03-16,3248
2022-03-17,4470
2022-03-18,3552
2022-03-19,2190
2022-03-21,3525
2022-03-22,2879
2022-03-23,1901
2022-03-24,2562
2022-03-25,2928
2022-03-26,2767
2022-03-28,2497
2022-03-29,2737
2022-03-30,1647
2022-04-01,2320
2022-04-02,2480
2022-04-04,2498
2022-04-05,2043
2022-04-06,2920
2022-04-07,2605
2022-04-08,2968
2022-04-09,2429
2022-04-11,3181
2022-04-12,2782
2022-04-13,2692
2022-04-14,911
2022-04-18,2464
2022-04-19,2061
2022-04-20,2551
2022-04-21,2289
2022-04-22,2880
2022-04-23,2557
2022-04-24,49
2022-04-25,3175
2022-04-26,2766
2022-04-27,3065
2022-04-28,2486
2022-04-29,3110
2022-04-30,140
2022-05-02,822
2022-05-03,2988
2022-05-04,3082
2022-05-05,3402
2022-05-06,3372
2022-05-07,2885
2022-05-08,25
2022-05-09,3056
2022-05-10,3318
2022-05-11,3288
2022-05-12,2969
2022-05-13,3377
2022-05-14,1610
2022-05-16,2443
2022-05-17,2442
2022-05-18,2634
2022-05-19,2783
2022-05-20,2375
2022-05-21,1945
2022-05-23,2727
2022-05-24,2747
2022-05-25,3019
2022-05-26,2809
2022-05-27,2617
2022-05-28,2488
2022-05-30,2896
2022-05-31,84
2022-06-01,2694
2022-06-02,2784
2022-06-03,2729
2022-06-04,2113
2022-06-06,2335
2022-06-07,2114
2022-06-08,2622
2022-06-09,3188
2022-06-10,2997
2022-06-11,2044
2022-06-13,2270
2022-06-14,2585
2022-06-15,2692
2022-06-16,2488
2022-06-17,2778
2022-06-18,2497
2022-06-20,2576
2022-06-21,2629
2022-06-22,2931
2022-06-23,2665
2022-06-24,2476
2022-06-25,2267
2022-06-27,2615
2022-06-28,2705
2022-06-29,3063
2022-06-30,60
2022-07-01,1968
2022-07-02,1720
2022-07-04,3012
2022-07-05,2849
2022-07-06,771
2022-07-07,2747
2022-07-08,2641
2022-07-09,2070
2022-07-11,2411
2022-07-12,2705
2022-07-13,2822
2022-07-14,2612
2022-07-15,2511
2022-07-16,2047
2022-07-18,2401
2022-07-19,2938
2022-07-20,2412
2022-07-21,3251
2022-07-22,3060
2022-07-23,2357
2022-07-25,2854
2022-07-26,3255
2022-07-27,4173
2022-07-28,3367
2022-07-29,3094
2022-07-30,2216
2022-08-01,2491
2022-08-02,2346
2022-08-03,2954
2022-08-04,3376
2022-08-05,3073
2022-08-06,2442
2022-08-07,1579
2022-08-08,3957
2022-08-09,4218
2022-08-10,4081
2022-08-11,4054
2022-08-12,3955
2022-08-13,3731
2022-08-14,1881
2022-08-15,1482
2022-08-16,4454
2022-08-17,4270
2022-08-18,4534
2022-08-19,4605
2022-08-20,3760
2022-08-21,1795
2022-08-22,4452
2022-08-23,4734
2022-08-24,4769
2022-08-25,4577
2022-08-26,4524
2022-08-27,4044
2022-08-28,1658
2022-08-29,4100
2022-08-30,4523
2022-08-31,413
2022-09-01,3901
2022-09-02,4195
2022-09-03,4248
2022-09-04,1707
2022-09-05,3493
2022-09-06,4433
2022-09-07,4752
2022-09-08,4147
2022-09-09,3912
2022-09-10,3768
2022-09-11,1784
2022-09-12,3578
2022-09-13,3951
2022-09-14,4613
2022-09-15,4407
2022-09-16,3367
2022-09-17,3298
2022-09-18,1718
2022-09-19,2810
2022-09-20,4222
2022-09-21,3266
2022-09-22,3625
2022-09-23,3268
2022-09-24,2922
2022-09-25,671
2022-09-26,3260
2022-09-27,2773
2022-09-28,2997
2022-09-29,3739
2022-09-30,62
2022-10-01,3229
2022-10-02,1552
2022-10-03,1599
2022-10-04,4714
2022-10-05,4658
2022-10-06,3144
2022-10-07,3277
2022-10-08,2769
2022-10-09,1027
2022-10-10,2914
2022-10-11,3044
2022-10-12,3982
2022-10-13,3864
2022-10-14,4266
2022-10-15,3668
2022-10-16,1697
2022-10-17,4661
2022-10-18,4202
2022-10-19,3924
2022-10-20,3301
2022-10-21,3786
2022-10-22,3274
2022-10-23,1646
2022-10-24,4399
2022-10-25,4408
2022-10-26,4359
2022-10-27,3852
2022-10-28,3852
2022-10-29,2924
2022-11-01,4055
2022-11-02,3736
2022-11-03,3686
2022-11-04,3602
2022-11-05,3256
2022-11-06,1517
2022-11-07,3547
2022-11-08,4294
2022-11-09,193
2022-11-10,3521
2022-11-11,4348
2022-11-12,3579
2022-11-13,546
2022-11-14,4879
2022-11-15,4386
2022-11-16,4194
2022-11-17,4471
2022-11-18,3470
2022-11-19,3146
2022-11-20,1775
2022-11-21,2469
2022-11-22,3879
2022-11-23,4199
2022-11-24,4099
2022-11-25,3673
2022-11-26,2900
2022-11-27,1102
2022-11-28,3722
2022-11-29,3528
2022-11-30,50
2022-12-01,3051
2022-12-02,3159
2022-12-03,2963
2022-12-04,1291
2022-12-05,3678
2022-12-06,3281
2022-12-07,1424
2022-12-09,3635
2022-12-10,3009
2022-12-12,3617
2022-12-13,3510
2022-12-14,3342
2022-12-15,4223
2022-12-16,4298
