"fecha","cantidad_viajes"
2022-01-01,302
2022-01-02,555
2022-01-03,1319
2022-01-04,1513
2022-01-05,1061
2022-01-06,1262
2022-01-07,1221
2022-01-08,719
2022-01-09,559
2022-01-10,1408
2022-01-11,2371
2022-01-12,2817
2022-01-13,2080
2022-01-14,2661
2022-01-15,2002
2022-01-16,1430
2022-01-17,2376
2022-01-18,1831
2022-01-19,2724
2022-01-20,2566
2022-01-21,715
2022-01-22,1861
2022-01-23,1380
2022-01-24,1977
2022-01-25,2812
2022-01-26,2605
2022-01-27,2292
2022-01-28,3051
2022-01-29,3359
2022-01-30,550
2022-01-31,57
2022-02-01,2346
2022-02-02,1914
2022-02-03,2325
2022-02-04,2365
2022-02-05,2223
2022-02-06,2050
2022-02-07,2558
2022-02-08,2353
2022-02-09,2574
2022-02-10,1770
2022-02-11,1147
2022-02-12,1001
2022-02-13,292
2022-02-14,857
2022-02-15,1312
2022-02-16,1012
2022-02-17,1765
2022-02-18,1666
2022-02-19,1738
2022-02-20,1315
2022-02-21,1908
2022-02-22,1999
2022-02-23,1881
2022-02-24,1777
2022-02-25,2219
2022-02-26,864
2022-02-27,782
2022-02-28,41
2022-03-01,1482
2022-03-02,1747
2022-03-03,1877
2022-03-04,2029
2022-03-05,1179
2022-03-06,702
2022-03-07,1843
2022-03-08,1228
2022-03-09,1511
2022-03-10,1725
2022-03-11,1042
2022-03-12,574
2022-03-13,338
2022-03-14,1417
2022-03-15,1198
2022-03-16,1556
2022-03-17,857
2022-03-18,2510
2022-03-19,2844
2022-03-20,1297
2022-03-21,3485
2022-03-22,2467
2022-03-23,2442
2022-03-24,2947
2022-03-25,2271
2022-03-26,2846
2022-03-27,2020
2022-03-28,2767
2022-03-29,3503
2022-03-30,3180
2022-03-31,159
2022-04-01,3469
2022-04-02,2538
2022-04-03,898
2022-04-04,2319
2022-04-05,2507
2022-04-06,2724
2022-04-07,2258
2022-04-08,2346
2022-04-09,1449
2022-04-10,1875
2022-04-11,2240
2022-04-12,3448
2022-04-13,2252
2022-04-14,2661
2022-04-15,966
2022-04-16,1670
2022-04-17,1677
2022-04-18,3175
2022-04-19,3141
2022-04-20,2597
2022-04-21,2920
2022-04-22,2178
2022-04-23,1785
2022-04-24,1843
2022-04-25,2897
2022-04-26,3166
2022-04-27,4176
2022-04-28,3576
2022-04-29,3962
2022-04-30,298
2022-05-01,4965
2022-05-02,4683
2022-05-03,5986
2022-05-04,3454
2022-05-05,3520
2022-05-06,2823
2022-05-07,1708
2022-05-08,842
2022-05-09,2084
2022-05-10,1972
2022-05-11,2402
2022-05-12,2749
2022-05-13,2708
2022-05-14,976
2022-05-15,41
2022-05-16,1743
2022-05-17,2434
2022-05-18,3080
2022-05-19,2005
2022-05-20,2694
2022-05-21,2276
2022-05-22,1979
2022-05-23,2500
2022-05-24,2334
2022-05-25,1870
2022-05-26,1391
2022-05-27,1517
2022-05-28,1612
2022-05-29,1200
2022-05-30,1942
2022-05-31,84
2022-06-01,2276
2022-06-02,2156
2022-06-03,2585
2022-06-04,1661
2022-06-05,1474
2022-06-06,2417
2022-06-07,2211
2022-06-08,2777
2022-06-09,2141
2022-06-10,2089
2022-06-11,1371
2022-06-12,1106
2022-06-13,2140
2022-06-14,3168
2022-06-15,2438
2022-06-16,2436
2022-06-17,1738
2022-06-18,2256
2022-06-19,1550
2022-06-20,3026
2022-06-21,3454
2022-06-22,2255
2022-06-23,2441
2022-06-24,2511
