"fecha","cantidad_viajes"
2022-01-01,3403
2022-01-02,7077
2022-01-03,23788
2022-01-04,27818
2022-01-05,27845
2022-01-06,26231
2022-01-07,26647
2022-01-08,17408
2022-01-09,6883
2022-01-10,26451
2022-01-11,27157
2022-01-12,26656
2022-01-13,25874
2022-01-14,26561
2022-01-15,16791
2022-01-16,7036
2022-01-17,25954
2022-01-18,26901
2022-01-19,27026
2022-01-20,27241
2022-01-21,27984
2022-01-22,18833
2022-01-23,7413
2022-01-24,28730
2022-01-25,28240
2022-01-26,28636
2022-01-27,25704
2022-01-28,30071
2022-01-29,20601
2022-01-30,7097
2022-01-31,13
2022-02-01,30336
2022-02-02,30655
2022-02-03,30412
2022-02-04,29829
2022-02-05,19653
2022-02-06,8438
2022-02-07,30307
2022-02-08,31126
2022-02-09,31377
2022-02-10,32013
2022-02-11,32427
2022-02-12,20264
2022-02-13,7895
2022-02-14,30839
2022-02-15,30914
2022-02-16,33095
2022-02-17,32179
2022-02-18,32608
2022-02-19,21823
2022-02-20,8425
2022-02-21,30099
2022-02-22,31192
2022-02-23,32102
2022-02-24,32830
2022-02-25,33063
2022-02-26,22644
2022-02-27,8633
2022-02-28,183
2022-03-01,28622
2022-03-02,34215
2022-03-03,34393
2022-03-04,33574
2022-03-05,23386
2022-03-06,9097
2022-03-07,34234
2022-03-08,35223
2022-03-09,35227
2022-03-10,32821
2022-03-11,29395
2022-03-12,22796
2022-03-13,9505
2022-03-14,32357
2022-03-15,32909
2022-03-16,32797
2022-03-17,31357
2022-03-18,31734
2022-03-19,22915
2022-03-20,8940
2022-03-21,32068
2022-03-22,32625
2022-03-23,24365
2022-03-24,29835
2022-03-25,33307
2022-03-26,22363
2022-03-27,8864
2022-03-28,30731
2022-03-29,33831
2022-03-30,28849
2022-03-31,1686
2022-04-01,30249
2022-04-02,22839
2022-04-03,9669
2022-04-04,29317
2022-04-05,29128
2022-04-06,34585
2022-04-07,32427
2022-04-08,32382
2022-04-09,23816
2022-04-10,9564
2022-04-11,29265
2022-04-12,30117
2022-04-13,23542
2022-04-14,6402
2022-04-15,2348
2022-04-16,8911
2022-04-17,7772
2022-04-18,29226
2022-04-19,32420
2022-04-20,33918
2022-04-21,28635
2022-04-22,31821
2022-04-23,22372
2022-04-24,9684
2022-04-25,30552
2022-04-26,32193
2022-04-27,33248
2022-04-28,31475
2022-04-29,30197
2022-04-30,1795
2022-05-01,16209
2022-05-02,20894
2022-05-03,44943
2022-05-04,31242
2022-05-05,33004
2022-05-06,33448
2022-05-07,24871
2022-05-08,10424
2022-05-09,31911
2022-05-10,33915
2022-05-11,35717
2022-05-12,35062
2022-05-13,34982
2022-05-14,12684
2022-05-15,9476
2022-05-16,31739
2022-05-17,34428
2022-05-18,34011
2022-05-19,34905
2022-05-20,34225
2022-05-21,23605
2022-05-22,9122
2022-05-23,33101
2022-05-24,35380
2022-05-25,35762
2022-05-26,32965
2022-05-27,30661
2022-05-28,22436
2022-05-29,7793
2022-05-30,32220
2022-05-31,1706
2022-06-01,32507
2022-06-02,34315
2022-06-03,34421
2022-06-04,23486
2022-06-05,9312
2022-06-06,31349
2022-06-07,33723
2022-06-08,34377
2022-06-09,34814
2022-06-10,35538
2022-06-11,23833
2022-06-12,9088
2022-06-13,33558
2022-06-14,33327
2022-06-15,35258
2022-06-16,34070
2022-06-17,34142
2022-06-18,22497
2022-06-19,9419
2022-06-20,33062
2022-06-21,35423
2022-06-22,34081
2022-06-23,32701
2022-06-24,34808
2022-06-25,22955
2022-06-26,9129
2022-06-27,33819
2022-06-28,35258
2022-06-29,34265
2022-06-30,1885
2022-07-01,32826
2022-07-02,23767
2022-07-03,10552
2022-07-04,33848
2022-07-05,33938
2022-07-06,35154
2022-07-07,34335
2022-07-08,35775
2022-07-09,23829
2022-07-10,9561
2022-07-11,31124
2022-07-12,33149
2022-07-13,33877
2022-07-14,33887
2022-07-15,35682
2022-07-16,23008
2022-07-17,9416
2022-07-18,32580
2022-07-19,33943
2022-07-20,34138
2022-07-21,34648
2022-07-22,35912
2022-07-23,23664
2022-07-24,10740
2022-07-25,37418
2022-07-26,40014
2022-07-27,38918
2022-07-28,38571
2022-07-29,39707
2022-07-30,28010
2022-07-31,1571
2022-08-01,39880
2022-08-02,42372
2022-08-03,42862
2022-08-04,41409
2022-08-05,42896
2022-08-06,24479
2022-08-07,10471
2022-08-08,41784
2022-08-09,40266
2022-08-10,38168
2022-08-11,42069
2022-08-12,42396
2022-08-13,28300
2022-08-14,11183
2022-08-15,11305
2022-08-16,39794
2022-08-17,42376
2022-08-18,40623
2022-08-19,41218
2022-08-20,26620
2022-08-21,10504
2022-08-22,39565
2022-08-23,42991
2022-08-24,44155
2022-08-25,42347
2022-08-26,42597
2022-08-27,28059
2022-08-28,9275
2022-08-29,39972
2022-08-30,42622
2022-08-31,2786
2022-09-01,39890
2022-09-02,41233
2022-09-03,28307
2022-09-04,10913
2022-09-05,40947
2022-09-06,43117
2022-09-07,43774
2022-09-08,43533
2022-09-09,44532
2022-09-10,27120
2022-09-11,10567
2022-09-12,39525
2022-09-13,41096
2022-09-14,43166
2022-09-15,41866
2022-09-16,42986
2022-09-17,28260
2022-09-18,11054
2022-09-19,34110
2022-09-20,41744
2022-09-21,37921
2022-09-22,40565
2022-09-23,40333
2022-09-24,26110
2022-09-25,9625
2022-09-26,39907
2022-09-27,39518
2022-09-28,40094
2022-09-29,40231
2022-09-30,2648
2022-10-01,25706
2022-10-02,9447
2022-10-03,10588
2022-10-04,40971
2022-10-05,41615
2022-10-06,33996
2022-10-07,43170
2022-10-08,28778
2022-10-09,9255
2022-10-10,34875
2022-10-11,35732
2022-10-12,44232
2022-10-13,42345
2022-10-14,42274
2022-10-15,28473
2022-10-16,10812
2022-10-17,41046
2022-10-18,43650
2022-10-19,40242
2022-10-20,36986
2022-10-21,45034
2022-10-22,28589
2022-10-23,10648
2022-10-24,42111
2022-10-25,41729
2022-10-26,43704
2022-10-27,41116
2022-10-28,44037
2022-10-29,28001
2022-10-30,7967
2022-10-31,183
2022-11-01,42318
2022-11-02,44099
2022-11-03,43767
2022-11-04,43804
2022-11-05,30553
2022-11-06,11618
2022-11-07,44041
2022-11-08,46940
2022-11-09,2370
2022-11-10,39511
2022-11-11,44981
2022-11-12,28269
2022-11-13,9574
2022-11-14,42786
2022-11-15,44078
2022-11-16,45241
2022-11-17,43427
2022-11-18,44927
2022-11-19,31547
2022-11-20,11401
2022-11-21,35009
2022-11-22,40601
2022-11-23,43027
2022-11-24,42487
2022-11-25,43582
2022-11-26,28146
2022-11-27,11000
2022-11-28,41500
2022-11-29,42958
2022-11-30,1254
2022-12-01,39527
2022-12-02,40895
2022-12-03,26725
2022-12-04,11438
2022-12-05,41457
2022-12-06,44319
2022-12-07,36728
2022-12-08,6149
2022-12-09,42954
2022-12-10,26639
2022-12-11,10878
2022-12-12,42630
2022-12-13,40123
2022-12-14,42864
2022-12-15,42968
2022-12-16,43845
2022-12-17,28403
2022-12-18,11567
2022-12-19,41603
2022-12-20,42909
2022-12-21,42462
2022-12-22,40698
2022-12-23,40007
2022-12-24,17787
2022-12-25,3511
2022-12-26,35315
2022-12-27,36956
2022-12-28,38604
2022-12-29,39066
2022-12-30,34339
2022-12-31,1151
2023-01-01,3881
2023-01-02,28221
2023-01-03,29517
2023-01-04,34448
2023-01-05,34615
2023-01-06,35183
2023-01-07,23999
2023-01-08,9505
2023-01-09,33193
2023-01-10,34865
2023-01-11,34186
2023-01-12,33012
2023-01-13,28987
2023-01-14,23511
2023-01-15,9408
2023-01-16,34232
2023-01-17,36476
2023-01-18,35558
2023-01-19,35188
2023-01-20,35390
2023-01-21,25347
2023-01-22,9655
2023-01-23,33454
2023-01-24,34777
2023-01-25,34989
2023-01-26,33763
2023-01-27,34129
2023-01-28,24093
2023-01-29,9444
2023-01-30,33999
2023-01-31,1171
2023-02-01,36628
2023-02-02,36771
2023-02-03,36205
2023-02-04,25234
2023-02-05,9736
2023-02-06,35945
2023-02-07,38243
2023-02-08,38677
2023-02-09,36187
2023-02-10,37137
2023-02-11,25931
2023-02-12,10366
2023-02-13,37706
2023-02-14,38225
2023-02-15,37187
2023-02-16,37312
2023-02-17,35996
2023-02-18,24328
2023-02-19,10336
2023-02-20,38969
2023-02-21,39303
2023-02-22,38607
2023-02-23,37483
2023-02-24,38537
2023-02-25,25033
2023-02-26,9297
2023-02-27,10897
2023-02-28,403
2023-03-01,36541
2023-03-02,36518
2023-03-03,40266
2023-03-04,26435
2023-03-05,10039
2023-03-06,40933
2023-03-07,40841
2023-03-08,42325
2023-03-09,40766
2023-03-10,43156
2023-03-11,27707
2023-03-12,9621
2023-03-13,40948
2023-03-14,43769
2023-03-15,40373
2023-03-16,40375
2023-03-17,42683
2023-03-18,26754
2023-03-19,9689
2023-03-20,41860
2023-03-21,43174
2023-03-22,43381
2023-03-23,42614
2023-03-24,42595
2023-03-25,27740
2023-03-26,9457
2023-03-27,39135
2023-03-28,40844
2023-03-29,40711
2023-03-30,36378
2023-03-31,2135
