"fecha","cantidad_viajes"
2022-06-14,38
2022-06-17,45
2022-06-18,97
2022-06-20,54
2022-06-21,169
2022-06-22,179
2022-06-23,233
2022-06-24,51
2022-06-25,113
2022-06-27,66
2022-06-28,129
2022-06-29,67
2022-07-01,138
2022-07-02,171
2022-07-04,116
2022-07-05,83
2022-07-12,115
2022-08-24,34
2022-08-30,46
2022-10-29,25
2022-12-22,62
2023-01-13,41
2023-01-17,103
2023-01-18,2
2023-01-30,46
2023-02-13,67
2023-02-14,1
2023-02-20,121
2023-02-21,131
2023-02-22,110
2023-02-23,7
2023-02-24,49
2023-02-25,68
2023-03-01,65
2023-03-02,85
2023-03-03,128
2023-03-04,27
2023-03-06,85
2023-03-07,33
2023-03-08,60
2023-03-09,15
2023-03-10,66
2023-03-11,22
2023-03-13,13
2023-03-14,80
2023-03-15,34
2023-03-16,70
2023-03-17,44
2023-03-18,22
2023-03-20,37
2023-03-21,91
2023-03-22,26
2023-03-23,74
2023-03-24,66
2023-03-25,24
2023-03-27,47
2023-03-28,46
2023-03-29,43
2023-03-30,20
