"fecha","cantidad_viajes"
2022-01-01,180
2022-01-02,435
2022-01-03,4326
2022-01-04,5150
2022-01-05,5170
2022-01-06,5578
2022-01-07,4780
2022-01-08,3027
2022-01-09,784
2022-01-10,4824
2022-01-11,4949
2022-01-12,4815
2022-01-13,4346
2022-01-14,4606
2022-01-15,3018
2022-01-16,418
2022-01-17,5270
2022-01-18,4786
2022-01-19,4828
2022-01-20,4746
2022-01-21,4526
2022-01-22,3173
2022-01-23,603
2022-01-24,4377
2022-01-25,4492
2022-01-26,5462
2022-01-27,4989
2022-01-28,5453
2022-01-29,3329
2022-01-30,506
2022-01-31,5
2022-02-01,5054
2022-02-02,5652
2022-02-03,5577
2022-02-04,5249
2022-02-05,2727
2022-02-06,1056
2022-02-07,5833
2022-02-08,5593
2022-02-09,5037
2022-02-10,5560
2022-02-11,5554
2022-02-12,3501
2022-02-13,843
2022-02-14,5702
2022-02-15,5460
2022-02-16,5432
2022-02-17,4224
2022-02-18,5761
2022-02-19,4131
2022-02-20,719
2022-02-21,5911
2022-02-22,5575
2022-02-23,5447
2022-02-24,5436
2022-02-25,5647
2022-02-26,3436
2022-02-27,853
2022-02-28,30
2022-03-01,4737
2022-03-02,6110
2022-03-03,5624
2022-03-04,6005
2022-03-05,3865
2022-03-06,827
2022-03-07,5987
2022-03-08,6235
2022-03-09,5830
2022-03-10,5997
2022-03-11,4406
2022-03-12,3735
2022-03-13,547
2022-03-14,5792
2022-03-15,5954
2022-03-16,5598
2022-03-17,5186
2022-03-18,5034
2022-03-19,2556
2022-03-20,506
2022-03-21,5503
2022-03-22,5386
2022-03-23,3410
2022-03-24,5000
2022-03-25,4990
2022-03-26,2369
2022-03-27,669
2022-03-28,3041
2022-03-29,3425
2022-03-30,3063
2022-03-31,117
2022-04-01,3062
2022-04-02,3356
2022-04-03,710
2022-04-04,3434
2022-04-05,2958
2022-04-06,3970
2022-04-07,3643
2022-04-08,3893
2022-04-09,2763
2022-04-10,698
2022-04-11,3034
2022-04-12,3174
2022-04-13,2612
2022-04-14,640
2022-04-15,138
2022-04-16,863
2022-04-17,686
2022-04-18,4036
2022-04-19,4000
2022-04-20,4718
2022-04-21,3795
2022-04-22,4150
2022-04-23,1906
2022-04-24,681
2022-04-25,4160
2022-04-26,3710
2022-04-27,3763
2022-04-28,3844
2022-04-29,3755
2022-04-30,135
2022-05-01,476
2022-05-02,556
2022-05-03,3745
2022-05-04,4470
2022-05-05,4671
2022-05-06,4662
2022-05-07,2805
