"fecha","cantidad_viajes"
2022-01-02,142
2022-01-03,1956
2022-01-04,2877
2022-01-05,3094
2022-01-06,2544
2022-01-07,2364
2022-01-08,1872
2022-01-09,213
2022-01-10,2231
2022-01-11,2404
2022-01-12,2188
2022-01-13,2333
2022-01-14,2063
2022-01-15,1882
2022-01-16,80
2022-01-17,2105
2022-01-18,1974
2022-01-19,1900
2022-01-20,2100
2022-01-21,2356
2022-01-22,1801
2022-01-23,149
2022-01-24,2485
2022-01-25,2156
2022-01-26,2247
2022-01-27,1921
2022-01-28,2374
2022-01-29,1961
2022-01-30,51
2022-02-01,2038
2022-02-02,2227
2022-02-03,2046
2022-02-04,1801
2022-02-05,2234
2022-02-06,116
2022-02-07,2450
2022-02-08,2249
2022-02-09,2276
2022-02-10,2543
2022-02-11,2684
2022-02-12,2095
2022-02-13,451
2022-02-14,2725
2022-02-15,2352
2022-02-16,2451
2022-02-17,2466
2022-02-18,2913
2022-02-19,2087
2022-02-20,145
2022-02-21,2672
2022-02-22,2901
2022-02-23,2852
2022-02-24,3434
2022-02-25,3165
2022-02-26,2180
2022-02-27,211
2022-03-01,2341
2022-03-02,3059
2022-03-03,2859
2022-03-04,2994
2022-03-05,2635
2022-03-06,267
2022-03-07,3638
2022-03-08,3058
2022-03-09,2942
2022-03-10,2935
2022-03-11,2768
2022-03-12,2754
2022-03-13,207
2022-03-14,3404
2022-03-15,3659
2022-03-16,3400
2022-03-17,3108
2022-03-18,3297
2022-03-19,2747
2022-03-20,276
2022-03-21,3216
2022-03-22,3110
2022-03-23,2122
2022-03-24,2789
2022-03-25,3499
2022-03-26,2628
2022-03-27,246
2022-03-28,3061
2022-03-29,3141
2022-03-30,2287
2022-04-01,3447
2022-04-02,2487
2022-04-03,208
2022-04-04,2351
2022-04-05,2607
2022-04-06,2636
2022-04-07,2483
2022-04-08,2268
2022-04-09,1767
2022-04-10,83
2022-04-11,2659
2022-04-12,2648
2022-04-13,2241
2022-04-14,700
2022-04-15,52
2022-04-16,974
2022-04-17,363
2022-04-18,3690
2022-04-19,2995
2022-04-20,2779
2022-04-21,2853
2022-04-22,2727
2022-04-23,2048
2022-04-24,240
2022-04-25,2431
2022-04-26,2245
2022-04-27,2395
2022-04-28,2429
2022-04-29,2218
2022-04-30,1
2022-05-01,110
2022-05-02,1490
2022-05-03,4196
2022-05-04,3167
2022-05-05,3624
2022-05-06,3211
2022-05-07,2312
2022-05-08,194
2022-05-09,2917
2022-05-10,3111
2022-05-11,3120
2022-05-12,3385
2022-05-13,3103
2022-05-14,2027
2022-05-15,658
2022-05-16,3825
2022-05-17,4281
2022-05-18,3771
2022-05-19,3559
2022-05-20,3383
2022-05-21,2877
2022-05-22,672
2022-05-23,3075
2022-05-24,3570
2022-05-25,3850
2022-05-26,2978
2022-05-27,2827
2022-05-28,2665
2022-05-29,366
2022-05-30,4001
2022-06-01,3735
2022-06-02,4153
2022-06-03,3645
2022-06-04,3034
2022-06-05,508
2022-06-06,3420
2022-06-07,3377
2022-06-08,3741
2022-06-09,3539
2022-06-10,3374
2022-06-11,2743
2022-06-12,264
2022-06-13,3138
2022-06-14,3653
2022-06-15,3246
2022-06-16,3674
2022-06-17,3808
2022-06-18,3122
2022-06-19,540
2022-06-20,3394
2022-06-21,3304
2022-06-22,3719
2022-06-23,3577
2022-06-24,3816
2022-06-25,3076
2022-06-26,573
2022-06-27,3610
2022-06-28,3749
2022-06-29,3991
2022-06-30,19
2022-07-01,3272
2022-07-02,2591
2022-07-03,406
2022-07-04,3249
2022-07-05,3517
2022-07-06,3451
2022-07-07,3292
2022-07-08,3263
2022-07-09,2604
2022-07-10,318
2022-07-11,2630
2022-07-12,2800
2022-07-13,3109
2022-07-14,3234
2022-07-15,2802
2022-07-16,2212
2022-07-17,368
2022-07-18,3200
2022-07-19,2762
2022-07-20,3757
2022-07-21,3768
2022-07-22,4042
2022-07-23,3082
2022-07-24,701
2022-07-25,3943
2022-07-26,4150
2022-07-27,3776
2022-07-28,4177
2022-07-29,3761
2022-07-30,2876
2022-08-01,3860
2022-08-02,3897
2022-08-03,3709
2022-08-04,4083
2022-08-05,4039
2022-08-06,2616
2022-08-07,695
2022-08-08,3928
2022-08-09,3369
2022-08-10,3899
2022-08-11,3389
2022-08-12,3436
2022-08-13,2807
2022-08-14,802
2022-08-15,1906
2022-08-16,3782
2022-08-17,4009
2022-08-18,3431
2022-08-19,3657
2022-08-20,2731
2022-08-21,549
2022-08-22,3851
2022-08-23,3380
2022-08-24,3527
2022-08-25,3125
2022-08-26,3198
2022-08-27,2780
2022-08-28,452
2022-08-29,3235
2022-08-30,3559
2022-08-31,40
2022-09-01,4187
2022-09-02,3123
2022-09-03,2669
2022-09-04,615
2022-09-05,3665
2022-09-06,3670
2022-09-07,3233
2022-09-08,3641
2022-09-09,3601
2022-09-10,2369
2022-09-11,473
2022-09-12,3214
2022-09-13,3559
2022-09-14,3764
2022-09-15,4050
2022-09-16,4018
2022-09-17,2534
2022-09-18,239
2022-09-19,2269
2022-09-20,3216
2022-09-21,2676
2022-09-22,3752
2022-09-23,3158
2022-09-24,2424
2022-09-25,278
2022-09-26,3014
2022-09-27,3306
2022-09-28,3523
2022-09-29,3442
2022-09-30,28
2022-10-01,2696
2022-10-02,589
2022-10-03,1779
2022-10-04,3784
2022-10-05,3808
2022-10-06,3058
2022-10-07,3408
2022-10-08,2878
2022-10-09,434
2022-10-10,3272
2022-10-11,3255
2022-10-12,4001
2022-10-13,3709
2022-10-14,3773
2022-10-15,2658
2022-10-16,474
2022-10-17,3756
2022-10-18,4213
2022-10-19,3261
2022-10-20,3198
2022-10-21,4010
2022-10-22,3068
2022-10-23,513
2022-10-24,4149
2022-10-25,3808
2022-10-26,4350
2022-10-27,4214
2022-10-28,3526
2022-10-29,2401
2022-10-30,355
2022-10-31,7
2022-11-01,4001
2022-11-02,3684
2022-11-03,4076
2022-11-04,3873
2022-11-05,3191
2022-11-06,434
2022-11-07,4385
2022-11-08,4519
2022-11-09,33
2022-11-10,3605
2022-11-11,3710
2022-11-12,2507
2022-11-13,298
2022-11-14,3560
2022-11-15,4158
2022-11-16,3487
2022-11-17,5321
2022-11-18,4159
2022-11-19,2861
2022-11-20,572
2022-11-21,2644
2022-11-22,4045
2022-11-23,3962
2022-11-24,4763
2022-11-25,3630
2022-11-26,2855
2022-11-27,537
2022-11-28,3603
2022-11-29,3637
2022-12-01,4691
2022-12-02,3804
2022-12-03,3200
2022-12-04,617
2022-12-05,3594
2022-12-06,3657
2022-12-07,3504
2022-12-08,293
2022-12-09,3272
2022-12-10,2756
2022-12-11,336
2022-12-12,4200
2022-12-13,4176
2022-12-14,4061
2022-12-15,5019
2022-12-16,4050
2022-12-17,3439
2022-12-18,673
2022-12-19,4454
2022-12-20,4067
2022-12-21,4329
2022-12-22,5854
2022-12-23,4452
2022-12-24,2007
2022-12-25,12
2022-12-26,2887
2022-12-27,3504
2022-12-28,4279
2022-12-29,5797
2022-12-30,3213
2023-01-01,14
2023-01-02,2370
2023-01-03,3434
2023-01-04,4022
2023-01-05,5684
2023-01-06,3929
2023-01-07,2640
2023-01-08,616
2023-01-09,3419
2023-01-10,3519
2023-01-11,3862
2023-01-12,4444
2023-01-13,2815
2023-01-14,2605
2023-01-15,570
2023-01-16,3074
2023-01-17,3435
2023-01-18,3499
2023-01-19,5118
2023-01-20,3170
2023-01-21,2298
2023-01-22,357
2023-01-23,2732
2023-01-24,2542
2023-01-25,3042
2023-01-26,4514
