"fecha","cantidad_viajes"
2022-01-03,561
2022-01-04,875
2022-01-05,970
2022-01-06,993
2022-01-07,1009
2022-01-08,751
2022-01-10,951
2022-01-11,859
2022-01-12,878
2022-01-13,859
2022-01-14,584
2022-01-15,592
2022-01-17,826
2022-01-18,815
2022-01-19,1124
2022-01-20,865
2022-01-21,739
2022-01-22,514
2022-01-24,666
2022-01-25,765
2022-01-26,776
2022-01-27,827
2022-01-28,760
2022-01-29,731
2022-02-01,951
2022-02-02,934
2022-02-03,903
2022-02-04,1029
2022-02-05,429
2022-02-07,884
2022-02-08,968
2022-02-09,1040
2022-02-10,939
2022-02-11,1152
2022-02-12,609
2022-02-14,1000
2022-02-15,1038
2022-02-16,1119
2022-02-17,1183
2022-02-18,1230
2022-02-19,678
2022-02-21,1313
2022-02-22,1268
2022-02-23,1241
2022-02-24,1092
2022-02-25,1225
2022-02-26,637
2022-03-01,1223
2022-03-02,1354
2022-03-03,1235
2022-03-04,1373
2022-03-05,597
2022-03-07,1670
2022-03-08,1124
2022-03-09,1340
2022-03-10,1276
2022-03-11,1022
2022-03-12,843
2022-03-14,1342
2022-03-15,1505
2022-03-16,1142
2022-03-17,1144
2022-03-18,1188
2022-03-19,598
2022-03-21,1514
2022-03-22,1306
2022-03-23,1033
2022-03-24,1357
2022-03-25,1296
2022-03-26,1130
2022-03-28,1808
2022-03-29,1370
2022-03-30,1217
2022-04-01,1540
2022-04-02,541
2022-04-04,1049
2022-04-05,1294
2022-04-06,1317
2022-04-07,1264
2022-04-08,1542
2022-04-09,939
2022-04-11,1430
2022-04-12,949
2022-04-13,1336
2022-04-14,346
2022-04-16,179
2022-04-18,1311
2022-04-19,1316
2022-04-20,1203
2022-04-21,1390
2022-04-22,1666
2022-04-23,663
2022-04-25,1480
2022-04-26,1424
2022-04-27,1288
2022-04-28,1326
2022-04-29,1588
2022-05-02,34
2022-05-03,1380
2022-05-04,1533
2022-05-05,1529
2022-05-06,1593
2022-05-07,809
2022-05-09,1832
2022-05-10,1554
2022-05-11,1442
2022-05-12,1617
2022-05-13,1585
2022-05-14,637
2022-05-16,1559
2022-05-17,1015
2022-05-18,1355
2022-05-19,1456
2022-05-20,1419
2022-05-21,526
2022-05-23,1454
2022-05-24,1281
2022-05-25,1337
2022-05-26,1056
2022-05-27,1167
2022-05-28,767
2022-05-30,1410
2022-06-01,1356
2022-06-02,1366
2022-06-03,1466
2022-06-04,721
2022-06-06,1555
2022-06-07,1448
2022-06-08,1431
2022-06-09,1048
2022-06-10,1251
2022-06-11,860
2022-06-13,1029
2022-06-14,1578
2022-06-15,1633
2022-06-16,1529
2022-06-17,1402
2022-06-18,698
2022-06-20,1380
2022-06-21,1080
2022-06-22,997
2022-06-23,1270
2022-06-24,1483
2022-06-25,654
2022-06-27,1530
2022-06-28,1519
2022-06-29,1264
2022-07-01,1397
2022-07-02,504
2022-07-04,1458
2022-07-05,1072
2022-07-06,1373
2022-07-07,1471
2022-07-08,1279
2022-07-09,689
2022-07-11,1389
2022-07-12,1469
2022-07-13,1155
2022-07-14,1172
2022-07-15,1340
2022-07-16,437
2022-07-18,998
2022-07-19,1290
2022-07-20,1082
2022-07-21,1164
2022-07-22,1253
2022-07-23,683
2022-07-25,1366
2022-07-26,1018
2022-07-27,929
2022-07-28,1200
2022-07-29,1195
2022-07-30,219
2022-08-01,1249
2022-08-02,1348
2022-08-03,1307
2022-08-04,1136
2022-08-05,1248
2022-08-06,567
2022-08-08,1485
2022-08-09,1325
2022-08-10,1193
2022-08-11,1045
2022-08-12,1191
2022-08-13,358
2022-08-15,231
2022-08-16,971
2022-08-17,996
2022-08-18,1015
2022-08-19,1259
2022-08-20,334
2022-08-22,1036
2022-08-23,1119
2022-08-24,841
