"fecha","cantidad_viajes"
2022-01-01,2031
2022-01-02,5387
2022-01-03,12399
2022-01-04,15509
2022-01-05,15318
2022-01-06,16222
2022-01-07,16176
2022-01-08,12927
2022-01-09,5573
2022-01-10,14643
2022-01-11,15273
2022-01-12,15566
2022-01-13,14654
2022-01-14,14571
2022-01-15,12008
2022-01-16,5247
2022-01-17,15406
2022-01-18,14709
2022-01-19,15848
2022-01-20,15160
2022-01-21,15961
2022-01-22,13326
2022-01-23,5749
2022-01-24,16181
2022-01-25,15239
2022-01-26,14419
2022-01-27,12438
2022-01-28,14247
2022-01-29,12745
2022-01-30,6278
2022-01-31,29
2022-02-01,14669
2022-02-02,15829
2022-02-03,14888
2022-02-04,14680
2022-02-05,11606
2022-02-06,5499
2022-02-07,16254
2022-02-08,15676
2022-02-09,15250
2022-02-10,15928
2022-02-11,17580
2022-02-12,13258
2022-02-13,5955
2022-02-14,15542
2022-02-15,17067
2022-02-16,16739
2022-02-17,17326
2022-02-18,17908
2022-02-19,14360
2022-02-20,6184
2022-02-21,17012
2022-02-22,17688
2022-02-23,17954
2022-02-24,18237
2022-02-25,18787
2022-02-26,15215
2022-02-27,6157
2022-03-01,16148
2022-03-02,18491
2022-03-03,18792
2022-03-04,18652
2022-03-05,14987
2022-03-06,7330
2022-03-07,18479
2022-03-08,17829
2022-03-09,19425
2022-03-10,21216
2022-03-11,18501
2022-03-12,17980
2022-03-13,8564
2022-03-14,20975
2022-03-15,21120
2022-03-16,22662
2022-03-17,22401
2022-03-18,22730
2022-03-19,18319
2022-03-20,8432
2022-03-21,22500
2022-03-22,21783
2022-03-23,16936
2022-03-24,21123
2022-03-25,21633
2022-03-26,18208
2022-03-27,8668
2022-03-28,20941
2022-03-29,21761
2022-03-30,20141
2022-03-31,806
2022-04-01,21466
2022-04-02,19890
2022-04-03,10039
2022-04-04,18673
2022-04-05,19389
2022-04-06,23126
2022-04-07,22582
2022-04-08,23051
2022-04-09,21323
2022-04-10,9957
2022-04-11,20963
2022-04-12,22343
2022-04-13,21160
2022-04-14,10734
2022-04-15,1662
2022-04-16,9590
2022-04-17,7897
2022-04-18,21894
2022-04-19,22643
