"fecha","cantidad_viajes"
2022-01-01,861
2022-01-02,2599
2022-01-03,8588
2022-01-04,9354
2022-01-05,10342
2022-01-06,8699
2022-01-07,8834
2022-01-08,7163
2022-01-09,3551
2022-01-10,10065
2022-01-11,8708
2022-01-12,8927
2022-01-13,8516
2022-01-14,8470
2022-01-15,6816
2022-01-16,2729
2022-01-17,8535
2022-01-18,8773
2022-01-19,8901
2022-01-20,8791
2022-01-21,8595
2022-01-22,6218
2022-01-23,3018
2022-01-24,9200
2022-01-25,8525
2022-01-26,8423
2022-01-27,7973
2022-01-28,8669
2022-01-29,7035
2022-01-30,3158
2022-01-31,101
2022-02-01,9229
2022-02-02,9563
2022-02-03,8844
2022-02-04,9218
2022-02-05,6599
2022-02-06,4021
2022-02-07,10409
2022-02-08,9766
2022-02-09,9316
2022-02-10,9737
2022-02-11,10709
2022-02-12,8368
2022-02-13,3493
2022-02-14,10955
2022-02-15,10077
2022-02-16,11017
2022-02-17,10337
2022-02-18,10645
2022-02-19,7868
2022-02-20,3982
2022-02-21,10884
2022-02-22,10679
2022-02-23,11119
2022-02-24,11185
2022-02-25,11259
2022-02-26,8773
2022-02-27,4263
2022-02-28,98
2022-03-01,9177
2022-03-02,11611
2022-03-03,10511
2022-03-04,11327
2022-03-05,8452
2022-03-06,3949
2022-03-07,11325
2022-03-08,12098
2022-03-09,11664
2022-03-10,11398
2022-03-11,8984
2022-03-12,8801
2022-03-13,4161
2022-03-14,11701
2022-03-15,11721
2022-03-16,11456
2022-03-17,10627
2022-03-18,11474
2022-03-19,8625
2022-03-20,3789
2022-03-21,11230
2022-03-22,10457
2022-03-23,7052
2022-03-24,10537
2022-03-25,10660
2022-03-26,9159
2022-03-27,3628
2022-03-28,11139
2022-03-29,10784
2022-03-30,8627
2022-03-31,421
2022-04-01,11701
2022-04-02,9644
2022-04-03,4055
2022-04-04,8678
2022-04-05,10003
2022-04-06,10591
2022-04-07,11192
2022-04-08,11420
2022-04-09,9740
2022-04-10,4010
2022-04-11,10143
2022-04-12,10851
2022-04-13,9653
2022-04-14,3460
2022-04-15,136
2022-04-16,5198
2022-04-17,3340
2022-04-18,11985
2022-04-19,12725
2022-04-20,11597
2022-04-21,10875
2022-04-22,12378
2022-04-23,9459
2022-04-24,4329
2022-04-25,12094
2022-04-26,12477
2022-04-27,11436
2022-04-28,12277
2022-04-29,11321
2022-04-30,519
2022-05-01,3381
2022-05-02,4066
2022-05-03,11106
2022-05-04,12689
2022-05-05,12341
2022-05-06,12623
2022-05-07,11131
2022-05-08,4056
2022-05-09,12087
2022-05-10,12724
2022-05-11,11820
2022-05-12,12599
2022-05-13,12869
2022-05-14,5657
2022-05-15,4007
2022-05-16,11962
2022-05-17,12203
2022-05-18,12364
2022-05-19,11705
2022-05-20,12011
2022-05-21,10077
2022-05-22,4138
2022-05-23,11619
2022-05-24,10887
2022-05-25,11350
2022-05-26,10454
2022-05-27,10810
2022-05-28,9568
2022-05-29,3374
2022-05-30,11303
2022-05-31,435
2022-06-01,11307
2022-06-02,11541
2022-06-03,12173
2022-06-04,10875
2022-06-05,4634
2022-06-06,12163
2022-06-07,11992
2022-06-08,11954
2022-06-09,11999
2022-06-10,12349
2022-06-11,9538
2022-06-12,3714
2022-06-13,11219
2022-06-14,11890
2022-06-15,12167
2022-06-16,11779
2022-06-17,11288
2022-06-18,9910
2022-06-19,4701
2022-06-20,11800
2022-06-21,12967
2022-06-22,12086
2022-06-23,11255
2022-06-24,12222
2022-06-25,8876
2022-06-26,3664
2022-06-27,11933
2022-06-28,12483
2022-06-29,12077
2022-06-30,567
2022-07-01,12511
2022-07-02,11506
2022-07-03,4864
2022-07-04,12223
2022-07-05,13286
2022-07-06,13534
2022-07-07,12542
2022-07-08,12921
2022-07-09,10843
2022-07-10,4347
2022-07-11,11740
2022-07-12,10559
2022-07-13,11715
2022-07-14,11682
2022-07-15,12448
2022-07-16,9069
2022-07-17,4236
2022-07-18,12114
2022-07-19,11795
2022-07-20,11613
2022-07-21,11798
2022-07-22,13080
2022-07-23,10225
2022-07-24,4586
2022-07-25,12372
2022-07-26,11954
2022-07-27,12239
2022-07-28,12549
2022-07-29,11478
2022-07-30,10129
2022-07-31,281
2022-08-01,12684
2022-08-02,12758
2022-08-03,13630
2022-08-04,12375
2022-08-05,13449
2022-08-06,8383
2022-08-07,4474
2022-08-08,13195
2022-08-09,12591
2022-08-10,12753
2022-08-11,13006
2022-08-12,13798
2022-08-13,11630
2022-08-14,4887
2022-08-15,4961
2022-08-16,13363
2022-08-17,13202
2022-08-18,12388
2022-08-19,13431
2022-08-20,10525
2022-08-21,4585
2022-08-22,11892
2022-08-23,12766
2022-08-24,12913
2022-08-25,13104
2022-08-26,13441
2022-08-27,10061
2022-08-28,4086
2022-08-29,11739
2022-08-30,12578
2022-08-31,560
2022-09-01,11359
2022-09-02,12026
2022-09-03,10028
2022-09-04,4326
2022-09-05,12472
2022-09-06,13478
2022-09-07,12786
2022-09-08,13165
2022-09-09,13143
2022-09-10,9623
2022-09-11,3904
2022-09-12,11372
2022-09-13,12618
2022-09-14,13252
2022-09-15,13009
2022-09-16,13361
2022-09-17,10700
2022-09-18,4097
2022-09-19,11147
2022-09-20,13693
2022-09-21,12324
2022-09-22,12701
2022-09-23,13645
2022-09-24,11265
2022-09-25,3625
2022-09-26,13146
2022-09-27,12901
2022-09-28,12753
2022-09-29,12688
2022-09-30,685
2022-10-01,9608
2022-10-02,4235
2022-10-03,4214
2022-10-04,13381
2022-10-05,13021
2022-10-06,9055
2022-10-07,11970
2022-10-08,9799
2022-10-09,3672
2022-10-10,10578
2022-10-11,10924
2022-10-12,13591
2022-10-13,13030
2022-10-14,13738
2022-10-15,10934
2022-10-16,4731
2022-10-17,13006
2022-10-18,13004
2022-10-19,12138
2022-10-20,10559
2022-10-21,11720
2022-10-22,10432
2022-10-23,4861
2022-10-24,13221
2022-10-25,13822
2022-10-26,12384
2022-10-27,11331
2022-10-28,13516
2022-10-29,9628
2022-10-30,4038
2022-10-31,203
2022-11-01,12591
2022-11-02,13665
2022-11-03,13370
2022-11-04,12931
2022-11-05,10323
2022-11-06,4131
2022-11-07,13679
2022-11-08,14860
2022-11-09,522
2022-11-10,11897
2022-11-11,14107
2022-11-12,9748
2022-11-13,4228
2022-11-14,13716
2022-11-15,13415
2022-11-16,12718
2022-11-17,14008
2022-11-18,13605
2022-11-19,11084
