"fecha","cantidad_viajes"
2022-01-01,948
2022-01-02,3140
2022-01-03,6119
2022-01-04,7583
2022-01-05,7195
2022-01-06,6825
2022-01-07,7815
2022-01-08,6006
2022-01-09,3649
2022-01-10,6837
2022-01-11,7166
2022-01-12,6199
2022-01-13,6577
2022-01-14,6724
2022-01-15,5537
2022-01-16,3630
2022-01-17,6137
2022-01-18,6495
2022-01-19,5783
2022-01-20,7111
2022-01-21,6593
2022-01-22,5590
2022-01-23,3663
2022-01-24,6128
2022-01-25,6497
2022-01-26,5627
2022-01-27,5642
2022-01-28,7422
2022-01-29,5924
2022-01-30,3715
2022-01-31,415
2022-02-01,6708
2022-02-02,7240
2022-02-03,6404
2022-02-04,6626
2022-02-05,6059
2022-02-06,4679
2022-02-07,6892
2022-02-08,6812
2022-02-09,6739
2022-02-10,7420
2022-02-11,7482
2022-02-12,6321
2022-02-13,4258
2022-02-14,7582
2022-02-15,8041
2022-02-16,6453
2022-02-17,7631
2022-02-18,7512
2022-02-19,6507
2022-02-20,4810
2022-02-21,7255
2022-02-22,7643
2022-02-23,7914
2022-02-24,7682
2022-02-25,8413
2022-02-26,6827
2022-02-27,3944
2022-02-28,348
2022-03-01,7216
2022-03-02,7756
2022-03-03,8444
2022-03-04,8205
2022-03-05,6833
2022-03-06,4426
2022-03-07,7763
2022-03-08,8022
2022-03-09,8796
2022-03-10,8053
2022-03-11,7855
2022-03-12,7152
2022-03-13,4626
2022-03-14,7864
2022-03-15,8439
2022-03-16,7837
2022-03-17,8299
2022-03-18,7934
2022-03-19,6275
2022-03-20,4525
2022-03-21,7590
2022-03-22,7686
2022-03-23,5639
2022-03-24,7729
2022-03-25,7883
2022-03-26,6268
2022-03-27,4055
2022-03-28,7444
2022-03-29,7931
2022-03-30,7475
2022-03-31,590
2022-04-01,7501
2022-04-02,6258
2022-04-03,5049
2022-04-04,6919
2022-04-05,7166
2022-04-06,7745
2022-04-07,8247
2022-04-08,8497
2022-04-09,6578
2022-04-10,4590
2022-04-11,7442
2022-04-12,8094
2022-04-13,7693
2022-04-14,4214
2022-04-15,2057
2022-04-16,4385
2022-04-17,4849
2022-04-18,8165
2022-04-19,9069
2022-04-20,8735
2022-04-21,7736
2022-04-22,8174
2022-04-23,6445
2022-04-24,5173
2022-04-25,7755
2022-04-26,8250
2022-04-27,8033
2022-04-28,8145
2022-04-29,7802
2022-04-30,902
2022-05-01,111
2022-05-02,3299
2022-05-03,7367
2022-05-04,9025
2022-05-05,8471
2022-05-06,8310
2022-05-07,7054
2022-05-08,4263
