"fecha","cantidad_viajes"
2022-01-02,164
2022-01-03,1040
2022-01-04,1904
2022-01-05,1315
2022-01-06,1622
2022-01-07,1838
2022-01-08,1204
2022-01-09,223
2022-01-10,2114
2022-01-11,1540
2022-01-12,1530
2022-01-13,1634
2022-01-14,1283
2022-01-15,1777
2022-01-16,285
2022-01-17,1762
2022-01-18,1407
2022-01-19,1710
2022-01-20,1554
2022-01-21,1595
2022-01-22,1335
2022-01-23,198
2022-01-24,1450
2022-01-25,1563
2022-01-26,1459
2022-01-27,1353
2022-01-28,1381
2022-01-29,1026
2022-01-30,172
2022-02-01,1564
2022-02-02,1519
2022-02-03,1521
2022-02-04,1505
2022-02-05,1168
2022-02-06,202
2022-02-07,1511
2022-02-08,1780
2022-02-09,1857
2022-02-10,1919
2022-02-11,2090
2022-02-12,1663
2022-02-13,358
2022-02-14,1293
2022-02-15,1290
2022-02-16,1931
2022-02-17,1899
2022-02-18,1802
2022-02-19,1603
2022-02-20,128
2022-02-21,1850
2022-02-22,1657
2022-02-23,1914
2022-02-24,1751
2022-02-25,1780
2022-02-26,1344
2022-02-27,111
2022-03-01,1204
2022-03-02,1763
2022-03-03,2215
2022-03-04,1894
2022-03-05,1308
2022-03-06,146
2022-03-07,1551
2022-03-08,1793
2022-03-09,1891
2022-03-10,1693
2022-03-11,1654
2022-03-12,1363
2022-03-13,313
2022-03-14,1541
2022-03-15,1712
2022-03-16,1862
2022-03-17,1547
2022-03-18,1536
2022-03-19,1291
2022-03-20,282
2022-03-21,1684
2022-03-22,1613
2022-03-23,1016
2022-03-24,1126
2022-03-25,1413
2022-03-26,1042
2022-03-27,104
2022-03-28,832
2022-03-29,1253
2022-03-30,1300
2022-03-31,3
2022-04-01,1386
2022-04-02,1338
2022-04-03,316
2022-04-04,1281
2022-04-05,1197
2022-04-06,1184
2022-04-07,1219
2022-04-08,1445
2022-04-09,1162
2022-04-10,410
2022-04-11,879
2022-04-12,909
2022-04-13,811
2022-04-14,55
2022-04-16,378
2022-04-17,385
2022-04-18,1598
2022-04-19,1297
2022-04-20,1332
2022-04-21,1166
2022-04-22,1267
2022-04-23,850
2022-04-24,207
2022-04-25,1456
2022-04-26,1354
2022-04-27,1447
2022-04-28,788
2022-04-29,1299
2022-04-30,5
2022-05-01,79
2022-05-02,180
2022-05-03,1183
2022-05-04,1578
2022-05-05,1704
2022-05-06,1746
2022-05-07,1211
2022-05-08,183
2022-05-09,2207
2022-05-10,1956
2022-05-11,2843
2022-05-12,2538
2022-05-13,2089
2022-05-14,416
2022-05-15,201
2022-05-16,2067
2022-05-17,1846
2022-05-18,1860
2022-05-19,1828
2022-05-20,1637
2022-05-21,1339
2022-05-22,505
2022-05-23,2196
2022-05-24,1914
2022-05-25,2054
2022-05-26,1333
2022-05-27,1270
2022-05-28,1053
2022-05-29,278
2022-05-30,1744
2022-05-31,28
2022-06-01,2200
2022-06-02,2046
2022-06-03,2364
2022-06-04,1849
2022-06-05,528
2022-06-06,2053
2022-06-07,2356
2022-06-08,2079
2022-06-09,1927
2022-06-10,1695
2022-06-11,1518
2022-06-12,449
2022-06-13,2248
2022-06-14,2123
2022-06-15,2344
2022-06-16,2044
2022-06-17,2351
2022-06-18,1443
2022-06-19,399
2022-06-20,1496
2022-06-21,1814
2022-06-22,2203
2022-06-23,1910
2022-06-24,2364
2022-06-25,1456
2022-06-26,396
2022-06-27,2517
2022-06-28,2086
2022-06-29,1676
2022-06-30,38
2022-07-01,2066
2022-07-02,1326
2022-07-03,176
2022-07-04,2241
2022-07-05,2067
2022-07-06,1846
2022-07-07,1936
2022-07-08,2125
2022-07-09,1649
2022-07-10,196
2022-07-11,1549
2022-07-12,1807
2022-07-13,1820
2022-07-14,1640
2022-07-15,2088
2022-07-16,1139
2022-07-17,335
2022-07-18,1731
2022-07-19,1596
2022-07-20,1894
2022-07-21,1874
2022-07-22,1708
2022-07-23,796
2022-07-24,285
2022-07-25,1420
2022-07-26,1966
2022-07-27,2737
2022-07-28,2297
2022-07-29,2018
2022-07-30,1256
2022-07-31,17
2022-08-01,2004
2022-08-02,2138
2022-08-03,2182
2022-08-04,1681
2022-08-05,2205
2022-08-06,927
2022-08-07,190
2022-08-08,2114
2022-08-09,1954
2022-08-10,1975
2022-08-11,2077
2022-08-12,1344
2022-08-13,1558
2022-08-14,362
2022-08-15,522
2022-08-16,1814
2022-08-17,2240
2022-08-18,2239
2022-08-19,1903
2022-08-20,1582
2022-08-21,483
2022-08-22,1365
2022-08-23,1918
2022-08-24,2389
2022-08-25,1587
2022-08-26,2228
2022-08-27,1795
2022-08-28,491
2022-08-29,1600
2022-08-30,1930
2022-08-31,29
2022-09-01,1123
2022-09-02,1500
2022-09-03,1331
2022-09-04,536
2022-09-05,1967
2022-09-06,1639
2022-09-07,2197
2022-09-08,1834
2022-09-09,1203
2022-09-10,1250
2022-09-11,464
2022-09-12,1708
2022-09-13,1338
2022-09-14,1391
2022-09-15,1277
2022-09-16,1600
2022-09-17,1260
2022-09-18,179
2022-09-19,1063
2022-09-20,1554
2022-09-21,1417
2022-09-22,1505
2022-09-23,1429
2022-09-24,939
2022-09-25,224
2022-09-26,1421
2022-09-27,1732
2022-09-28,1716
2022-09-29,1481
2022-09-30,38
2022-10-01,1292
2022-10-02,500
2022-10-03,475
2022-10-04,1381
2022-10-05,1198
2022-10-06,856
2022-10-07,1641
2022-10-08,1203
2022-10-09,272
2022-10-10,1092
2022-10-11,1272
2022-10-12,1203
2022-10-13,1317
2022-10-14,1643
2022-10-15,926
2022-10-16,246
2022-10-17,1284
2022-10-18,1409
2022-10-19,1376
2022-10-20,1137
2022-10-21,1496
2022-10-22,1514
2022-10-23,417
2022-10-24,1539
2022-10-25,1290
2022-10-26,1010
2022-10-27,1033
2022-10-28,1364
2022-10-29,1111
2022-10-30,238
2022-10-31,4
2022-11-01,1484
2022-11-02,1254
2022-11-03,1314
2022-11-04,1638
2022-11-05,1827
2022-11-06,491
2022-11-07,1597
2022-11-08,1157
2022-11-09,38
2022-11-10,1233
2022-11-11,1084
2022-11-12,1058
2022-11-13,307
2022-11-14,1230
2022-11-15,1486
2022-11-16,1444
2022-11-17,1503
2022-11-18,1239
2022-11-19,442
2022-11-20,78
2022-11-21,404
2022-11-22,617
2022-11-23,745
2022-11-24,827
2022-11-25,693
2022-11-26,408
2022-11-28,696
2022-11-29,713
2022-11-30,8
2022-12-01,619
2022-12-02,925
2022-12-03,586
2022-12-04,201
2022-12-05,569
2022-12-06,506
2022-12-07,770
2022-12-09,645
2022-12-10,260
2022-12-11,168
2022-12-12,621
2022-12-13,769
2022-12-14,977
2022-12-15,847
2022-12-16,1148
2022-12-17,863
2022-12-18,225
2022-12-19,885
2022-12-20,510
2022-12-21,676
2022-12-22,861
2022-12-23,944
2022-12-24,450
2022-12-26,672
2022-12-27,687
2022-12-28,775
2022-12-29,609
2022-12-30,812
2023-01-02,562
2023-01-03,567
2023-01-04,1304
2023-01-05,1448
2023-01-06,1396
2023-01-07,1134
2023-01-08,36
2023-01-09,721
2023-01-10,1018
2023-01-11,1043
2023-01-12,799
2023-01-13,664
2023-01-14,816
2023-01-15,254
2023-01-16,1495
2023-01-17,1783
2023-01-18,1506
2023-01-19,1411
2023-01-20,1699
2023-01-21,1172
2023-01-22,346
2023-01-23,1430
2023-01-24,1804
2023-01-25,1426
2023-01-26,737
2023-01-27,1015
2023-01-28,799
2023-01-29,431
2023-01-30,1211
2023-02-01,2100
2023-02-02,2100
2023-02-03,2201
2023-02-04,1913
2023-02-05,456
2023-02-06,2057
2023-02-07,2219
2023-02-08,2377
2023-02-09,2299
2023-02-10,1986
2023-02-11,1736
2023-02-12,145
2023-02-13,1829
2023-02-14,2593
2023-02-15,2337
2023-02-16,2158
2023-02-17,2334
2023-02-18,2505
2023-02-19,552
2023-02-20,3103
2023-02-21,2504
2023-02-22,2742
2023-02-23,2701
2023-02-24,3013
2023-02-25,2092
2023-02-26,562
2023-02-27,262
2023-03-01,2936
2023-03-02,2478
2023-03-03,3190
2023-03-04,2337
2023-03-05,33
2023-03-06,3158
2023-03-07,3253
2023-03-08,3189
2023-03-09,2791
2023-03-10,3661
2023-03-11,2836
2023-03-12,544
2023-03-13,3695
2023-03-14,3072
2023-03-15,3575
2023-03-16,3658
2023-03-17,3403
2023-03-18,2699
2023-03-19,1155
2023-03-20,3413
2023-03-21,4356
2023-03-22,4275
2023-03-23,3727
2023-03-24,3596
2023-03-25,2935
2023-03-26,923
2023-03-27,3085
2023-03-28,4100
2023-03-29,3887
2023-03-30,2820
2023-03-31,26
