"fecha","cantidad_viajes"
2022-01-03,1482
2022-01-04,1397
2022-01-05,1417
2022-01-06,1602
2022-01-07,1825
2022-01-08,1101
2022-01-09,337
2022-01-10,2119
2022-01-11,1792
2022-01-12,1607
2022-01-13,1602
2022-01-14,1694
2022-01-15,958
2022-01-16,226
2022-01-17,1821
2022-01-18,1734
2022-01-19,1822
2022-01-20,1943
2022-01-21,1763
2022-01-22,940
2022-01-23,396
2022-01-24,1933
2022-01-25,1943
2022-01-26,1940
2022-01-27,1784
2022-01-28,1870
2022-01-29,1419
2022-01-30,312
2022-01-31,9
2022-02-01,2362
2022-02-02,2197
2022-02-03,2046
2022-02-04,2052
2022-02-05,907
2022-02-06,492
2022-02-07,1902
2022-02-08,1961
2022-02-09,2186
2022-02-10,2239
2022-02-11,2187
2022-02-12,797
2022-02-13,284
2022-02-14,1860
2022-02-15,2439
2022-02-16,2368
2022-02-17,2369
2022-02-18,2712
2022-02-19,1422
2022-02-20,189
2022-02-21,2098
2022-02-22,2355
2022-02-23,2183
2022-02-24,2748
2022-02-25,2542
2022-02-26,1546
2022-02-27,485
2022-03-01,2578
2022-03-02,2680
2022-03-03,2530
2022-03-04,2325
2022-03-05,1728
2022-03-06,205
2022-03-07,2601
2022-03-08,2272
2022-03-09,2546
2022-03-10,2276
2022-03-11,1620
2022-03-12,1470
2022-03-13,212
2022-03-14,2176
2022-03-15,2277
2022-03-16,2330
2022-03-17,2001
2022-03-18,1821
2022-03-19,1325
2022-03-20,435
2022-03-21,1712
2022-03-22,1849
2022-03-23,1631
2022-03-24,2272
2022-03-25,2286
2022-03-26,1341
2022-03-27,245
2022-03-28,1789
2022-03-29,2142
2022-03-30,1651
2022-03-31,26
2022-04-01,1896
2022-04-02,1455
2022-04-03,323
2022-04-04,1908
2022-04-05,1806
2022-04-06,2569
2022-04-07,2092
2022-04-08,2209
2022-04-09,1294
2022-04-10,360
2022-04-11,1450
2022-04-12,2023
2022-04-13,740
2022-04-14,172
2022-04-16,208
2022-04-17,256
2022-04-18,2137
2022-04-19,2072
2022-04-20,2221
2022-04-21,1994
2022-04-22,2178
2022-04-23,1643
2022-04-24,411
2022-04-25,1580
2022-04-26,1798
2022-04-27,1950
2022-04-28,2275
2022-04-29,1724
2022-04-30,14
2022-05-01,455
2022-05-02,260
2022-05-03,3508
2022-05-04,2097
2022-05-05,2276
2022-05-06,2211
2022-05-07,1424
2022-05-08,254
2022-05-09,2173
2022-05-10,1848
2022-05-11,1979
2022-05-12,1646
2022-05-13,2129
2022-05-14,575
2022-05-15,405
2022-05-16,2269
2022-05-17,1793
2022-05-18,1985
2022-05-19,1875
2022-05-20,1670
2022-05-21,1347
2022-05-22,334
2022-05-23,2049
2022-05-24,2356
2022-05-25,2292
2022-05-26,1938
2022-05-27,1961
2022-05-28,1466
2022-05-29,430
2022-05-30,2297
2022-05-31,43
2022-06-01,2023
2022-06-02,2103
2022-06-03,2232
2022-06-04,1130
2022-06-05,436
2022-06-06,1931
2022-06-07,1774
2022-06-08,2398
2022-06-09,2337
2022-06-10,2009
2022-06-11,1488
2022-06-12,462
2022-06-13,1929
2022-06-14,2314
2022-06-15,1788
2022-06-16,2149
2022-06-17,2273
2022-06-18,1452
2022-06-19,508
2022-06-20,2138
2022-06-21,2257
2022-06-22,2140
2022-06-23,1710
2022-06-24,1936
2022-06-25,1590
2022-06-26,383
2022-06-27,1865
2022-06-28,1718
2022-06-29,1965
2022-06-30,14
2022-07-01,2394
2022-07-02,1292
2022-07-03,332
2022-07-04,2080
2022-07-05,2252
2022-07-06,2104
2022-07-07,2568
2022-07-08,2217
2022-07-09,1366
2022-07-10,380
2022-07-11,2122
2022-07-12,2117
2022-07-13,2081
2022-07-14,1771
2022-07-15,2235
2022-07-16,1068
2022-07-17,496
2022-07-18,1873
2022-07-19,1829
2022-07-20,2219
2022-07-21,2067
2022-07-22,2272
2022-07-23,1410
2022-07-24,362
2022-07-25,2168
2022-07-26,2710
2022-07-27,2228
2022-07-28,2328
2022-07-29,2819
2022-07-30,1239
2022-07-31,35
2022-08-01,2467
2022-08-02,2611
2022-08-03,2414
2022-08-04,2486
2022-08-05,2752
2022-08-06,1070
2022-08-07,456
2022-08-08,2738
2022-08-09,2549
2022-08-10,2572
2022-08-11,2484
2022-08-12,2498
2022-08-13,1244
2022-08-14,360
2022-08-15,221
2022-08-16,1991
2022-08-17,2466
2022-08-18,1893
2022-08-19,2524
2022-08-20,1096
2022-08-21,303
2022-08-22,2294
2022-08-23,2679
2022-08-24,2645
2022-08-25,2748
2022-08-26,2811
2022-08-27,1697
2022-08-28,401
2022-08-29,2063
2022-08-30,2615
2022-08-31,83
2022-09-01,2391
2022-09-02,2184
2022-09-03,1286
2022-09-04,388
2022-09-05,2582
2022-09-06,2880
2022-09-07,3431
2022-09-08,3583
2022-09-09,3385
2022-09-10,1843
2022-09-11,711
2022-09-12,3118
2022-09-13,3666
2022-09-14,3585
2022-09-15,3390
2022-09-16,3071
2022-09-17,1610
2022-09-18,563
2022-09-19,2122
2022-09-20,3469
2022-09-21,2700
2022-09-22,2500
2022-09-23,2594
2022-09-24,1955
2022-09-25,474
2022-09-26,1859
2022-09-27,2009
2022-09-28,1885
2022-09-29,2052
2022-09-30,49
2022-10-01,1621
2022-10-02,516
2022-10-03,561
2022-10-04,2265
2022-10-05,1934
2022-10-06,1422
2022-10-07,2059
2022-10-08,813
2022-10-09,155
2022-10-10,1498
2022-10-11,2095
2022-10-12,1854
2022-10-13,1566
2022-10-14,2309
2022-10-15,1406
2022-10-16,591
2022-10-17,2052
2022-10-18,1947
2022-10-19,1721
2022-10-20,1599
2022-10-21,2073
2022-10-22,1518
2022-10-23,387
2022-10-24,2077
2022-10-25,1987
2022-10-26,1923
2022-10-27,1895
2022-10-28,2309
2022-10-29,1364
2022-10-30,759
2022-11-01,2052
2022-11-02,2093
2022-11-03,1999
2022-11-04,2024
2022-11-05,1231
2022-11-06,342
2022-11-07,2005
2022-11-08,1728
2022-11-09,74
2022-11-10,1614
2022-11-11,1861
2022-11-12,861
2022-11-13,318
2022-11-14,1572
2022-11-15,1548
2022-11-16,1767
2022-11-17,1464
2022-11-18,1301
2022-11-19,731
2022-11-20,169
2022-11-21,1222
2022-11-22,1064
2022-11-23,1551
2022-11-24,1468
2022-11-25,1219
2022-11-26,810
2022-11-27,211
2022-11-28,1206
2022-11-29,1239
2022-11-30,2
2022-12-01,1447
2022-12-02,1132
2022-12-03,806
2022-12-04,162
2022-12-05,1363
2022-12-06,1618
2022-12-07,935
2022-12-08,72
2022-12-09,1521
2022-12-10,758
2022-12-11,176
2022-12-12,1381
2022-12-13,1308
2022-12-14,1294
2022-12-15,1146
2022-12-16,1152
2022-12-17,580
2022-12-18,314
2022-12-19,884
2022-12-20,1252
2022-12-21,740
2022-12-22,818
2022-12-23,786
2022-12-24,778
2022-12-25,89
2022-12-26,646
2022-12-27,828
2022-12-28,799
2022-12-29,1054
2022-12-30,867
2022-12-31,1
2023-01-01,12
2023-01-02,512
2023-01-03,317
2023-01-04,537
2023-01-05,481
2023-01-06,702
2023-01-07,349
2023-01-08,98
2023-01-09,833
2023-01-10,659
2023-01-11,920
2023-01-12,629
2023-01-13,474
2023-01-14,154
2023-01-15,121
2023-01-16,344
2023-01-17,724
2023-01-18,423
2023-01-19,502
2023-01-20,641
2023-01-21,288
2023-01-22,116
2023-01-23,328
2023-01-24,439
2023-01-25,407
2023-01-26,454
2023-01-27,248
2023-01-28,225
2023-01-29,88
2023-01-30,305
2023-01-31,2
2023-02-01,335
2023-02-02,177
2023-02-03,291
2023-02-05,105
2023-02-06,311
2023-02-07,183
2023-02-08,16
2023-02-10,307
2023-02-11,358
2023-02-12,299
2023-02-13,191
2023-02-14,310
2023-02-15,243
2023-02-16,428
2023-02-17,156
2023-02-18,231
2023-02-19,66
2023-02-20,734
2023-02-21,127
2023-02-23,149
2023-03-03,1
2023-03-06,453
2023-03-07,474
2023-03-09,62
2023-03-11,50
2023-03-13,200
2023-03-14,250
2023-03-15,21
2023-03-16,103
2023-03-17,251
2023-03-18,205
2023-03-19,20
2023-03-20,479
2023-03-21,314
2023-03-22,689
2023-03-23,561
2023-03-24,138
2023-03-27,465
2023-03-28,198
2023-03-29,223
2023-03-30,424
2023-03-31,3
