"fecha","cantidad_viajes"
2022-01-01,179
2022-01-02,1341
2022-01-03,6920
2022-01-04,7797
2022-01-05,7998
2022-01-06,7491
2022-01-07,7289
2022-01-08,4405
2022-01-09,1590
2022-01-10,7927
2022-01-11,7260
2022-01-12,6780
2022-01-13,7443
2022-01-14,7559
2022-01-15,3955
2022-01-16,1683
2022-01-17,7702
2022-01-18,7417
2022-01-19,7685
2022-01-20,7751
2022-01-21,8040
2022-01-22,4049
2022-01-23,1495
2022-01-24,8136
2022-01-25,7835
2022-01-26,8446
2022-01-27,7146
2022-01-28,8288
2022-01-29,4342
2022-01-30,1460
2022-02-01,8181
2022-02-02,8435
2022-02-03,7633
2022-02-04,7891
2022-02-05,3971
2022-02-06,1492
2022-02-07,8252
2022-02-08,8313
2022-02-09,8578
2022-02-10,8267
2022-02-11,7659
2022-02-12,4717
2022-02-13,1486
2022-02-14,8439
2022-02-15,8093
2022-02-16,8574
2022-02-17,8665
2022-02-18,8139
2022-02-19,4242
2022-02-20,1389
2022-02-21,8230
2022-02-22,8933
2022-02-23,9377
2022-02-24,9616
2022-02-25,10164
2022-02-26,4809
2022-02-27,1744
2022-02-28,11
2022-03-01,8693
2022-03-02,9472
2022-03-03,9682
2022-03-04,10543
2022-03-05,4996
2022-03-06,1587
2022-03-07,10295
2022-03-08,10253
2022-03-09,9348
2022-03-10,8944
2022-03-11,7367
2022-03-12,4851
2022-03-13,1547
2022-03-14,9437
2022-03-15,10291
2022-03-16,9549
2022-03-17,9895
2022-03-18,9527
2022-03-19,4887
2022-03-20,1559
2022-03-21,9827
2022-03-22,10526
2022-03-23,6182
2022-03-24,9395
2022-03-25,9442
2022-03-26,5014
2022-03-27,1765
2022-03-28,9741
2022-03-29,10497
2022-03-30,8985
2022-03-31,297
2022-04-01,9472
2022-04-02,5107
2022-04-03,1661
2022-04-04,8062
2022-04-05,8906
2022-04-06,9901
2022-04-07,9802
2022-04-08,9192
2022-04-09,5268
2022-04-10,2169
2022-04-11,8980
2022-04-12,9932
2022-04-13,7054
2022-04-14,2047
2022-04-15,504
2022-04-16,3361
2022-04-17,1722
2022-04-18,9656
2022-04-19,10605
2022-04-20,10143
2022-04-21,9259
2022-04-22,10473
2022-04-23,5587
2022-04-24,2056
2022-04-25,10070
2022-04-26,10195
2022-04-27,10560
2022-04-28,10552
2022-04-29,9767
2022-04-30,510
2022-05-01,1319
2022-05-02,1815
2022-05-03,9571
2022-05-04,10554
2022-05-05,10285
2022-05-06,10443
2022-05-07,5591
2022-05-08,1910
2022-05-09,9521
2022-05-10,9719
2022-05-11,10285
2022-05-12,9433
2022-05-13,9720
2022-05-14,2668
2022-05-15,1758
2022-05-16,9144
2022-05-17,10448
2022-05-18,9951
2022-05-19,9622
2022-05-20,9388
2022-05-21,4684
2022-05-22,1811
2022-05-23,8904
2022-05-24,9450
2022-05-25,10377
2022-05-26,9013
2022-05-27,9019
2022-05-28,5098
2022-05-29,1742
2022-05-30,8722
2022-05-31,304
2022-06-01,8845
2022-06-02,9246
2022-06-03,9649
2022-06-04,5272
2022-06-05,2111
2022-06-06,8701
2022-06-07,8670
2022-06-08,9411
2022-06-09,8853
2022-06-10,9046
2022-06-11,5099
2022-06-12,1695
2022-06-13,9557
2022-06-14,9389
2022-06-15,8867
2022-06-16,9144
2022-06-17,8870
2022-06-18,4552
2022-06-19,1640
2022-06-20,9684
2022-06-21,10206
2022-06-22,9391
2022-06-23,9138
2022-06-24,9642
2022-06-25,4781
2022-06-26,1566
2022-06-27,9730
2022-06-28,10240
2022-06-29,10272
2022-06-30,500
2022-07-01,9537
2022-07-02,5189
2022-07-03,1741
2022-07-04,9115
2022-07-05,9298
2022-07-06,9650
2022-07-07,9725
2022-07-08,8886
2022-07-09,5188
2022-07-10,2094
2022-07-11,8644
2022-07-12,9233
2022-07-13,8455
2022-07-14,8196
2022-07-15,8266
2022-07-16,4239
2022-07-17,1758
2022-07-18,8705
2022-07-19,9208
2022-07-20,8553
2022-07-21,8286
2022-07-22,8658
2022-07-23,6134
2022-07-24,2408
2022-07-25,8716
2022-07-26,8379
2022-07-27,7433
2022-07-28,8093
2022-07-29,8427
2022-07-30,4952
2022-07-31,115
2022-08-01,7686
2022-08-02,8579
2022-08-03,8348
2022-08-04,8441
2022-08-05,8437
2022-08-06,3997
2022-08-07,1756
2022-08-08,8326
2022-08-09,8657
2022-08-10,8417
2022-08-11,8802
2022-08-12,8816
2022-08-13,5568
2022-08-14,2141
2022-08-15,1676
2022-08-16,9017
2022-08-17,9505
2022-08-18,8315
2022-08-19,8165
2022-08-20,5439
2022-08-21,2218
2022-08-22,9302
2022-08-23,9045
2022-08-24,8178
2022-08-25,8384
2022-08-26,9232
2022-08-27,5147
2022-08-28,1546
2022-08-29,8101
2022-08-30,8708
2022-08-31,429
2022-09-01,7773
2022-09-02,8783
2022-09-03,5325
2022-09-04,2096
2022-09-05,8903
2022-09-06,9252
2022-09-07,8986
2022-09-08,9211
2022-09-09,9499
2022-09-10,5515
2022-09-11,1932
2022-09-12,8901
2022-09-13,8281
2022-09-14,9213
2022-09-15,9481
2022-09-16,8960
2022-09-17,5182
2022-09-18,2121
2022-09-19,7275
2022-09-20,8982
2022-09-21,9402
2022-09-22,9729
2022-09-23,8744
2022-09-24,5727
2022-09-25,1946
2022-09-26,9112
2022-09-27,8735
2022-09-28,8474
2022-09-29,9873
2022-09-30,529
2022-10-01,4838
2022-10-02,2254
2022-10-03,2191
2022-10-04,10310
2022-10-05,9008
2022-10-06,6088
2022-10-07,9423
2022-10-08,6434
2022-10-09,2097
2022-10-10,7539
2022-10-11,7436
2022-10-12,8985
2022-10-13,9007
2022-10-14,8783
2022-10-15,5710
2022-10-16,2057
2022-10-17,9316
2022-10-18,9278
2022-10-19,8437
2022-10-20,8341
2022-10-21,8997
2022-10-22,5279
2022-10-23,2179
2022-10-24,9352
2022-10-25,9728
2022-10-26,8635
2022-10-27,8532
2022-10-28,8778
2022-10-29,5126
2022-10-30,1109
2022-10-31,40
2022-11-01,8307
2022-11-02,8777
2022-11-03,8800
2022-11-04,9160
2022-11-05,6155
2022-11-06,2245
2022-11-07,9806
2022-11-08,9273
2022-11-09,368
2022-11-10,6672
2022-11-11,9158
2022-11-12,5399
2022-11-13,1221
2022-11-14,9154
2022-11-15,9681
2022-11-16,8654
2022-11-17,8983
2022-11-18,9195
2022-11-19,6292
2022-11-20,1778
2022-11-21,7218
2022-11-22,9567
2022-11-23,8868
2022-11-24,8018
2022-11-25,8896
2022-11-26,5661
2022-11-27,1615
2022-11-28,8587
2022-11-29,9776
2022-11-30,194
2022-12-01,8472
2022-12-02,8772
2022-12-03,6292
2022-12-04,1872
2022-12-05,8340
2022-12-06,8656
2022-12-07,7195
2022-12-08,1027
2022-12-09,8420
2022-12-10,5315
2022-12-11,1882
2022-12-12,8502
2022-12-13,8910
2022-12-14,7880
2022-12-15,8708
2022-12-16,8128
2022-12-17,5362
2022-12-18,2155
2022-12-19,7975
2022-12-20,8645
2022-12-21,7763
2022-12-22,8579
2022-12-23,8119
2022-12-24,2163
2022-12-25,411
2022-12-26,6324
2022-12-27,7326
2022-12-28,7556
2022-12-29,7245
